"site";"year";"count"
14;1980;NA
14;1981;NA
14;1982;NA
14;1983;NA
14;1984;NA
14;1985;NA
14;1986;NA
14;1987;NA
14;1988;NA
14;1989;NA
14;1990;NA
14;1991;NA
14;1992;NA
14;1993;NA
14;1994;NA
14;1995;NA
14;1996;NA
14;1997;NA
14;1998;415168
14;1999;435926
14;2000;552173
14;2001;473291
14;2002;456685
14;2003;485746
14;2004;531415
14;2005;473291
14;2006;506505
14;2007;448381
14;2008;448381
14;2009;373651
14;2010;411016
14;2011;398561
14;2012;489898
14;2013;543870
14;2014;431775
14;2015;452533
14;2016;361196
27;1980;NA
27;1981;NA
27;1982;NA
27;1983;NA
27;1984;NA
27;1985;NA
27;1986;NA
27;1987;NA
27;1988;NA
27;1989;NA
27;1990;83950
27;1991;100740
27;1992;70478
27;1993;85501
27;1994;65345
27;1995;75451
27;1996;85765
27;1997;72085
27;1998;55223
27;1999;61268
27;2000;65601
27;2001;71686
27;2002;69503
27;2003;91442
27;2004;75635
27;2005;73668
27;2006;59805
27;2007;76747
27;2008;79145
27;2009;62979
27;2010;82431
27;2011;67304
27;2012;89443
27;2013;58062
27;2014;63043
27;2015;76835
27;2016;66425
1;1980;NA
1;1981;NA
1;1982;1018234
1;1983;987687
1;1984;1262610
1;1985;865499
1;1986;967322
1;1987;1181151
1;1988;1048781
1;1989;1008052
1;1990;1211698
1;1991;1170969
1;1992;957140
1;1993;936775
1;1994;1262610
1;1995;1140422
1;1996;1364433
1;1997;1466257
1;1998;1303339
1;1999;1242245
1;2000;1282975
1;2001;1557898
1;2002;1720815
1;2003;1232063
1;2004;1700451
1;2005;1618992
1;2006;1547715
1;2007;1924462
1;2008;1771727
1;2009;1710633
1;2010;1649539
1;2011;1700451
1;2012;1985556
1;2013;1914280
1;2014;2117926
1;2015;2097562
1;2016;2016103
2;1980;30160
2;1981;28080
2;1982;34320
2;1983;33696
2;1984;33488
2;1985;28704
2;1986;34112
2;1987;30576
2;1988;39104
2;1989;45760
2;1990;63856
2;1991;36400
2;1992;39104
2;1993;61360
2;1994;42640
2;1995;28288
2;1996;33280
2;1997;32032
2;1998;30368
2;1999;47632
2;2000;36816
2;2001;31200
2;2002;39104
2;2003;47216
2;2004;40976
2;2005;44096
2;2006;45136
2;2007;55328
2;2008;49088
2;2009;48256
2;2010;58864
2;2011;52000
2;2012;68224
2;2013;45552
2;2014;74256
2;2015;66560
2;2016;66976
16;1980;NA
16;1981;NA
16;1982;NA
16;1983;NA
16;1984;103972
16;1985;167396
16;1986;131005
16;1987;94615
16;1988;142442
16;1989;142442
16;1990;285924
16;1991;163237
16;1992;155959
16;1993;155959
16;1994;134125
16;1995;74860
16;1996;123727
16;1997;151800
16;1998;168435
16;1999;191309
16;2000;285924
16;2001;229779
16;2002;185071
16;2003;148681
16;2004;160118
16;2005;178833
16;2006;114370
16;2007;106052
16;2008;184031
16;2009;42629
16;2010;65503
16;2011;44708
16;2012;154919
16;2013;101893
16;2014;124767
16;2015;125807
16;2016;255772
3;1980;NA
3;1981;NA
3;1982;NA
3;1983;NA
3;1984;NA
3;1985;NA
3;1986;NA
3;1987;NA
3;1988;NA
3;1989;1511373
3;1990;2478652
3;1991;2267060
3;1992;1919444
3;1993;2040354
3;1994;1632283
3;1995;1375350
3;1996;1239326
3;1997;1209099
3;1998;1330008
3;1999;1450918
3;2000;1012620
3;2001;906824
3;2002;1420691
3;2003;1556714
3;2004;1662511
3;2005;1874103
3;2006;1934558
3;2007;1617169
3;2008;1662511
3;2009;1390463
3;2010;1889217
3;2011;1722966
3;2012;1979899
3;2013;1707852
3;2014;1254440
3;2015;1602056
3;2016;1466032
28;1980;NA
28;1981;NA
28;1982;NA
28;1983;NA
28;1984;NA
28;1985;NA
28;1986;NA
28;1987;NA
28;1988;NA
28;1989;1422876
28;1990;1664765
28;1991;2498303
28;1992;2082400
28;1993;2220651
28;1994;2435909
28;1995;2103551
28;1996;2613576
28;1997;2507774
28;1998;2227957
28;1999;2192193
28;2000;2060865
28;2001;2352363
28;2002;2158640
28;2003;2505226
28;2004;2720821
28;2005;2600068
28;2006;2558488
28;2007;2252761
28;2008;2624152
28;2009;2401250
28;2010;2823354
28;2011;2617229
28;2012;2860561
28;2013;2838304
28;2014;2689815
28;2015;3145857
28;2016;2993715
4;1980;NA
4;1981;NA
4;1982;NA
4;1983;NA
4;1984;NA
4;1985;NA
4;1986;NA
4;1987;NA
4;1988;NA
4;1989;NA
4;1990;NA
4;1991;NA
4;1992;NA
4;1993;NA
4;1994;NA
4;1995;NA
4;1996;NA
4;1997;NA
4;1998;NA
4;1999;179741
4;2000;233663
4;2001;222879
4;2002;269611
4;2003;204905
4;2004;244448
4;2005;224676
4;2006;203107
4;2007;271409
4;2008;195918
4;2009;237258
4;2010;248043
4;2011;255232
4;2012;416999
4;2013;310952
4;2014;652460
4;2015;386443
4;2016;440365
5;1980;NA
5;1981;NA
5;1982;NA
5;1983;NA
5;1984;NA
5;1985;NA
5;1986;NA
5;1987;NA
5;1988;NA
5;1989;NA
5;1990;NA
5;1991;NA
5;1992;NA
5;1993;NA
5;1994;NA
5;1995;NA
5;1996;NA
5;1997;NA
5;1998;NA
5;1999;NA
5;2000;163934
5;2001;134426
5;2002;157377
5;2003;139344
5;2004;145902
5;2005;119672
5;2006;127869
5;2007;165574
5;2008;140984
5;2009;147541
5;2010;155738
5;2011;2e+05
5;2012;188525
5;2013;175410
5;2014;195082
5;2015;190164
5;2016;196721
6;1980;NA
6;1981;NA
6;1982;NA
6;1983;NA
6;1984;NA
6;1985;NA
6;1986;NA
6;1987;NA
6;1988;NA
6;1989;NA
6;1990;NA
6;1991;NA
6;1992;NA
6;1993;NA
6;1994;NA
6;1995;NA
6;1996;NA
6;1997;NA
6;1998;NA
6;1999;NA
6;2000;NA
6;2001;NA
6;2002;NA
6;2003;NA
6;2004;NA
6;2005;165737
6;2006;174024
6;2007;149163
6;2008;270151
6;2009;200542
6;2010;137562
6;2011;260207
6;2012;152478
6;2013;240319
6;2014;213801
6;2015;271809
6;2016;175681
18;1980;NA
18;1981;NA
18;1982;NA
18;1983;NA
18;1984;NA
18;1985;NA
18;1986;NA
18;1987;NA
18;1988;NA
18;1989;NA
18;1990;NA
18;1991;NA
18;1992;NA
18;1993;NA
18;1994;NA
18;1995;NA
18;1996;NA
18;1997;NA
18;1998;NA
18;1999;NA
18;2000;NA
18;2001;NA
18;2002;NA
18;2003;NA
18;2004;NA
18;2005;NA
18;2006;NA
18;2007;NA
18;2008;NA
18;2009;NA
18;2010;NA
18;2011;57806
18;2012;77460
18;2013;98270
18;2014;61274
18;2015;87287
18;2016;62430
24;1980;NA
24;1981;NA
24;1982;NA
24;1983;NA
24;1984;NA
24;1985;NA
24;1986;NA
24;1987;NA
24;1988;NA
24;1989;NA
24;1990;NA
24;1991;NA
24;1992;NA
24;1993;NA
24;1994;NA
24;1995;NA
24;1996;NA
24;1997;NA
24;1998;NA
24;1999;NA
24;2000;NA
24;2001;NA
24;2002;NA
24;2003;NA
24;2004;NA
24;2005;NA
24;2006;NA
24;2007;NA
24;2008;NA
24;2009;8544
24;2010;14731
24;2011;12522
24;2012;14142
24;2013;6629
24;2014;8544
24;2015;9575
24;2016;9133
7;1980;NA
7;1981;NA
7;1982;NA
7;1983;NA
7;1984;35636
7;1985;25593
7;1986;28833
7;1987;29481
7;1988;32073
7;1989;27861
7;1990;32397
7;1991;40820
7;1992;30453
7;1993;33692
7;1994;31425
7;1995;25917
7;1996;34340
7;1997;39200
7;1998;32721
7;1999;35312
7;2000;36608
7;2001;41792
7;2002;47947
7;2003;58638
7;2004;49567
7;2005;57018
7;2006;53130
7;2007;63821
7;2008;68033
7;2009;64145
7;2010;67709
7;2011;66413
7;2012;76456
7;2013;71272
7;2014;73864
7;2015;82287
7;2016;81963
22;1980;NA
22;1981;NA
22;1982;NA
22;1983;NA
22;1984;NA
22;1985;NA
22;1986;NA
22;1987;NA
22;1988;NA
22;1989;NA
22;1990;NA
22;1991;NA
22;1992;NA
22;1993;NA
22;1994;NA
22;1995;NA
22;1996;62468
22;1997;50599
22;1998;33733
22;1999;45601
22;2000;24362
22;2001;31859
22;2002;22488
22;2003;37481
22;2004;31234
22;2005;54347
22;2006;43103
22;2007;78085
22;2008;38730
22;2009;NA
22;2010;NA
22;2011;NA
22;2012;NA
22;2013;NA
22;2014;NA
22;2015;NA
22;2016;NA
8;1980;NA
8;1981;NA
8;1982;NA
8;1983;NA
8;1984;NA
8;1985;NA
8;1986;NA
8;1987;NA
8;1988;NA
8;1989;NA
8;1990;NA
8;1991;NA
8;1992;NA
8;1993;NA
8;1994;NA
8;1995;NA
8;1996;NA
8;1997;NA
8;1998;NA
8;1999;NA
8;2000;589002
8;2001;642013
8;2002;477092
8;2003;488872
8;2004;718583
8;2005;618452
8;2006;653793
8;2007;647903
8;2008;689133
8;2009;618452
8;2010;712693
8;2011;559552
8;2012;753923
8;2013;783373
8;2014;836383
8;2015;771593
8;2016;700913
21;1980;NA
21;1981;NA
21;1982;NA
21;1983;NA
21;1984;NA
21;1985;NA
21;1986;NA
21;1987;NA
21;1988;NA
21;1989;NA
21;1990;NA
21;1991;NA
21;1992;NA
21;1993;NA
21;1994;NA
21;1995;NA
21;1996;NA
21;1997;NA
21;1998;NA
21;1999;NA
21;2000;NA
21;2001;NA
21;2002;NA
21;2003;NA
21;2004;360656
21;2005;357050
21;2006;371476
21;2007;403935
21;2008;458034
21;2009;382296
21;2010;497706
21;2011;382296
21;2012;447214
21;2013;479673
21;2014;411148
21;2015;NA
21;2016;NA
19;1980;NA
19;1981;NA
19;1982;NA
19;1983;NA
19;1984;NA
19;1985;NA
19;1986;NA
19;1987;NA
19;1988;NA
19;1989;NA
19;1990;NA
19;1991;NA
19;1992;NA
19;1993;NA
19;1994;NA
19;1995;NA
19;1996;NA
19;1997;NA
19;1998;NA
19;1999;NA
19;2000;NA
19;2001;NA
19;2002;NA
19;2003;NA
19;2004;NA
19;2005;1202671
19;2006;1166590
19;2007;2008460
19;2008;1214697
19;2009;2285074
19;2010;1623605
19;2011;1515365
19;2012;1876166
19;2013;1250777
19;2014;3487744
19;2015;1286857
19;2016;1575498
20;1980;NA
20;1981;NA
20;1982;NA
20;1983;NA
20;1984;NA
20;1985;NA
20;1986;NA
20;1987;NA
20;1988;NA
20;1989;NA
20;1990;NA
20;1991;NA
20;1992;NA
20;1993;NA
20;1994;NA
20;1995;NA
20;1996;NA
20;1997;NA
20;1998;NA
20;1999;NA
20;2000;NA
20;2001;NA
20;2002;NA
20;2003;NA
20;2004;NA
20;2005;NA
20;2006;NA
20;2007;NA
20;2008;199185
20;2009;155364
20;2010;183250
20;2011;157356
20;2012;282843
20;2013;179267
20;2014;254957
20;2015;157356
20;2016;213128
10;1980;NA
10;1981;NA
10;1982;NA
10;1983;NA
10;1984;NA
10;1985;NA
10;1986;NA
10;1987;NA
10;1988;NA
10;1989;NA
10;1990;NA
10;1991;NA
10;1992;NA
10;1993;NA
10;1994;NA
10;1995;NA
10;1996;NA
10;1997;NA
10;1998;673388
10;1999;814800
10;2000;727260
10;2001;936010
10;2002;1030284
10;2003;787864
10;2004;909074
10;2005;909074
10;2006;1050486
10;2007;814800
10;2008;1326575
10;2009;1090889
10;2010;1272704
10;2011;1138026
10;2012;1346777
10;2013;1252503
10;2014;1218833
10;2015;1279438
10;2016;NA
11;1980;188853
11;1981;216539
11;1982;227415
11;1983;192808
11;1984;212583
11;1985;168089
11;1986;237303
11;1987;182921
11;1988;233347
11;1989;221482
11;1990;246201
11;1991;245213
11;1992;195775
11;1993;265977
11;1994;254111
11;1995;202696
11;1996;222471
11;1997;213572
11;1998;183909
11;1999;215550
11;2000;167101
11;2001;187864
11;2002;191820
11;2003;205662
11;2004;231370
11;2005;267954
11;2006;234336
11;2007;340134
11;2008;232359
11;2009;279819
11;2010;263010
11;2011;230381
11;2012;354965
11;2013;244224
11;2014;309482
11;2015;275864
11;2016;291684
12;1980;NA
12;1981;NA
12;1982;NA
12;1983;NA
12;1984;NA
12;1985;NA
12;1986;NA
12;1987;NA
12;1988;NA
12;1989;NA
12;1990;NA
12;1991;NA
12;1992;NA
12;1993;NA
12;1994;NA
12;1995;NA
12;1996;NA
12;1997;NA
12;1998;NA
12;1999;134782
12;2000;161738
12;2001;146912
12;2002;142869
12;2003;164434
12;2004;185999
12;2005;208912
12;2006;167129
12;2007;180607
12;2008;180607
12;2009;148260
12;2010;164434
12;2011;169825
12;2012;183303
12;2013;148260
12;2014;141521
12;2015;163086
12;2016;153651
13;1980;199705
13;1981;251661
13;1982;207823
13;1983;243542
13;1984;232177
13;1985;238672
13;1986;240295
13;1987;248413
13;1988;251661
13;1989;274391
13;1990;297122
13;1991;342583
13;1992;269520
13;1993;259779
13;1994;269520
13;1995;269520
13;1996;340959
13;1997;318229
13;1998;316605
13;1999;298745
13;2000;290627
13;2001;308487
13;2002;350701
13;2003;381550
13;2004;394539
13;2005;422140
13;2006;402657
13;2007;420517
13;2008;417269
13;2009;440000
13;2010;560148
13;2011;550406
13;2012;552030
13;2013;496827
13;2014;539041
13;2015;566642
13;2016;529299
