site;year;count
17;1980;328429
17;1981;362511
17;1982;415184
17;1983;294347
17;1984;322232
17;1985;359413
17;1986;396593
17;1987;399692
17;1988;278855
17;1989;281953
17;1990;281953
17;1991;300544
17;1992;241674
17;1993;266461
17;1994;281953
17;1995;285052
17;1996;260264
17;1997;195198
17;1998;229281
17;1999;260264
17;2000;170411
17;2001;207592
17;2002;306740
17;2003;148723
17;2004;49574
17;2005;139427
17;2006;241674
17;2007;272658
17;2008;384200
17;2009;120837
17;2010;291248
17;2011;384200
17;2012;232379
17;2013;263363
17;2014;185903
17;2015;229281
17;2016;176608
22;1980;NA
22;1981;NA
22;1982;NA
22;1983;NA
22;1984;NA
22;1985;NA
22;1986;NA
22;1987;NA
22;1988;NA
22;1989;NA
22;1990;NA
22;1991;NA
22;1992;NA
22;1993;NA
22;1994;NA
22;1995;NA
22;1996;NA
22;1997;NA
22;1998;NA
22;1999;NA
22;2000;NA
22;2001;NA
22;2002;NA
22;2003;NA
22;2004;NA
22;2005;NA
22;2006;NA
22;2007;NA
22;2008;475073
22;2009;437067
22;2010;574838
22;2011;285044
22;2012;147273
22;2013;228035
22;2014;194780
22;2015;256539
22;2016;180528
11;1980;NA
11;1981;NA
11;1982;NA
11;1983;NA
11;1984;NA
11;1985;NA
11;1986;NA
11;1987;NA
11;1988;NA
11;1989;NA
11;1990;NA
11;1991;NA
11;1992;NA
11;1993;NA
11;1994;NA
11;1995;NA
11;1996;NA
11;1997;NA
11;1998;NA
11;1999;NA
11;2000;694929
11;2001;569841
11;2002;625436
11;2003;472551
11;2004;674081
11;2005;493399
11;2006;437805
11;2007;722726
11;2008;333566
11;2009;458653
11;2010;437805
11;2011;347464
11;2012;291870
11;2013;375261
11;2014;548994
11;2015;319667
11;2016;312718
