year,count,count_rendements
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,,
1991,,
1992,,
1993,,
1994,,
1995,,
1996,,
1997,,
1998,4169.0,
1999,4335.0,0.03981770208683133
2000,4210.0,-0.028835063437139596
2001,4752.0,0.1287410926365795
2002,5002.0,0.05260942760942755
2003,2876.0,-0.4250299880047981
2004,2876.0,0.0
2005,3252.0,0.1307371349095967
2006,2334.0,-0.28228782287822873
2007,3752.0,0.6075407026563839
2008,2460.0,-0.34434968017057566
2009,2501.0,0.016666666666666607
2010,2918.0,0.1667333066773291
2011,2668.0,-0.08567511994516797
2012,2793.0,0.046851574212893654
2013,3460.0,0.23881131399928401
2014,4127.0,0.19277456647398838
2015,2334.0,-0.4344560213229949
2016,2585.0,0.10754070265638394
1980,,0.0
1981,,0.0
1982,,0.0
1983,,0.0
1984,,0.0
1985,,0.0
1986,,0.0
1987,,0.0
1988,,0.0
1989,,0.0
1990,2734.0,0.057640232108317146
1991,4100.0,0.49963423555230424
1992,2652.0,-0.35317073170731705
1993,5112.0,0.9276018099547512
1994,6752.0,0.32081377151799684
1995,5877.0,-0.12959123222748814
1996,3198.0,-0.4558448187850944
1997,5467.0,0.7095059412132583
1998,7435.0,0.35997805011889517
1999,9923.0,0.33463349024882305
2000,8720.0,-0.12123349793409255
2001,14132.0,0.6206422018348623
2002,9895.0,-0.299816020379281
2003,5002.0,-0.49449216776149574
2004,10852.0,1.1695321871251498
2005,4975.0,-0.5415591596019167
2006,5385.0,0.0824120603015075
2007,29686.0,4.51272051996286
2008,9595.0,-0.6767836690695951
2009,7763.0,-0.1909327774882752
2010,6615.0,-0.14788097385031562
2011,6943.0,0.04958427815570676
2012,4975.0,-0.28345095779922225
2013,3417.0,-0.31316582914572866
2014,7298.0,1.1357916300848698
2015,8447.0,0.15744039462866533
2016,7545.0,-0.10678347342251682
1980,,0.0
1981,,0.0
1982,,0.0
1983,,0.0
1984,,0.0
1985,,0.0
1986,,0.0
1987,,0.0
1988,,0.0
1989,,0.0
1990,,0.0
1991,,0.0
1992,,0.0
1993,,0.0
1994,,0.0
1995,,0.0
1996,,0.0
1997,,0.0
1998,,0.0
1999,,0.0
2000,,0.0
2001,,0.0
2002,,0.0
2003,,0.0
2004,,0.0
2005,2154.0,-0.7145129224652087
2006,2154.0,0.0
2007,991.0,-0.5399257195914577
2008,1938.0,0.9556004036326942
2009,1938.0,0.0
2010,1228.0,-0.3663570691434469
2011,1465.0,0.19299674267100975
2012,1960.0,0.3378839590443685
2013,1766.0,-0.09897959183673466
2014,732.0,-0.5855039637599093
2015,1077.0,0.471311475409836
2016,2111.0,0.9600742804085423
1980,4292.0,1.0331596399810516
1981,5688.0,0.32525629077353213
1982,6583.0,0.1573488045007032
1983,15088.0,1.2919641500835484
1984,9769.0,-0.3525318133616119
1985,5530.0,-0.4339236359914014
1986,8005.0,0.4475587703435804
1987,7189.0,-0.10193628981886316
1988,12350.0,0.7179023508137432
1989,16221.0,0.31344129554655864
1990,15668.0,-0.03409160964182234
