site;year;count;count_rendements
14;1980;;
14;1981;;
14;1982;;
14;1983;;
14;1984;;
14;1985;;
14;1986;;
14;1987;;
14;1988;;
14;1989;;
14;1990;;
14;1991;;
14;1992;;
14;1993;;
14;1994;;
14;1995;;
14;1996;;
14;1997;;
14;1998;27962,0;
14;1999;26005,0;-0,06998784064086971
14;2000;26284,0;0,010728706018073408
14;2001;32156,0;0,22340587429614978
14;2002;30199,0;-0,06085955964672218
14;2003;32156,0;0,06480347031358646
14;2004;24047,0;-0,25217688767259605
14;2005;28521,0;0,18605231421798973
14;2006;26284,0;-0,07843343501279754
14;2007;27962,0;0,06384112007304821
14;2008;29360,0;0,049996423717902916
14;2009;26284,0;-0,10476839237057223
14;2010;22649,0;-0,1382970628519251
14;2011;32995,0;0,4567972095898274
14;2012;30199,0;-0,08474011213820276
14;2013;35512,0;0,17593297791317597
14;2014;26005,0;-0,2677123225951791
14;2015;31038,0;0,1935397039030955
14;2016;32995,0;0,06305174302467953
27;1980;;0,0
27;1981;;0,0
27;1982;;0,0
27;1983;;0,0
27;1984;;0,0
27;1985;;0,0
27;1986;;0,0
27;1987;;0,0
27;1988;;0,0
27;1989;;0,0
27;1990;15477,0;-0,5309289286255493
27;1991;18417,0;0,1899592944369064
27;1992;13774,0;-0,25210403431612094
27;1993;15012,0;0,08987948308407145
27;1994;17798,0;0,18558486544098063
27;1995;10215,0;-0,4260591077649174
27;1996;13000,0;0,27263827704356336
27;1997;13155,0;0,011923076923076925
27;1998;10369,0;-0,2117825921702775
27;1999;13000,0;0,2537371009740572
27;2000;13000,0;0,0
27;2001;15941,0;0,22623076923076924
27;2002;12691,0;-0,203876795684085
27;2003;13000,0;0,024347963123473315
27;2004;11762,0;-0,09523076923076923
27;2005;19501,0;0,6579663322564189
27;2006;18417,0;-0,0555868929798472
27;2007;17798,0;-0,03361025139816476
27;2008;16715,0;-0,06084953365546686
27;2009;15322,0;-0,08333831887526177
27;2010;14084,0;-0,08079885132489228
27;2011;19191,0;0,36261005396194257
