year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Portugal;Republic of Ireland;Slovenia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Republic of Ireland_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements
1980;;52567,0;;;;;;;;484454,0;;854070,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;77267,0;;;;;;;;506227,0;;1152001,0;;;;;;;;;;;;;;;0,46987653851275524;;;;;;;;0,0449433795571923;;0,3488367464025197;;;;;;;;;;;;;
1982;673435,0;62700,0;;;;;;;;413691,0;;1310897,0;;;;;;;;;;;;;;;-0,18852809090556122;;;;;;;;-0,18279546527545942;;0,13793043582427456;;;;;;;;;;;;;
1983;1191980,0;85500,0;;;;;;;;413691,0;;1330759,0;;;;709794,0;;;;;;;;;;0,7700000742462152;0,36363636363636354;;;;;;;;0,0;;0,015151457360875753;;;;;;;;;;;;;
1984;1097699,0;93100,0;;;;;;;;440908,0;;1747863,0;;;90533,0;546541,0;;;;;;;;;;-0,07909612577392233;0,0888888888888888;;;;;;;;0,06579065050967992;;0,31343316107574704;;;;-0,23000053536659937;;;;;;;;;
1985;558951,0;72200,0;;;;;;;;533444,0;;913656,0;;;539575,0;660109,0;;;;;;;;;;-0,49079756836801347;-0,22448979591836737;;;;;;;;0,20987598319830902;;-0,4772725322293566;;;4,959981443230645;0,20779410876768623;;;;;;;;;
1986;902403,0;76633,0;;;;;;;;435464,0;;893794,0;;;687143,0;610423,0;;;;;;;;;;0,6144581546504075;0,06139889196675896;;;;;;;;-0,18367438756458032;;-0,021739035260535666;;;0,273489320298383;-0,07526938732845634;;;;;;;;;
1987;505076,0;103867,0;;;;;;;;413691,0;;854070,0;;;306906,0;553639,0;;;;;;;;;;-0,4402988465242248;0,3553821460728406;;;;;;;;-0,049999540719783964;;-0,04444424554203763;;;-0,5533593444159367;-0,09302401777128322;;;;;;;;;
1988;828325,0;62700,0;;;;;;;;299382,0;;754759,0;;;171107,0;418779,0;;;;;;;;;;0,6400007127640197;-0,39634340069511975;;;;;;;;-0,2763149307091525;;-0,11627969604364985;;;-0,44247750125445573;-0,24358833102436783;;;;;;;;;
1989;1070762,0;58900,0;3142698,0;;;;;;;391918,0;;665380,0;;;407397,0;418779,0;;;;;;;;;1296962,0;0,29268342739866604;-0,06060606060606055;;;;;;;;0,30909005885457375;;-0,11842058193410077;;;1,3809487630546968;0,0;;;;;;;;;
