year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;France;Germany East;Germany West;Greece;Hungary;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Portugal;Romania;Slovakia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Portugal_rendements;Romania_rendements;Slovakia_rendements;Spain_rendements;Sweden_rendements
1980;;28602,0;;;;;;;;9861158,0;;748598,0;;;6146250,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;27527,0;;;;;;;;10531334,0;;729403,0;;;5895383,0;;;;;;;;;;-0,03758478428081957;;;;;;;;0,06796118670849816;;-0,02564126540546463;;;-0,040816270083384176;;;;;;;;
1982;1049495,0;26237,0;;;;;;;;9478201,0;;806183,0;;;6146250,0;;;;;;;;;;-0,04686307988520366;;;;;;;;-0,09999996201810712;;0,10526416809363282;;;0,04255313013590456;;;;;;;;
1983;1217414,0;26237,0;;;;;;;;8329328,0;;825377,0;;;5958100,0;;;;;;;;;0,15999980943215553;0,0;;;;;;;;-0,12121213719776569;;0,023808490131893123;;;-0,030612161887329625;;;;;;;;
1984;1479788,0;31613,0;;;;;38780,0;;;8042110,0;;902157,0;;1793731,0;5581799,0;;;;;;;;;0,21551748213836874;0,2049014750161986;;;;;;;;-0,03448273378116462;;0,09302415744562786;;;-0,06315788590322413;;;;;;;;
1985;1395828,0;30108,0;;;;;38318,0;;;7659152,0;;729403,0;;1919292,0;6585268,0;;;;;;;;;-0,056737857044387385;-0,047606997121437344;;;;;-0,011913357400721969;;;-0,04761909498875294;;-0,1914899513055931;;0,06999990522547694;0,17977519434146583;;;;;;;;
1986;1700181,0;34194,0;;;;;35086,0;;;7946370,0;;777390,0;;1919292,0;6459834,0;;;;;;;;;0,21804477342480588;0,13571143882024717;;;;;-0,08434678219113734;;;0,037499973887448634;;0,0657894195664126;;0,0;-0,019047668219425495;;;;;;;;
1987;1689687,0;35054,0;;;;;42934,0;;;9669679,0;;892559,0;;2098665,0;6898852,0;;;;;;;;;-0,006172284009761331;0,02515061121834239;;;;;0,2236789602690532;;;0,21686745016907083;;0,14814829107655103;;0,09345790010066213;0,06796118909557114;;;;;;;;
1988;1574242,0;34409,0;;;;;44781,0;;;7946370,0;;662221,0;;1542608,0;5393648,0;;;;;;;;;-0,06832330484876781;-0,01840018257545506;;;;;0,04301951833046069;;;-0,1782178084712016;;-0,25806473297563526;;-0,2649574848772911;-0,21818180763987982;;;;;;;;
1989;1647707,0;31398,0;734931,0;;;;47089,0;;;7467673,0;;614234,0;;1739919,0;5393648,0;;;;;;;;1125483,0;0,046666903817837335;-0,08750617570984331;;;;;0,05153971550434333;;;-0,060240965371609945;;-0,07246372434579995;;0,12790741393795435;0,0;;;;;;;;
1990;1500777,0;26022,0;676136,0;;;;46166,0;;;6893237,0;;470273,0;;1578483,0;5330931,0;;;;;;;48180,0;979170,0;-0,08917240747293054;-0,17122109688515197;-0,08000070754941624;;;;-0,019601180742848667;;;-0,07692302541902951;;-0,23437484737087166;;-0,09278362958275643;-0,011627937158672608;;;;;;;;-0,13000018658655887
1991;1196424,0;25806,0;499753,0;;;;39241,0;;;6988976,0;;441481,0;;1399110,0;4891913,0;;;;;;;39990,0;1233319,0;-0,2027969511792891;-0,008300668664975808;-0,260869115089272;;;;-0,15000216609626127;;;0,013888830458027135;;-0,061224012435330155;;-0,11363632044184191;-0,08235296986586393;;;;;;;-0,16998754669987548;0,25955554193858066
1992;1658202,0;24301,0;470356,0;;;;41549,0;;;6797497,0;;278325,0;;1650232,0;4891913,0;;;;;;;22645,0;1097120,0;0,38596517622515103;-0,058319770595985476;-0,058823058590943944;;;;0,05881603424989179;;;-0,02739728967448163;;-0,3695651681499317;;0,17948695956715333;0,0;;;;;;;-0,4337334333583396;-0,11043290503105851
1993;1301373,0;20430,0;565897,0;;;;42011,0;;;5840103,0;;307117,0;;1381172,0;4641046,0;;;;;;;27463,0;1063926,0;-0,2151903085390079;-0,15929385621990866;0,20312486712192457;;;;0,011119401188957712;;;-0,14084507871059004;;0,10344740860504809;;-0,16304374172843572;-0,05128198314238208;;;;;;;0,21276219916096273;-0,030255578241213388
1994;1437808,0;15914,0;492403,0;;;;41088,0;;;4404012,0;;230338,0;;1219737,0;4954630,0;;;;;;;26017,0;913886,0;0,10483927359796152;-0,22104747919725898;-0,12987169043129754;;;;-0,021970436314298625;;;-0,24590165618654325;;-0,24999918597798232;;-0,11688261852977033;0,06756752680322498;;;;;;;-0,05265265994246804;-0,1410248457129537
