year;Austria;Belgium-Brussels;Belgium-Wallonia;Czech Republic;Denmark;Estonia;Finland;Germany East;Germany West;Greece;Latvia;Lithuania;Luxembourg;Portugal;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Portugal_rendements;Spain_rendements;Sweden_rendements
1980;;;;;;;;6529006,0;;7902889,0;;1939180,0;;;;;;;;;;;;;;;;;;;;
1981;;71186,0;;;;;;3482137,0;;7902889,0;;1360828,0;;;;;;;;;;;;-0,4666665951907534;;0,0;;-0,2982456502232903;;;;
1982;1414214,0;130271,0;;;;;;3101278,0;;6015632,0;;1615983,0;;;;;;0,830008709577726;;;;;;-0,10937507628217957;;-0,23880596070626825;;0,18749981628831858;;;;
1983;735391,0;40576,0;;;;;;2720419,0;;6192562,0;;1462890,0;;;;;-0,4800001979898375;-0,6885262260979036;;;;;;-0,12280711371247599;;0,029411706035209706;;-0,09473676393872954;;;;
1984;834386,0;113186,0;;;205168,0;;;2856440,0;;6900284,0;666173,0;1394848,0;;;;;0,13461546306658634;1,7894814668769716;;;;;;0,05000001837952173;;0,1142858157899751;;-0,046512041233448875;;;;
1985;763676,0;76169,0;;;123840,0;;;4298262,0;;4777119,0;492968,0;1513921,0;;;;;-0,08474495017893402;-0,32704574770731365;;;-0,3963970989628012;;;0,5047618714203694;;-0,3076924080226263;-0,2600000300222315;0,08536629080731384;;;;
1986;1371788,0;79729,0;;;118295,0;;;2965257,0;;4246328,0;586232,0;1718045,0;;;;;0,7962958113126508;0,04673817432288718;;;-0,044775516795865666;;;-0,31012651159933946;;-0,11111111111111116;0,18918875058827345;0,13483134192603186;;;;
1987;593970,0;75458,0;;;114598,0;;;4080629,0;;5013027,0;459659,0;1530931,0;;;;;-0,5670103543696257;-0,05356896486849205;;;-0,03125237753074939;;;0,37614682302410896;;0,1805557648867444;-0,21590940105623713;-0,10891100058496717;;;;
1988;636396,0;56237,0;;;127537,0;;;3618158,0;;5130980,0;293116,0;1752066,0;;;;;0,07142784989140871;-0,2547244824935726;;;0,11290772962878926;;;-0,11333326308272573;;0,023529296770194996;-0,3623185883448382;0,14444478555859153;;;;
1989;989950,0;91831,0;115709,0;;171897,0;;;4107833,0;;5602794,0;393042,0;1156704,0;;;;283727,0;0,555556603121327;0,6329284990308872;;;0,34782063244391814;;;0,1353382024776142;;0,09195397370482827;0,340909401056237;-0,3398056922513193;;;;
