year;Austria;Belgium-Wallonia;Cyprus;Denmark;Finland;France;Germany East;Germany West;Greece;Hungary;Netherlands;Poland;Spain;Sweden;Austria_rendements;Belgium-Wallonia_rendements;Cyprus_rendements;Denmark_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Netherlands_rendements;Poland_rendements;Spain_rendements;Sweden_rendements
1980;;;;;;;;;56260,0;;;;;;;;;;;;;;;;;;;
1981;;;;;;;;;58234,0;;;;;;;;;;;;;;0,035087095627444054;;;;;
1982;94282,0;;;;;;;;33558,0;;;;;;;;;;;;;;-0,4237387093450562;;;;;
1983;70711,0;;;;;;;;49351,0;;;;;;-0,25000530323921855;;;;;;;;0,4706180344478217;;;;;
1984;102767,0;;;;;;;;66130,0;;;;;;0,45333823591803246;;;;;;;;0,33999311057526693;;;;;
1985;53741,0;;;;;;6005,0;;58234,0;;;;;;-0,47705975653663146;;;;;;;;-0,11940117949493423;;;;;
1986;53741,0;;;;;;6665,0;;57247,0;;;;;;0,0;;;;;;0,10990840965861781;;-0,016948861489851308;;;;;
1987;57512,0;;;;;;8647,0;;55273,0;;;;;;0,07016988891163178;;;;;;0,29737434358589643;;-0,03448215627019757;;;;;
1988;63169,0;;;;;;11889,0;;67117,0;;;;;;0,0983620809570176;;;;;;0,37492772059673873;;0,21428183742514428;;;;;
1989;86739,0;;;;;;4924,0;;72052,0;;;;;127009,0;0,3731260586680176;;;;;;-0,5858356463958281;;0,07352831622390754;;;;;
1990;92396,0;;;846,0;;;9488,0;;84883,0;;;;13818,0;140980,0;0,06521864443906433;;;;;;0,9268887083671811;;0,1780797202020763;;;;;0,11000007873457784
1991;70711,0;;;584,0;;;11229,0;;56260,0;;;;11054,0;209033,0;-0,2346963071994459;;;-0,30969267139479906;;;0,1834949409780775;;-0,33720532968910144;;;;-0,20002894774931246;0,4827138601220031
1992;84854,0;;;652,0;;;4684,0;;52312,0;;;;8291,0;152892,0;0,2000113136569983;;;0,11643835616438358;;;-0,5828657939264404;;-0,070174191254888;;;;-0,24995476750497558;-0,2685748183301201
1993;49969,0;;;703,0;;;7866,0;;62182,0;;;;15891,0;140324,0;-0,4111179201923304;;;0,07822085889570563;;;0,67933390264731;;0,18867563847683133;;;;0,9166566156072851;-0,08220181566072782
1994;66940,0;;;1024,0;;;13451,0;;60208,0;;;;10225,0;164550,0;0,3396305709539915;;;0,45661450924608826;;;0,7100177981184845;;-0,03174552121192631;;;;-0,3565540242904789;0,1726433111940937
1995;62226,0;;;855,0;;;13751,0;;75013,0;;;;12436,0;173312,0;-0,07042127278159549;;;-0,1650390625;;;0,022303174485168498;;0,24589755514217382;;;;0,21623471882640577;0,053248252810695895
1996;48084,0;;;736,0;;;9187,0;;57247,0;;;;13265,0;150515,0;-0,22726834442194577;;;-0,13918128654970763;;;-0,3319031343175042;;-0,2368389479156946;;;;0,06666130588613695;-0,13153734305760711
1997;46198,0;;;457,0;;;3843,0;;54286,0;;;;5527,0;93330,0;-0,03922302637051822;;;-0,37907608695652173;;;-0,5816915206269728;;-0,05172323440529636;;;;-0,5833396155295891;-0,3799289107397934
1998;70711,0;;;432,0;782415,0;277325,0;5464,0;;53299,0;;;;6633,0;108636,0;0,5306073856011082;;;-0,054704595185995575;;;0,4218058808222742;;-0,018181483255351294;;;;0,2001085579880586;0,16399871423979429
1999;63169,0;;;491,0;946723,0;332790,0;8106,0;21566,0;70078,0;;;;4422,0;119578,0;-0,10665950135056779;;;0,13657407407407418;0,21000108637999015;0,19999999999999996;0,48352855051244514;;0,3148089082346761;;;;-0,33333333333333337;0,10072167605581939
2000;77311,0;;141421,0;592,0;1048437,0;316150,0;12130,0;25232,0;72052,0;;;;9673,0;129022,0;0,22387563520081044;;;0,2057026476578412;0,10743797288119117;-0,05000150244899182;0,49642240315815456;0,16998979875730313;0,02816861211792565;;;;1,1874717322478516;0,07897773837996946
2001;55626,0;84853,0;115965,0;796,0;993668,0;396574,0;6785,0;29113,0;76000,0;;;;12160,0;136316,0;-0,28049048647669805;;-0,18000155563883724;0,3445945945945945;-0,0522387134372404;0,254385576466867;-0,44064303380049463;0,1538126188966391;0,05479376006217729;;;;0,25710741238498924;0,05653299437305259
2002;67883,0;115400,0;90510,0;973,0;1001492,0;324470,0;9247,0;22212,0;79948,0;;;;5942,0;152205,0;0,22034660051055255;0,35999905719302805;-0,21950588539645588;0,22236180904522618;0,007873857264196982;-0,1818172648736428;0,36285924834193084;-0,2370418713289596;0,05194736842105274;;;;-0,5113486842105264;0,11656005164470784
2003;68826,0;107763,0;110309,0;990,0;657229,0;324470,0;13331,0;26310,0;85870,0;;;;16996,0;110751,0;0,013891548694076494;-0,06617850953206239;0,21874930946856708;0,01747173689619741;-0,34375012481377787;0,0;0,4416567535416891;0,18449486763911405;0,07407314754590488;;;;1,860316391787277;-0,2723563614861535
