year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Portugal;Slovakia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Slovakia_rendements;Spain_rendements;Sweden_rendements
1980;;112174,0;;;;;;;;;1297097,0;;1104039,0;;;998799,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;101739,0;;;;;;;;;1275112,0;;985381,0;;;1036254,0;;;;;;;;;;-0,09302512168595223;;;;;;;;;-0,016949387748179223;;-0,10747627574750529;;;0,03750003754509157;;;;;;;;
1982;305470,0;151304,0;;;;;;;;;1143204,0;;701632,0;;;1061224,0;;;;;;;;;;0,4871779750144978;;;;;;;;;-0,10344816769036758;;-0,28795866776404255;;;0,02409640879552688;;;;;;;;
1983;216884,0;156522,0;;;;;;;;;1033281,0;;768700,0;;;836494,0;;;;;;;;;-0,28999901790683213;0,03448686088933539;;;;;;;;;-0,09615344243022239;;0,09558857064672077;;;-0,2117649054299564;;;;;;;;
1984;235212,0;147826,0;;;;;190191,0;;;;1022288,0;;851245,0;;144941,0;886434,0;;;;;;;;;0,08450600320908874;-0,05555768518163584;;;;;;;;;-0,010638925906892749;;0,10738259398985295;;;0,059701563908408195;;;;;;;;
1985;195501,0;139130,0;;;;;173955,0;;;;945342,0;;804814,0;;234805,0;836494,0;;;;;;;;;-0,16883067190449463;-0,0588259169564217;;;;;-0,08536681546445413;;;;-0,07526841751052538;;-0,0545448137727681;;0,6200040016282486;-0,05633809172482107;;;;;;;;
1986;235212,0;153043,0;;;;;185552,0;;;;1088242,0;;706791,0;;123200,0;1061224,0;;;;;;;;;0,2031242806942164;0,10000000000000009;;;;;0,06666666666666665;;;;0,15116222488792408;;-0,1217958435116685;;-0,47530929920572385;0,26865703758783677;;;;;;;;
1987;268814,0;160000,0;;;;;215705,0;;;;1110227,0;;608769,0;;191323,0;1348379,0;;;;;;;;;0,14285835756679077;0,04545781251020964;;;;;0,16250431145986033;;;;0,02020230794253486;;-0,13868597647678027;;0,5529464285714285;0,2705884902716109;;;;;;;;
1988;244376,0;173043,0;;;;;243538,0;;;;1286105,0;;748064,0;;143492,0;1260984,0;;;;;;;;;-0,09091044365248835;0,08151875000000008;;;;;0,12903270670591782;;;;0,15841625181156638;;0,22881421360154675;;-0,25000130669077947;-0,0648148628835068;;;;;;;;
1989;265759,0;199130,0;689109,0;;;;238899,0;;;;1242135,0;;949267,0;;169581,0;1223529,0;;;;;;;;1685660,0;0,08750040920548652;0,15075443675849365;;;;;-0,01904836206259397;;;;-0,03418849938379842;;0,2689649548701716;;0,18181501407743994;-0,029702993852420034;;;;;;;;
1990;320744,0;199130,0;1157703,0;;;;231941,0;;;;1363051,0;;1006017,0;;213064,0;1348379,0;;;;;;;127294,0;1399098,0;0,2068979789960077;0,0;0,6799998258620914;;;;-0,02912527888354488;;;;0,09734529660624647;;0,05978296938585248;;0,25641433887051024;0,10204089972530284;;;;;;;;-0,1699998813521113
1991;229103,0;173913,0;875168,0;;;;220344,0;;;;1099235,0;;975063,0;;249299,0;1248499,0;;;;;;;134932,0;1864024,0;-0,28571384032125313;-0,1266358660171747;-0,24404791211562893;;;;-0,0499997844279364;;;;-0,1935481504360439;;-0,030768863746835295;;0,17006627116734885;-0,07407412900972199;;;;;;;0,06000282809873214;0,332304098783645
1992;229103,0;147826,0;606416,0;;;;199469,0;;;;1000304,0;;1057608,0;;253647,0;986314,0;;;;;;;115838,0;1608612,0;0,0;-0,15000028750007188;-0,3070861823101393;;;;-0,09473822749882;;;;-0,08999986354146294;;0,08465606837712025;;0,017440904295644932;-0,21000016820197698;;;;;;;-0,14150831529955832;-0,13702184092050318
1993;244376,0;162609,0;861386,0;;;;208747,0;;;;1022288,0;;969904,0;;281186,0;1173589,0;;;;;;;108200,0;1683384,0;0,06666433874720101;0,10000270588394455;0,42045394580617934;;;;0,04651349332477728;;;;0,02197731889505583;;-0,08292675547083606;;0,10857214948333715;0,18987361022960236;;;;;;;-0,06593691189419704;0,046482308971958375
1994;238267,0;166957,0;833822,0;;;;178594,0;;;;1055265,0;;913154,0;;255097,0;1086194,0;;;;;;;110746,0;1626778,0;-0,024998363178053484;0,02673898738692193;-0,031999591356256074;;;;-0,14444758487547127;;;;0,03225803296135732;;-0,05851094541315427;;-0,09278200194888797;-0,07446814855967465;;;;;;;0,023530499075785638;-0,03362631461389676
1995;235212,0;153043,0;902733,0;;;921728,0;183233,0;;;;956334,0;;1129834,0;;163784,0;1086194,0;;;;;;;92925,0;1642325,0;-0,012821750389269138;-0,08333882376899437;0,08264473712614917;;;;0,025975116745243332;;;;-0,09374991115975606;;0,2372874673932326;;-0,3579540331716955;0,0;;;;;;;-0,16091777581131594;0,009556927866002596
1996;192446,0;154783,0;813149,0;;;977032,0;176275,0;;;;846411,0;;1036971,0;;333365,0;936374,0;;;;;1194873,0;;110746,0;1581390,0;-0,18181895481523047;0,011369353711048635;-0,09923642981922676;;;0,0600003471740036;-0,03797350913863773;;;;-0,1149420599915929;;-0,08219172019960452;;1,0353941776974551;-0,13793116146839335;;;;;;;0,19177831584611238;-0,037102887674485885
1997;189392,0;159130,0;1088792,0;;;921728,0;173955,0;;;;890380,0;;995699,0;;266692,0;998799,0;;;;;1015642,0;;115838,0;1574044,0;-0,015869386737058733;0,028084479561709008;0,33898215456207903;;;-0,056604082568431746;-0,013161253722876243;;;;0,0519475762956767;;-0,03980053444117526;;-0,19999999999999996;0,0666667378632897;;;;;-0,15000004184545135;;0,0459790872808048;-0,004645280417860276
1998;235212,0;180000,0;1088792,0;;;479299,0;180914,0;;555381,0;5241465,0;934350,0;;1021494,0;141587,0;408735,0;1173589,0;;;;;1338258,0;;99290,0;1806563,0;0,24193207738447242;0,13115063155910267;0,0;;;-0,4799995226357451;0,04000459889051777;;;;0,049383409330847394;;0,025906423527592093;;0,5326106519880611;0,17500017521042777;;;;;0,31764735999495874;;-0,14285467635836258;0,14772077527693006
1999;177173,0;173043,0;909624,0;403503,0;;368691,0;164678,0;;760872,0;5241465,0;890380,0;240146,0;1124675,0;165657,0;385544,0;1073709,0;;;;;1457745,0;;87833,0;1668692,0;-0,24675186640137403;-0,03864999999999996;-0,16455668300281412;;;-0,23077035420478653;-0,0897442983959229;;0,3700000540169721;0,0;-0,047059453095735004;;0,10100989335228605;0,1700014831870158;-0,056738473583128446;-0,08510645549677098;;;;;0,08928547410140641;;-0,1153892637727868;-0,07631674068382888
2000;210775,0;182609,0;902733,0;359118,0;396508,0;423995,0;141484,0;1238236,0;844179,0;5398709,0;1000304,0;256956,0;1119516,0;165657,0;452217,0;1285954,0;;;;;1517489,0;;95471,0;1463394,0;0,18965643749329741;0,05528105730945487;-0,0075756576343631865;-0,10999918216221438;;0,15000094930443097;-0,1408445572571928;;0,10948884963568117;0,030000009539317807;0,12345740021114571;0,06999908389063325;-0,00458710294084963;0,0;0,17293227232170638;0,19767460270892756;;;;;0,04098384834110225;;0,08696048182346039;-0,12302929480095792
