year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Poland;Portugal;Romania;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Spain_rendements;Sweden_rendements
1980;;303333,0;;;;;;;;;243283,0;;13333378,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;471250,0;;;;;;;;;509958,0;;16400055,0;;;;;;;;;;;;;0,5535731357946547;;;;;;;;;1,0961513956996582;;0,23000000449998503;;;;;;;;;;;
1982;257822,0;314167,0;;;;;;;;;215212,0;;10333368,0;;;;;;;;;;;;;-0,33333262599469493;;;;;;;;;-0,5779809317630079;;-0,3699186984433893;;;;;;;;;;;
1983;322278,0;628333,0;;;;;;;;;402353,0;;14066714,0;;;;203519,0;;;;;;;;0,2500019393224784;0,9999968169795046;;;;;;;;;0,8695658234670929;;0,36129033631629115;;;;;;;;;;;
1984;291339,0;698750,0;;;;;1063173,0;;;;603529,0;;15066717,0;;;427909,0;164851,0;;;;;;;;-0,09600096810827918;0,11206955547456521;;;;;;;;;0,4999987573101232;;0,0710900214506387;;;;-0,18999700273684517;;;;;;;
1985;206258,0;498333,0;;;;;607528,0;;;;196498,0;;13600046,0;;;278141,0;38669,0;;;;;;;;-0,2920343654642873;-0,28682218246869406;;;;;-0,4285708910967453;;;;-0,674418296386752;;-0,0973450951524476;;;-0,3499996494581792;-0,7654306009669338;;;;;;;
1986;195945,0;471250,0;;;;;622716,0;;;;243283,0;;9533365,0;;;410792,0;128217,0;;;;;;;;-0,05000048482967934;-0,05434719354327322;;;;;0,02499967079706611;;;;0,23809402640230437;;-0,299019650374712;;;0,47691997943489084;2,315756807778841;;;;;;;
1987;154693,0;330417,0;;;;;698657,0;;;;135677,0;;11800040,0;;;368001,0;59021,0;;;;;;;;-0,21052846462017405;-0,2988498673740053;;;;;0,12195125867971912;;;;-0,4423079294484201;;0,23776232211816084;;;-0,10416707238699874;-0,5396788257407363;;;;;;;
1988;252666,0;547083,0;;;;;1002421,0;;;;364924,0;;15333385,0;;;440746,0;107865,0;;;;;;;;0,6333382893860744;0,655735025740201;;;;;0,4347827331580447;;;;1,6896526308806945;;0,29943500191524786;;;0,1976760932714856;0,8275698480201963;;;;;;;
1989;348060,0;736667,0;9283338,0;;;;1321373,0;;;;692421,0;;19333399,0;;;419350,0;134323,0;;;;;;;3126258,0;0,37754980883854583;0,34653608319030194;;;;;0,31818168214752096;;;;0,8974389187885696;;0,26086959924374176;;;-0,04854496694241128;0,24528809159597653;;;;;;;
1990;342903,0;947917,0;11697006,0;;;;1518819,0;;;;837455,0;;18866730,0;;;474979,0;97689,0;;;;;;1185372,0;3563934,0;-0,014816410963626958;0,28676457612462625;0,26000001292638486;;;;0,14942487851651265;;;;0,2094592740543686;;-0,0241379697382752;;;0,1326552998688446;-0,27273065670063945;;;;;;;0,13999996161545214
1991;278448,0;682500,0;8540671,0;;;;1230243,0;;;;804705,0;;11866707,0;;;389397,0;140428,0;;;;;;865322,0;4113570,0;-0,18796860919851965;-0,28000025318672417;-0,2698412739123157;;;;-0,19000025677845744;;;;-0,0391065788609537;;-0,3710247085742998;;;-0,18018059745799286;0,4375006397854415;;;;;;-0,26999962880850903;0,15422171117646966
1992;306808,0;877500,0;10026005,0;;;;1351749,0;;;;954418,0;;14466715,0;;;560560,0;238118,0;;;;;;1007005,0;5065813,0;0,10185025570303963;0,2857142857142858;0,1739130332967984;;;;0,09876585357526935;;;;0,18604706072411625;;0,2191010530554096;;;0,43955911319296237;0,6956589853875295;;;;;;0,163734424873053;0,23148822069394703
1993;278448,0;931667,0;12346839,0;;;;1518819,0;;;;1108809,0;;17466726,0;;;449304,0;152639,0;;;;;;1090206,0;5461771,0;-0,09243566008709025;0,06172877492877493;0,23148143253469344;;;;0,1235954308085303;;;;0,1617645518001547;;0,20737333942087055;;;-0,1984729556158128;-0,35897748175274447;;;;;;0,08262223126995405;0,07816277466223087
1994;314543,0;709583,0;12532506,0;;;;1503631,0;;;;753241,0;;17200058,0;;;534886,0;264575,0;;;;;;1087496,0;5927437,0;0,1296292305924267;-0,23837272330135129;0,015037614080818607;;;;-0,009999874902802741;;;;-0,32067560779178383;;-0,015267200046534146;;;0,19047682638035712;0,733338137697443;;;;;;-0,002485768744622585;0,08525915861357047
1995;314543,0;790833,0;13925007,0;;;;1564384,0;;;;959096,0;;19000064,0;;;616188,0;374475,0;;;;;;1040646,0;6093361,0;0,0;0,11450387058314537;0,11111113770861158;;;;0,0404041949121825;;;;0,27329234600878083;;0,10465115873446473;;;0,15199874365752697;0,4153831616743835;;;;;;-0,04308061822756126;0,027992537077998536
1996;237196,0;427917,0;12068339,0;;;;911291,0;;;;547387,0;;13200045,0;;;607630,0;189273,0;;;;620269,0;;815651,0;3790489,0;-0,24590278594659554;-0,45890346002253324;-0,1333333620586331;;;;-0,41747614396465316;;;;-0,4292677688156348;;-0,30526312963998437;;;-0,013888618408667508;-0,4945643901462047;;;;;;-0,21620704831422022;-0,37793132558533793
1997;201101,0;460417,0;7890837,0;;;;911291,0;;;;570779,0;;13066711,0;;;688933,0;166886,0;;;;527229,0;;590431,0;3940360,0;-0,15217372974249144;0,0759493079265372;-0,3461538493408248;;;;0,0;;;;0,04273393412704363;;-0,010101026170744154;;;0,13380346592498715;-0,11827888816682786;;;;-0,1499994357286919;;-0,2761229986844864;0,039538698041334586
1998;301652,0;628333,0;10211671,0;;;;1199867,0;;15149991,0;5882426,0;734527,0;;16466722,0;691106,0;;688933,0;303244,0;;;;986228,0;;817797,0;5351086,0;0,5000024863128478;0,36470417034992186;0,2941175948761836;;;;0,31666723362789706;;;;0,2868851166563591;;0,26020404063424984;;;0,0;0,8170727322843139;;;;0,8705875435531809;;0,3850847939894755;0,35801957181577326
1999;257822,0;834167,0;11325672,0;92265,0;;;1397313,0;;17876989,0;6882439,0;935704,0;558121,0;19200065,0;628907,0;;697491,0;284927,0;;;;1265349,0;;982733,0;5915397,0;-0,14529988198321242;0,32758744169095055;0,10909096072523283;;;;0,16455657168669524;;0,17999997491747677;0,1700000985987753;0,2738864602662665;;0,16599193209188812;-0,08999921864373917;;0,012422107810193372;-0,06040350344936751;;;;0,283018734004713;;0,2016833028245395;0,1054572847455637
2000;348060,0;893750,0;13182340,0;57204,0;3162278,0;;1579572,0;1747438,0;17725489,0;6294196,0;1015238,0;613933,0;19600066,0;656551,0;;620467,0;272716,0;;;;1147498,0;;1031615,0;7071165,0;0,350001163593487;0,07142814328545732;0,16393446675835222;-0,3800032515038205;;;0,13043534268986257;;-0,008474581485730104;-0,08547013638624334;0,08499910228020835;0,09999982082738335;0,020833314887215293;0,04395562459950364;;-0,11043009873962528;-0,04285659133743025;;;;-0,09313715030398728;;0,049740875700724496;0,19538299796277414
