year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Slovakia_rendements;Spain_rendements;Sweden_rendements
1980;;332214,0;;;;;;;;;11351361,0;;8527273,0;;;;3729758,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;405496,0;;;;;;;;;10412527,0;;10006494,0;;;;3729758,0;;;;;;;;;;;0,22058673024014652;;;;;;;;;-0,08270673446118049;;0,17346940809799327;;;;0,0;;;;;;;;;
1982;1351638,0;363969,0;;;;;;;;;10583224,0;;7657143,0;;;;3345812,0;;;;;;;;;;;-0,10241038136011205;;;;;;;;;0,016393426878989148;;-0,23478263215867612;;;;-0,10294126321332375;;;;;;;;;
1983;1270540,0;398168,0;;;;;;;;;8961601,0;;8614286,0;;;;3729758,0;;;;;;;;;;-0,05999979284394197;0,09396129890182947;;;;;;;;;-0,15322580340357528;;0,12500001632462654;;;;0,11475420615384246;;;;;;;;;
1984;1216474,0;373740,0;;;;;771496,0;;;;9985784,0;;8875325,0;;;1907601,0;3400662,0;;;;;;;;;;-0,04255355990366305;-0,06135098752285473;;;;;;;;;0,11428571747392002;;0,0303030338207948;;;;-0,08823521526061473;;;;;;;;;
1985;959663,0;266260,0;;;;;562738,0;;;;6742538,0;;7831169,0;;;2079285,0;3345812,0;;;;;;;;;;-0,2111109649692472;-0,2875796007919944;;;;;-0,27058857077677656;;;;-0,3247863162271485;;-0,11764707207905067;;;0,08999995282032258;-0,016129212488627198;;;;;;;;;
1986;1108343,0;298015,0;;;;;644426,0;;;;7852069,0;;7831169,0;;;2174665,0;3236113,0;;;;;;;;;;0,15492938667011225;0,11926312626755808;;;;;0,14516169158649328;;;;0,16455687754373804;;0,0;;;0,045871537571809506;-0,032786958741256256;;;;;;;;;
1987;1216474,0;256489,0;;;;;553662,0;;;;6742538,0;;7483117,0;;;2117437,0;2440797,0;;;;;;;;;;0,09756095360371297;-0,1393419794305656;;;;;-0,14084472072821397;;;;-0,14130428553289587;;-0,044444450119771384;;;-0,02631577737260682;-0,24576274067067494;;;;;;;;;
1988;1175925,0;332214,0;;;;;735190,0;;;;8961601,0;;8353247,0;;;877496,0;1892304,0;;;;;;;;;;-0,03333322372693537;0,29523683276865675;;;;;0,32786790496729057;;;;0,32911390339958047;;0,11627908530629694;;;-0,585585781300695;-0,22471881110964986;;;;;;;;;
1989;1284056,0;400611,0;6874649,0;;;;862260,0;;;;10839270,0;;9658442,0;;;1507005,0;3674909,0;;;;;;;;;6480396,0;0,09195399366456192;0,2058823529411764;;;;;0,17283967409785217;;;;0,20952383396672092;;0,15625001870530109;;;0,7173924439541606;0,9420288706254387;;;;;;;;;
1990;1608449,0;425038,0;8868298,0;;;;907642,0;;;;12546241,0;;9919481,0;;;2079285,0;4387950,0;;;;;;;;999178,0;6674808,0;0,2526315051679988;0,06097436166256043;0,2900001149149578;;;;0,05263145686915771;;;;0,15748025466659654;;0,027027029825307247;;;0,379746583455264;0,19402956644640734;;;;;;;;;0,030000018517386984
1991;1229991,0;312672,0;7768354,0;;;;880413,0;;;;10668573,0;;8266234,0;;;1621461,0;4991294,0;;;;;;;;789350,0;8073359,0;-0,23529375193120827;-0,2643669507197004;-0,1240310147448811;;;;-0,02999971354344555;;;;-0,14965980647111754;;-0,166666683468621;;;-0,22018338034468576;0,13750019940974711;;;;;;;;-0,2100006205100593;0,20952677590126934
1992;1175925,0;332214,0;9143284,0;;;;925795,0;;;;8876252,0;;8701299,0;;;2518033,0;3345812,0;;;;;;;;968729,0;7480269,0;-0,04395641919331117;0,0625;0,17699116183428298;;;;0,05154626294704867;;;;-0,16800006898767061;;0,05263158531442502;;;0,5529408354564187;-0,32967042213902853;;;;;;;;0,2272490023437006;-0,07346260707593955
1993;1121860,0;429924,0;11411918,0;;;;1098247,0;;;;9815087,0;;10180519,0;;;2632490,0;3565210,0;;;;;;;;1178556,0;9304634,0;-0,04597657163509583;0,2941176470588236;0,2481202596353782;;;;0,18627449921418893;;;;0,10576930443164523;;0,1699999046119436;;;0,04545492453832023;0,06557391748251251;;;;;;;;0,21660030823893983;0,24389029325014921
1994;1148892,0;405496,0;12924341,0;;;;1034712,0;;;;9985784,0;;10528571,0;;;2441729,0;5265541,0;;;;;;;;987665,0;9741624,0;0,024095698215463646;-0,05681934481443229;0,1325301320952359;;;;-0,05785128482026358;;;;0,017391287514822773;;0,034188040904397976;;;-0,07246409293102729;0,47692309849910663;;;;;;;;-0,16197024154982875;0,04696477045738723
1995;1013729,0;415267,0;13749299,0;;;;1052865,0;;;;9985784,0;;11398701,0;;;2556185,0;5238116,0;;;;;;;;1048663,0;9199984,0;-0,11764639322059867;0,024096415254404535;0,0638297921727693;;;;0,017544012246886176;;;;0,0;;0,08264464379828951;;;0,046874980802537936;-0,005208391692325676;;;;;;;;0,061759807222084406;-0,05560058569289883
1996;1094827,0;307786,0;13818045,0;;;;916718,0;;;;8108115,0;;10876623,0;;;2498957,0;3894306,0;;;;;1960784,0;;;1049329,0;7674681,0;0,07999968433378157;-0,2588238410468445;0,004999963998164603;;;;-0,12931097529122915;;;;-0,18803420943212867;;-0,04580153475382853;;;-0,022388050943104698;-0,25654452860532295;;;;;;;;0,0006350944011566106;-0,1657940926853786
1997;1202958,0;246718,0;10449467,0;;;;771496,0;;;;7596024,0;;9484416,0;;;3433682,0;3866881,0;;;;;1431373,0;;;868145,0;8050151,0;0,09876537571689403;-0,19841058397717892;-0,2437810848061357;;;;-0,15841512875278985;;;;-0,06315783631583916;;-0,12799993159641554;;;0,37404605201289987;-0,007042333088360331;;;;;-0,26999965319994457;;;-0,1726665326127459;0,04892320605898792
1998;1067794,0;327328,0;11068185,0;;;;889489,0;;11592154,0;8962465,0;7169281,0;;10615584,0;2278595,0;;3185694,0;4168553,0;;;;;1372549,0;;;871857,0;7491873,0;-0,11235970000615148;0,32672930228033636;0,059210484132827146;;;;0,15294052075448228;;;;-0,056179785635221746;;0,11926596218470387;;;-0,0722221801552968;0,07801429627650802;;;;;-0,04109620622996246;;;0,004275783423276058;-0,06935000349682885
1999;1338122,0;398168,0;11961890,0;631734,0;;;1007482,0;;11476232,0;9589838,0;9046950,0;989743,0;11485714,0;2369739,0;;2727870,0;5046143,0;;;;;2254902,0;;;1050091,0;9115257,0;0,25316493630793957;0,21641900479030207;0,08074539773232914;;;;0,13265256793507274;;-0,010000039682012463;0,07000005020940114;0,2619047851520955;;0,08196722855756211;0,040000087773386594;;-0,1437124846265837;0,21052629053774785;;;;;0,64285719489796;;;0,2044303136867629;0,21668600095063018
2000;1162409,0;371298,0;12786848,0;555926,0;3038686,0;;998406,0;4130867,0;12403604,0;9589838,0;8193464,0;960051,0;12181818,0;2164666,0;;2651566,0;4415375,0;;;;;1921569,0;;;952743,0;8616748,0;-0,13131313886177798;-0,06748407707299431;0,0689655230068158;-0,11999987336442242;;;-0,009008597672216512;;0,08080805616338194;0,0;-0,09433963932596068;-0,02999970699464405;0,06060607115935501;-0,08653822214176332;;-0,027972007463698767;-0,1250000247713947;;;;;-0,1478259365595489;;;-0,09270434657567772;-0,054689516708086194
2001;1513835,0;346870,0;14643003,0;524339,0;3281781,0;;989330,0;4543954,0;12055840,0;10754959,0;8364161,0;979845,0;11746753,0;2301381,0;;2727870,0;5539788,0;;;;;1803922,0;;;1173990,0;8673233,0;0,3023256014019162;-0,0657908203114479;0,14516126257229311;-0,056818713281983624;0,08000003949075363;;-0,009090490241444815;0,10000007262397936;-0,028037334955227533;0,12149537875405203;0,020833312991916486;0,020617654687094644;-0,03571429157782524;0,06315754947876484;;0,02877695671161873;0,2546585510856949;;;;;-0,06122444731362753;;;0,2322210711597985;0,0065552572733935666
2002;1446253,0;322443,0;14299271,0;499070,0;3372941,0;;980253,0;3759089,0;11823997,0;10486085,0;8108115,0;960051,0;12094805,0;2574813,0;;2823250,0;3866881,0;;;;;2019608,0;;;858534,0;8608429,0;-0,04464291022469424;-0,07042119526047219;-0,02347414666240255;-0,04819210472614088;0,027777600028764837;;-0,00917489614183331;-0,1727273207431237;-0,019230762850203753;-0,025000002324509052;-0,030612275397376987;-0,020201154264194887;0,02962963467436497;0,11881213931982582;;0,03496500932962343;-0,3019803284891046;;;;;0,11956503662575213;;;-0,26870416272711006;-0,007471723635234961
