year;Belgium-Brussels;Czech Republic;Estonia;Germany East;Latvia;Lithuania;Luxembourg;Sweden;Belgium-Brussels_rendements;Czech Republic_rendements;Estonia_rendements;Germany East_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Sweden_rendements
1980;30349,0;;;129538,0;;18279,0;;;;;;;;;;
1981;30140,0;;;182877,0;;28121,0;;;-0,006886553098948922;;;0,41176334357485844;;0,5384320805295695;;
1982;31605,0;;;154303,0;;30757,0;;;0,04860650298606495;;;-0,15624709504202283;;0,09373777603925881;;
1983;35163,0;;;158113,0;;17927,0;;;0,11257712387280483;;;0,024691678061995015;;-0,41714081347335563;;
1984;32023,0;;;142873,0;217899,0;18103,0;;;-0,08929841026078544;;;-0,09638676136687052;;0,009817593573938854;;
1985;23023,0;;;108583,0;172140,0;18982,0;;;-0,2810479967523343;;;-0,24000335962708141;-0,21000096374926003;0,048555488040656236;;
1986;27628,0;;;142873,0;329027,0;26891,0;;;0,2000173739304174;;;0,3157952902388035;0,911391890321831;0,4166578864187125;;
1987;31605,0;;;165733,0;374786,0;24957,0;;;0,14394816852468506;;;0,1600022397513876;0,13907369304038886;-0,07191997322524268;;
1988;29302,0;;;186687,0;381323,0;19158,0;;;-0,0728682170542636;;;0,12643227359668874;0,017441953541487587;-0,23235965861281405;;
1989;30558,0;;;182877,0;335564,0;26012,0;;;0,04286396832980688;;;-0,020408491217920877;-0,12000062938768441;0,35776177053972225;;
1990;25326,0;;;156208,0;361712,0;33570,0;;;-0,17121539367759675;;;-0,14583025749547507;0,07792254234661655;0,2905582039058896;;
1991;29930,0;;;144778,0;298521,0;21442,0;;46771,0;0,18178946537155483;;;-0,07317166854450474;-0,17469976113593133;-0,36127494787012215;;
1992;25535,0;;;142873,0;387860,0;26891,0;;34610,0;-0,14684263280988974;;;-0,013158076503336114;0,2992720780112621;0,25412741348754775;;-0,26001154561587303
1993;23442,0;;;120013,0;331206,0;20212,0;;30869,0;-0,08196592911689837;;;-0,1600022397513876;-0,14606816892693242;-0,2483730616191291;;-0,10809014735625544
1994;20721,0;;;104774,0;307237,0;24782,0;;39288,0;-0,11607371384694143;;;-0,12697791072633802;-0,07236885805208848;0,2261033049673462;;0,2727331627198808
1995;23442,0;251700,0;;110488,0;398755,0;16170,0;;38820,0;0,13131605617489495;;;0,05453643079389936;0,2978742794650384;-0,3475102897264143;;-0,011912034208918731
1996;18419,0;254217,0;;91439,0;300700,0;16170,0;;33207,0;-0,2142735261496459;0,010000000000000009;;-0,17240786329737168;-0,24590287269125155;0,0;;-0,14459041731066458
1997;19465,0;392652,0;;80009,0;296342,0;18806,0;;24789,0;0,05678918508062325;0,5445544554455446;;-0,12500136703157294;-0,014492850016627923;0,16301793444650592;;-0,25350076791038034
1998;24907,0;347346,0;;95249,0;335564,0;19685,0;;30401,0;0,27957873105574116;-0,11538461538461542;;0,1904785711607444;0,13235383442104065;0,0467404019993618;;0,22639073782726205
1999;22605,0;430407,0;;91439,0;261478,0;25309,0;;29466,0;-0,09242381659774357;0,23913043478260865;;-0,0400004199519155;-0,22078053664874664;0,28569977139954283;;-0,03075556725107731
2000;21558,0;460611,0;571548,0;91439,0;315953,0;25485,0;;29933,0;-0,046317186463171844;0,07017543859649122;;0,0;0,20833492683896915;0,006954047967126398;;0,01584877485915981
2001;20721,0;405237,0;462954,0;74294,0;324669,0;21970,0;;24789,0;-0,03882549401614255;-0,1202185792349727;-0,1899997900438808;-0,18750205054735947;0,027586381518770242;-0,13792426917794787;;-0,17185046604082455
