year;Austria;Belgium-Wallonia;Bulgaria;Cyprus;Denmark;Estonia;France;Germany West;Greece;Hungary;Italy;Netherlands;Norway;Poland;Republic of Ireland;Romania;Slovakia;Spain;Sweden;Austria_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Republic of Ireland_rendements;Romania_rendements;Slovakia_rendements;Spain_rendements;Sweden_rendements
1980;;;;;;;;;40211,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;;;;;;;;35840,0;;;;;;;;;;;;;;;;;;;-0,10870159906493249;;;;;;;;;;
1982;6962,0;;;;;;;;27973,0;;;;;;;;;;;;;;;;;;;-0,21950334821428574;;;;;;;;;;
1983;11836,0;;;;;;;;29721,0;;;;;;;;;;;0,7000861821315714;;;;;;;;0,06248882851320925;;;;;;;;;;
1984;12950,0;;;;9692,0;;;;25350,0;;;;;;;;;;;0,0941196350118283;;;;;;;;-0,14706772988795802;;;;;;;;;;
1985;9956,0;;;;10079,0;;;;26224,0;;;;;;;;;;;-0,23119691119691121;;;;0,03992983904250935;;;;0,03447731755424055;;;;;;;;;;
1986;11279,0;;;;11501,0;;;;27973,0;;;;;;;;;;;0,13288469264764968;;;;0,14108542514138311;;;;0,06669463087248317;;;;;;;;;;
1987;19077,0;;;;13310,0;;;;21854,0;;;;;;;;;;;0,691373348701126;;;;0,15729067037648892;;;;-0,21874664855396275;;;;;;;;;;
1988;15039,0;;;;14344,0;;;;22728,0;;;;;;;;;;;-0,21166850133668813;;;;0,07768595041322324;;;;0,03999267868582401;;;;;;;;;;
1989;15317,0;1505846,0;;;14731,0;;;;24476,0;;;;;;;;;;96215,0;0,018485271627102895;;;;0,026979921918572236;;;;0,07690953889475538;;;;;;;;;;
1990;14342,0;1505846,0;;;12922,0;;;;17483,0;;;;;;;;;8138,0;87555,0;-0,06365476268198733;0,0;;;-0,12280225375059395;;;;-0,2857084490929891;;;;;;;;;;-0,09000675570337269
1991;9608,0;1340203,0;;;13310,0;;;;13112,0;;;;;;;;;5859,0;113130,0;-0,3300794868219217;-0,10999996015528812;;;0,030026311716452536;;;;-0,25001429960533095;;;;;;;;;-0,28004423691324654;0,29210210724687347
1992;17684,0;1295028,0;;;11630,0;;;;13986,0;;;;;;;;;4639,0;114587,0;0,8405495420482931;-0,03370758012032504;;;-0,12622088655146502;;;;0,06665649786455163;;;;;;;;;-0,208226659839563;0,012878988773976863
1993;28754,0;1430554,0;;;14344,0;;;;17483,0;;;;;;;;;6673,0;136492,0;0,6259895951142276;0,10465101912854391;;;0,23336199484092868;;;;0,25003575003574996;;;;;;;;;0,4384565639146367;0,19116479181757096
1994;27223,0;1189619,0;;;16024,0;;;;15735,0;;;;;;;;;4395,0;136739,0;-0,053244765945607564;-0,16842076566141506;;;0,11712214166201895;;;;-0,09998284047360295;;;;;;;;;-0,341375693091563;0,0018096298684171508
1995;32932,0;1219736,0;;;15894,0;;;;13112,0;;;;;;;;;3337,0;160321,0;0,20971237556477984;0,02531650889906767;;;-0,008112830753869149;;;;-0,16669844296155067;;;;;;;;;-0,24072810011376566;0,17245994193317205
1996;31957,0;1310086,0;;;14344,0;;;;11364,0;;;;;;;;;3743,0;157360,0;-0,02960646180007287;0,07407340604852197;;;-0,0975210771360262;;;;-0,13331299572910316;;;;;;;;;0,12166616721606238;-0,018469196175173508
1997;25343,0;1234794,0;;;15119,0;;;;11364,0;;;;;;;;;4801,0;177146,0;-0,20696561003848923;-0,057471036252581875;;;0,054029559397657634;;;;0,0;;;;;;;;;0,28266096713865885;0,12573716319267914
1998;23533,0;1264911,0;;;14731,0;;8386991,0;;13986,0;20669,0;;;;;;;;5046,0;168733,0;-0,07142011600836518;0,024390303159879334;;;-0,025663072954560495;;;;0,23072861668426614;;;;;;;;;0,05103103520099972;-0,04749189933726983
1999;17893,0;1249853,0;453056,0;;14473,0;;9645040,0;4809,0;13112,0;21289,0;;;;;;;;5778,0;178625,0;-0,23966345132367317;-0,011904394854657774;;;-0,0175140859412124;;0,15000004173129544;;-0,06249106249106251;0,029996613285596885;;;;;;;;0,14506539833531518;0,0586251652018277
2000;22001,0;1219736,0;521014,0;2881753,0;13052,0;275644,0;9057951,0;4712,0;12238,0;24803,0;;;;;;;;2848,0;182327,0;0,22958698932543453;-0,02409643374060788;0,14999911710693592;;-0,0981828231880052;;-0,060869524646865125;-0,020170513620295316;-0,06665649786455152;0,16506176898867952;;;;;;;;-0,5070958809276567;0,020724982505248457
2001;22419,0;1234794,0;502892,0;2535943,0;12276,0;278400,0;9141821,0;6203,0;11364,0;20049,0;;;;;;;;6836,0;180279,0;0,01899913640289075;0,01234529439157317;-0,03478217475921952;-0,11999987507603882;-0,059454489733374194;0,009998403738155082;0,009259268459279602;0,3164261460101867;-0,07141689818597807;-0,19167036245615454;;;;;;;;1,4002808988764044;-0,011232565664986538
2002;16710,0;1144443,0;498361,0;2507125,0;11759,0;237054,0;9645040,0;5482,0;9616,0;15708,0;;;;;;;;2116,0;164960,0;-0,2546500735982872;-0,07317090947963789;-0,00900988681466397;-0,011363820085861565;-0,04211469534050183;-0,1485129310344827;0,05504581636415762;-0,11623408028373372;-0,15381907778951076;-0,2165195271584618;;;;;;;;-0,6904622586307783;-0,08497384609410974
2003;17336,0;1174560,0;448525,0;2420672,0;10726,0;201220,0;9980520,0;3558,0;6119,0;12401,0;;;;;;;;1872,0;152032,0;0,03746259724715739;0,02631585845690876;-0,0999997993422439;-0,03448292366754746;-0,08784760608895315;-0,15116386983556485;0,03478264475834214;-0,3509668004377964;-0,36366472545757067;-0,2105296664120193;;;;;;;;-0,11531190926275992;-0,07837051406401552
2004;25552,0;1189619,0;471178,0;2593578,0;12405,0;239810,0;10148260,0;6347,0;6119,0;22322,0;;;;3635883,0;;;;2930,0;171298,0;0,47392708814028617;0,012820971257321956;0,050505545956189835;0,07142892552150815;0,15653552116352798;0,19178014113905184;0,01680673952860179;0,7838673412029229;0,0;0,8000161277316344;;;;;;;;0,5651709401709402;0,12672332140601972
2005;19843,0;1279969,0;530075,0;2564760,0;13439,0;275644,0;9896650,0;6107,0;9616,0;23976,0;522691,0;28284,0;;4508495,0;;;;4639,0;170658,0;-0,22342673763306198;0,07594868609193361;0,12499946941495566;-0,011111291042721683;0,08335348649738017;0,14942662941495355;-0,024793412860923958;-0,03781314006617298;0,5714986108841313;0,07409730310904039;;;;0,24000002200290815;;;;0,5832764505119454;-0,003736179056381239
2006;22001,0;1370320,0;584442,0;2449490,0;13310,0;305964,0;10651479,0;4472,0;8741,0;24803,0;527918,0;40446,0;;4544854,0;;;;3255,0;184768,0;0,10875371667590583;0,07058842831349832;0,10256473140593303;-0,044943776415727;-0,009598928491703296;0,10999695259102316;0,07627116246406618;-0,2677255608318323;-0,09099417637271212;0,034492826159492784;0,010000172185861356;0,42999575731862527;;0,00806455369252923;;;;-0,2983401595171373;0,08267997984272646
2007;19982,0;1460671,0;543667,0;2247767,0;13310,0;314234,0;10903089,0;6107,0;6993,0;20462,0;538372,0;22062,0;;3926754,0;123058,0;;1582337,0;3255,0;185977,0;-0,09176855597472844;0,06593423433942447;-0,06976740206898202;-0,0823530612494846;0,0;0,02702932371128619;0,02362207163906538;0,36560822898032197;-0,199977119322732;-0,1750191509091642;0,019802317784201273;-0,45453196855066014;;-0,13599996831581385;;;;0,0;0,006543340838240486
