year;Germany East;Lithuania;Portugal;Germany East_rendements;Lithuania_rendements;Portugal_rendements
1981;;276576,0;;;;
1982;;229558,0;;;-0,1700002892514173;
1983;;210198,0;;;-0,08433598480558291;
1984;;204666,0;;;-0,026318042988039858;
1985;;265513,0;;;0,29729901400330294;
1986;;279341,0;;;0,05208031245174438;
1987;;237855,0;;;-0,1485138236062733;
1988;;132756,0;;;-0,44186163839313863;
1989;;298702,0;;;1,250007532616228;
1990;;149351,0;;;-0,5;
1991;;116162,0;;;-0,2222214782626163;
1992;;116162,0;;;0,0;
1993;;174243,0;;;0,5;
1994;;165945,0;;;-0,04762314698438386;
1995;;229558,0;;;0,3833378529030702;
1996;;141054,0;;;-0,38554090905130733;
1997;;168711,0;;;0,19607384405972184;
1998;448224,0;152117,0;;;-0,09835754633663485;
1999;345133,0;163180,0;;-0,2299988398657814;0,07272691415160693;
2000;649925,0;204666,0;;0,8831146253763043;0,25423458757200645;
2001;694748,0;82973,0;;0,06896641920221569;-0,5945931419972053;
2002;537869,0;127225,0;;-0,2258070552200222;0,5333301194364433;
2003;434778,0;113396,0;;-0,19166562861960812;-0,10869719001768519;
2004;336168,0;88504,0;;-0,2268054041372839;-0,21951391583477375;
2005;421331,0;96801,0;;0,25333464220270807;0,0937471752689143;
2006;354097,0;60847,0;;-0,15957525081230672;-0,371421782832822;
2007;336168,0;102333,0;2172561,0;-0,05063301863613645;0,681808470425822;
2008;358580,0;102333,0;2049586,0;0,06666904642916638;0,0;-0,056603704107732744
2009;331686,0;69144,0;1557685,0;-0,07500139438897879;-0,3243235319984755;-0,2400001756452279
2010;551316,0;60847,0;1229751,0;0,6621624066134839;-0,11999595048015732;-0,21052651851946957
2011;345133,0;149351,0;1516693,0;-0,37398334167700553;1,4545335020625503;0,23333341465060808
2012;421331,0;102333,0;1455206,0;0,22077865634407612;-0,31481543478115315;-0,04054017523651787
2013;425813,0;141054,0;1414214,0;0,010637717139256209;0,3783823400076223;-0,028169207658572004
2014;448224,0;80207,0;1291239,0;0,05263108453710896;-0,4313738001049243;-0,08695642950783966
2015;425813,0;71910,0;1475702,0;-0,04999955379453136;-0,10344483648559355;0,14285736412856176
2016;412367,0;94036,0;1516693,0;-0,03157724165302611;0,3076901682658879;0,027777288368518782
