year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Portugal;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Portugal_rendements;Sweden_rendements
1980;;;;;;;;;;;1726586,0;;;;;;268641,0;;;;;;;;;;;;;;;;;;;;;
1981;;;;;;;;;;;1297434,0;;;;;;416245,0;;;;;;;;;;;;;-0,24855524138386387;;;;;;0,549447031540234;;
1982;959,0;;;;;;;;;;1137750,0;;;;;;304066,0;;;;;;;;;;;;;-0,1230767807842249;;;;;;-0,2695023363644008;;
1983;307,0;;;;;;;;;;928165,0;;;;;;286353,0;;;-0,6798748696558916;;;;;;;;;;-0,1842100637222589;;;;;;-0,05825380016180692;;
1984;892,0;;;;;;;;;;968086,0;;;;;41872,0;312922,0;;;1,9055374592833876;;;;;;;;;;0,043010671593951555;;;;;;0,0927840811865075;;
1985;700,0;;;;;;;;;;828362,0;;;;;109285,0;277497,0;;;-0,2152466367713004;;;;;;;;;;-0,14433015248645265;;;;;1,6099780282766525;-0,11320712509826725;;
1986;221,0;;;;;;;;;;868283,0;;;;;38522,0;239120,0;;;-0,6842857142857143;;;;;;;;;;0,048192698361344544;;;;;-0,6475088072471062;-0,13829699059809653;;
1987;384,0;9756,0;;;;;;;;;1037947,0;;;;;14655,0;274545,0;;;0,7375565610859729;;;;;;;;;;0,1954017296204118;;;;;-0,619568039042625;0,1481473737035799;;
1988;585,0;8878,0;;;;;;;;;958105,0;;;;;13818,0;203695,0;;;0,5234375;-0,08999589995899959;;;;;;;;;-0,07692300281228237;;;;;-0,05711361310133056;-0,25806334116447216;;
1989;892,0;7707,0;;;;;;;;;918184,0;;;;;33916,0;256832,0;;14968,0;0,5247863247863247;-0,13189907636855147;;;;;;;;;-0,04166662317804415;;;;;1,454479664206108;0,26086550970814204;;
