year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Portugal;Republic of Ireland;Romania;Slovakia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Republic of Ireland_rendements;Romania_rendements;Slovakia_rendements;Spain_rendements;Sweden_rendements
1980;;2884848,0;;;;;;;;;2682718,0;;10928936,0;;;;398934,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;3056566,0;;;;;;;;;2882495,0;;11174530,0;;;;490689,0;;;;;;;;;;;;0,05952410664270702;;;;;;;;;0,07446813269229202;;0,022471903943805716;;;;0,2300004512024545;;;;;;;;;;
1982;3681976,0;2816162,0;;;;;;;;;2768337,0;;9578169,0;;;;422870,0;;;;;;;;;;;;-0,07865166333722218;;;;;;;;;-0,039603884828941616;;-0,14285710450461897;;;;-0,1382117797627418;;;;;;;;;;
1983;4676110,0;3262626,0;;;;;;;;;3053732,0;;10560545,0;;;;426859,0;;;;;;;;;;;0,2700001303647823;0,15853633420236468;;;;;;;;;0,10309257868532629;;0,10256407043976767;;;;0,009433159126918333;;;;;;;;;;
1984;4455191,0;3400000,0;;;;;1865766,0;;;;2968114,0;;10437748,0;;;505708,0;374998,0;;;;;;;;;;;-0,04724418373391559;0,04210534704253566;;;;;;;;;-0,02803716894606334;;-0,011627903673531947;;;;-0,12149445132936165;;;;;;;;;;
1985;3645157,0;3022222,0;;;;;1626565,0;;;;2311704,0;;9946560,0;;;389395,0;410902,0;;;;;;;;;;;-0,18181801857653246;-0,11111117647058821;;;;;-0,12820525189118037;;;;-0,22115390446593364;;-0,04705881000384371;;;-0,23000031638811325;0,09574451063738998;;;;;;;;;;
1986;3902895,0;3159596,0;;;;;1722245,0;;;;2540020,0;;9946560,0;;;364110,0;291222,0;;;;;;;;;;;0,0707069681772281;0,0454546356951937;;;;;0,058823348590434366;;;;0,09876523984039487;;0,0;;;-0,06493406438192584;-0,29126166336498727;;;;;;;;;;
1987;2982401,0;3090909,0;;;;;1698325,0;;;;2425862,0;;9455372,0;;;409624,0;335105,0;;;;;;;;;;;-0,2358490300148992;-0,021739171716890437;;;;;-0,013888848566841583;;;;-0,044943740600467685;;-0,04938270115497212;;;0,12500068660569608;0,1506857311604206;;;;;;;;;;
1988;3718796,0;3365657,0;;;;;2009286,0;;;;2311704,0;;9946560,0;;;338824,0;275265,0;;;;;;;;;;;0,24691347675916142;0,08888906143791364;;;;;0,18309864130834796;;;;-0,047058736234789955;;0,05194803546597648;;;-0,17284143507216376;-0,17857089568941076;;;;;;;;;;
1989;4455191,0;3640404,0;8303355,0;;;;2248487,0;;;;2853955,0;;10069357,0;;;394452,0;406913,0;;;;;;;;;;10622425,0;0,19801973541974327;0,08163250146999523;;;;;0,11904776124454153;;;;0,23456766091160453;;0,012345675288742974;;;0,16417963308384298;0,47825913210905857;;;;;;;;;;
1990;4565651,0;4018182,0;7971221,0;;;;2392007,0;;;;3253509,0;;9700966,0;;;414681,0;410902,0;;;;;;;;;1008846,0;11578443,0;0,02479354981638271;0,10377364710070647;-0,039999975913350694;;;;0,06382958851885734;;;;0,14000010511728456;;-0,03658535495364801;;;0,05128380639469432;0,00980307829929239;;;;;;;;;;0,08999997646488445
1991;4602470,0;4018182,0;7971221,0;;;;2296327,0;;;;3339128,0;;8841387,0;;;546165,0;510636,0;;;;;;;;;938227,0;15358036,0;0,008064348326229931;0,0;0,0;;;;-0,03999988294348633;;;;0,026315894623312852;;-0,08860756753502697;;;0,3170726413797593;0,242719675251033;;;;;;;;;-0,06999978192905554;0,3264336146060398
