year;Austria;Belgium-Brussels;Belgium-Wallonia;Cyprus;Czech Republic;Estonia;Germany East;Germany West;Hungary;Latvia;Lithuania;Luxembourg;Netherlands;Portugal;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Cyprus_rendements;Czech Republic_rendements;Estonia_rendements;Germany East_rendements;Germany West_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Portugal_rendements;Spain_rendements;Sweden_rendements
1980;;;;;;;1466424,0;;;;1920749,0;;;;;;;;;;;;;;;;;;;;;
1981;;;;;;;1633063,0;;;;1920749,0;;;;;;;;;;;;0,11363630164263538;;;;0,0;;;;;
1982;191758,0;2000,0;;;;;1433096,0;;;;2315423,0;;;;;;;;;;;;-0,12244904207614771;;;;0,20547921670140146;;;;;
1983;178335,0;6260,0;;;;;1666391,0;;;;1999684,0;;;;;;-0,06999968710562277;2,13;;;;;0,1627909086341739;;;;-0,13636342042037242;;;;;
1984;222439,0;2600,0;;;;;1933013,0;;;358029,0;2446981,0;;;;;;0,24730983822581099;-0,584664536741214;;;;;0,15999966394441634;;;;0,2236838420470435;;;;;
1985;130395,0;2640,0;;;;;1599735,0;;;400993,0;1710256,0;;;;;;-0,4137943436178009;0,01538461538461533;;;;;-0,17241373958685224;;;0,12000145239631421;-0,30107507986371773;;;;;
1986;101632,0;2440,0;;;;;1199801,0;;;336547,0;1578698,0;;;;;;-0,22058361133479043;-0,0757575757575758;;;;;-0,25000015627588323;;;-0,1607160224742078;-0,0769229869680329;;;;;
1987;120807,0;3240,0;;;;;1533080,0;;;497660,0;1789191,0;;;;;;0,18867089105793444;0,3278688524590163;;;;;0,27777856494535347;;;0,478723625526301;0,1333332911044418;;;;;
1988;161076,0;3160,0;;;;;1933013,0;;;755441,0;2473293,0;;;;;;0,33333333333333326;-0,024691358024691357;;;;;0,26086896965585615;;;0,5179861753004058;0,38235269459772603;;;;;
1989;251202,0;7840,0;;;;;2366275,0;;;719639,0;2946902,0;;;;;636953,0;0,5595246964165983;1,481012658227848;;;;;0,22413817185916485;;;-0,04739218549165325;0,19148924126660294;;;;;
1990;237779,0;7520,0;;;;;2432931,0;;;726799,0;3604693,0;;;;31881,0;662432,0;-0,053435084115572296;-0,04081632653061229;;;;;0,028169168841322367;;;0,009949432979591055;0,2232144129665663;;;;;0,04000138157760458
1991;157241,0;5620,0;;;;;2132980,0;;;655193,0;2894279,0;;;;94686,0;793525,0;-0,3387094739232649;-0,25265957446808507;;;;;-0,12328791897509628;;;-0,0985224250446134;-0,19708030614535;;;;1,9699821210125155;0,19789653881454994
