year;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Luxembourg;Norway;Poland;Portugal;Spain;Sweden;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Luxembourg_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Spain_rendements;Sweden_rendements
1980;4292,0;;;;;;;;5725,0;;;;;;;;;;16245,0;;;;;;;;;;;;;;;;;;;
1981;5688,0;;;;;;;;10687,0;;;;;;;;;;19577,0;0,32525629077353213;;;;;;;;0,8667248908296943;;;;;;;;;;0,20510926438904287
1982;6583,0;;;;;;;;5047,0;;;;;;;;;;20827,0;0,1573488045007032;;;;;;;;-0,5277439880228314;;;;;;;;;;0,0638504367369872
1983;15088,0;;;;;;;;9627,0;;;;;;;;;;23326,0;1,2919641500835484;;;;;;;;0,9074697840301169;;;;;;;;;;0,11998847649685507
1984;9769,0;;;;;;;;6234,0;;;;;;;;;;24576,0;-0,3525318133616119;;;;;;;;-0,3524462449361172;;;;;;;;;;0,053588270599331134
1985;5530,0;;;;;;;;5556,0;;;;;;;;;;22077,0;-0,4339236359914014;;;;;;;;-0,10875842155919158;;;;;;;;;;-0,1016845703125
1986;8005,0;;;;;;;;5004,0;;;;;;;;;;21660,0;0,4475587703435804;;;;;;;;-0,09935205183585316;;;;;;;;;;-0,018888435928794634
1987;7189,0;;;;;;;;3562,0;;;;;;;;;;22910,0;-0,10193628981886316;;;;;;;;-0,28816946442845726;;;;;;;;;;0,057710064635272396
1988;12350,0;;;;;;;;6998,0;;;;;;;;;;29574,0;0,7179023508137432;;;;;;;;0,9646266142616509;;;;;;;;;;0,29087734613705796
1989;16221,0;26084,0;;;;;;;10433,0;;;;;;;;;;36655,0;0,31344129554655864;;;;;;;;0,4908545298656759;;;;;;;;;;0,23943328599445457
1990;15668,0;24779,0;;;101639,0;;;;9500,0;;;;;;;;;2734,0;43737,0;-0,03409160964182234;-0,050030670142616196;;;;;;;-0,0894277772452794;;;;;;;;;;0,19320692947756113
1991;14325,0;29214,0;;;89442,0;;;;11748,0;;;;;;;;;4100,0;42070,0;-0,08571610926729645;0,17898220267161702;;;-0,12000314839776072;;;;0,23663157894736853;;;;;;;;;0,49963423555230424;-0,038114182499942806
1992;15589,0;23736,0;;;88426,0;;;;10815,0;;;;;;;;;2652,0;42070,0;0,08823734729493893;-0,18751283631135762;;;-0,011359316652132079;;;;-0,07941777323799792;;;;;;;;;-0,35317073170731705;0,0
1993;15562,0;16694,0;;;91475,0;;;;7676,0;;;;;;;;;5112,0;42487,0;-0,0017319905061261576;-0,2966801482979441;;;0,034480808811887975;;;;-0,29024503005085533;;;;;;;;;0,9276018099547512;0,009912051342999773
1994;13245,0;26605,0;;;97574,0;;;;8185,0;;25743,0;;;;;;;6752,0;44570,0;-0,1488883176969541;0,5936863543788187;;;0,06667395463241332;;;;0,06631057842626364;;;;;;;;;0,32081377151799684;0,04902676112693305
1995;15589,0;26345,0;;;103672,0;;;;8440,0;;30634,0;;;;;;;5877,0;62253,0;0,1769724424311061;-0,009772599135500881;;;0,062496156763072186;;;;0,0311545510079414;;0,18999339626306178;;;;;;;-0,12959123222748814;0,39674669059905776
1996;14825,0;35474,0;;;81311,0;;;;6192,0;;26257,0;;;;;;4196,0;3198,0;51113,0;-0,04900891654371675;0,34651736572404634;;;-0,21568986804537382;;;;-0,2663507109004739;;-0,14288045962003004;;;;;;;-0,4558448187850944;-0,17894719933175907
1997;11481,0;35474,0;;;75213,0;;;;6149,0;;26772,0;;;;;;2350,0;5467,0;46799,0;-0,22556492411467122;0,0;;;-0,07499600300082399;;;;-0,00694444444444442;;0,019613817267776223;;;;;;-0,4399428026692088;0,7095059412132583;-0,08440122865024557
1998;14167,0;34691,0;;;80295,0;;8232,0;9487,0;8524,0;;25743,0;4169,0;;;;;3651,0;7435,0;50131,0;0,2339517463635572;-0,022072503805604105;;;0,06756810657732037;;;;0,38624166531143267;;-0,03843567906768264;;;;;;0,5536170212765958;0,35997805011889517;0,07119810252355818
1999;13772,0;43299,0;1974,0;;90459,0;;6339,0;9487,0;9457,0;5869,0;31149,0;4335,0;;;;;4154,0;9923,0;55749,0;-0,02788169690124942;0,248133521662679;;;0,1265832243601719;;-0,22995626822157433;0,0;0,10945565462224316;;0,20999883463465796;0,03981770208683133;;;;;0,13777047384278274;0,33463349024882305;0,1120663860685005
2000;15562,0;55558,0;1599,0;15575,0;95541,0;31884,0;11442,0;11858,0;10136,0;7453,0;29861,0;4210,0;;;;;8267,0;8720,0;59209,0;0,1299738600058089;0,2831243215778656;-0,1899696048632219;;0,05618014791231385;;0,8050165641268339;0,24992094445030033;0,07179866765359;0,2698926563298687;-0,04134964204308322;-0,028835063437139596;;;;;0,9901299951853635;-0,12123349793409255;0,062063893522753766
2001;14061,0;52428,0;1776,0;18535,0;99606,0;24551,0;9961,0;12048,0;13190,0;7042,0;31406,0;4752,0;;;;;8057,0;14132,0;63449,0;-0,09645289808507906;-0,056337521149069425;0,11069418386491559;0,19004815409309783;0,04254717869815061;-0,22998996361811563;-0,12943541338926756;0,016022938100860085;0,3013022888713497;-0,05514557896149197;0,05173972740363686;0,1287410926365795;;;;;-0,025402201524132084;0,6206422018348623;0,07161073485449854
2002;14167,0;51907,0;1362,0;21961,0;101639,0;24870,0;9055,0;13661,0;11451,0;7453,0;33723,0;5002,0;;;;;11876,0;9895,0;63321,0;0,0075385818931796855;-0,00993743801022351;-0,23310810810810811;0,18483949285136236;0,020410417043150053;0,01299336075923585;-0,09095472342134325;0,1338811420982735;-0,13184230477634573;0,0583641011076399;0,073775711647456;0,05260942760942755;;;;;0,4739977659178354;-0,299816020379281;-0,0020173682800359583
2003;12508,0;59732,0;2092,0;15731,0;92492,0;21363,0;10949,0;13281,0;8906,0;5340,0;34752,0;2876,0;;;;;7931,0;5002,0;60640,0;-0,11710312698524739;0,15075038048818068;0,5359765051395007;-0,2836847138108465;-0,08999498224106883;-0,14101326899879374;0,20916620651573714;-0,02781641168289295;-0,2222513317614182;-0,2835099959747752;0,030513299528511784;-0,4250299880047981;;;;;-0,33218255304816435;-0,49449216776149574;-0,04233982407100334
2004;12113,0;58427,0;5290,0;21650,0;93508,0;26783,0;8479,0;12997,0;10009,0;4930,0;29861,0;2876,0;;;;2355,0;16324,0;10852,0;59028,0;-0,03157978893508151;-0,021847585883613463;1,5286806883365203;0,3762634288983535;0,01098473381481635;0,25370968496933943;-0,22559137820805553;-0,021383931932836386;0,12384909050078607;-0,07677902621722843;-0,1407401012891344;0,0;;;;;1,058252427184466;1,1695321871251498;-0,026583113456464358
2005;13192,0;54515,0;2013,0;17289,0;96557,0;24551,0;6586,0;14040,0;10645,0;3404,0;31406,0;3252,0;2154,0;;;1860,0;10365,0;4975,0;59807,0;0,08907785024354009;-0,06695534598730035;-0,6194706994328922;-0,201431870669746;0,032606835778757004;-0,08333644475973567;-0,22325745960608567;0,08024928829729938;0,06354281146967722;-0,30953346855983777;0,05173972740363686;0,1307371349095967;;;;-0,21019108280254772;-0,36504533202646405;-0,5415591596019167;0,013197126787287461
2006;9927,0;53211,0;8033,0;19002,0;91475,0;13710,0;8150,0;14040,0;7676,0;1937,0;29089,0;2334,0;2154,0;;;2002,0;12967,0;5385,0;55930,0;-0,24749848392965434;-0,023920022012290154;2,9905613512170888;0,09908034010064193;-0,052632124030365435;-0,44157060812186877;0,23747342848466446;0,0;-0,2789102865194927;-0,43096357226792015;-0,07377571164745589;-0,28228782287822873;0,0;;;0,07634408602150544;0,25103714423540757;0,0824120603015075;-0,06482518768706003
2007;13851,0;62340,0;7875,0;16198,0;93508,0;23913,0;7491,0;14704,0;10178,0;2758,0;31406,0;3752,0;991,0;;;4050,0;16114,0;29686,0;56582,0;0,39528558476881237;0,17156227095901233;-0,01966886592804684;-0,14756341437743392;0,022224651544137775;0,7442013129102845;-0,08085889570552152;0,0472934472934472;0,32595101615424693;0,42385131646876606;0,07965210216920493;0,6075407026563839;-0,5399257195914577;;;1,022977022977023;0,24269298989743193;4,51272051996286;0,011657428929018332
2008;17327,0;57384,0;5073,0;23830,0;91475,0;26464,0;9138,0;11479,0;12384,0;2993,0;27802,0;2460,0;1938,0;;2551,0;2920,0;14142,0;9595,0;61078,0;0,2509566096310736;-0,07949951876804617;-0,3558095238095238;0,47116928015804427;-0,02174145527655391;0,10667837577886496;0,21986383660392472;-0,2193280739934712;0,21674199253291415;0,08520667150108774;-0,11475514232949113;-0,34434968017057566;0,9556004036326942;;;-0,27901234567901234;-0,12237805634851684;-0,6767836690695951;0,07945989890777994
2009;12482,0;47994,0;6415,0;23519,0;84360,0;21363,0;8232,0;11763,0;8652,0;1467,0;27545,0;2501,0;1938,0;;3189,0;2496,0;;7763,0;53666,0;-0,27962140012696945;-0,1636344625679632;0,26453774886654835;-0,013050776332354186;-0,07778081443017215;-0,1927524183796856;-0,09914642153644126;0,02474083108284697;-0,3013565891472868;-0,5098563314400267;-0,009243939284943492;0,016666666666666607;0,0;;0,25009800078400635;-0,14520547945205475;0,0;-0,1909327774882752;-0,12135302400209569
2010;9269,0;44081,0;3711,0;26167,0;74197,0;22000,0;8726,0;9202,0;5386,0;1702,0;26000,0;2918,0;1228,0;;3597,0;1625,0;;6615,0;40925,0;-0,2574106713667681;-0,08153102471142226;-0,4215120810600156;0,11258982099579073;-0,12047178757705068;0,0298179094696438;0,060009718172983506;-0,21771656890249091;-0,3774849745723532;0,1601908657123381;-0,05609003448901795;0,1667333066773291;-0,3663570691434469;;0,12793979303857017;-0,34895833333333337;0,0;-0,14788097385031562;-0,23741288711661013
2011;8400,0;49559,0;6889,0;26790,0;70131,0;26145,0;6174,0;13471,0;5598,0;2347,0;24713,0;2668,0;1465,0;8081,0;3903,0;3320,0;;6943,0;36215,0;-0,09375337145323115;0,12427122796669776;0,8563729452977633;0,02380861390300759;-0,054800059301589044;0,18840909090909097;-0,29245931698372685;0,463920886763747;0,039361307092461884;0,37896592244418326;-0,04949999999999999;-0,08567511994516797;0,19299674267100975;;0,08507089241034205;1,043076923076923;0,0;0,04958427815570676;-0,11508857666463046
