year;Austria;Belgium-Wallonia;Bulgaria;Czech Republic;Denmark;Estonia;Finland;Germany East;Germany West;Greece;Latvia;Luxembourg;Netherlands;Spain;Sweden;Austria_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Latvia_rendements;Luxembourg_rendements;Netherlands_rendements;Spain_rendements;Sweden_rendements
1980;;;;;;;;43019,0;;;;;;;;;;;;;;;;;;;;;;
1981;;;;;;;;29953,0;;;;;;;;;;;;;;;-0,3037262604895511;;;;;;;
1982;40306,0;;;;;;;47844,0;;;;;;;;;;;;;;;0,5973024404901011;;;;;;;
1983;27811,0;;;;;;;37390,0;;;;;;;;-0,3100034734282737;;;;;;;-0,21850179750856957;;;;;;;
1984;31035,0;;;;3174,0;;;37390,0;;;1287169,0;;;;;0,11592535327748021;;;;;;;0,0;;;;;;;
1985;24586,0;;;;3479,0;;;14675,0;;;1003992,0;;;;;-0,20779764781698085;;;;0,0960932577189666;;;-0,6075153784434341;;;-0,21999986015822315;;;;
1986;30632,0;;;;3174,0;;;34576,0;;;720815,0;;;;;0,245912307817457;;;;-0,08766887036504745;;;1,3561158432708686;;;-0,2820510521996191;;;;
1987;40306,0;;;;3392,0;;;41612,0;;;952505,0;;;;;0,3158135283363803;;;;0,06868304977945816;;;0,20349375289217964;;;0,3214278282222207;;;;
1988;45545,0;;;;4087,0;;;31561,0;;;604970,0;;;;;0,129980648042475;;;;0,20489386792452824;;;-0,2415409016629818;;;-0,3648642264345069;;;;
1989;47561,0;142873,0;;;4479,0;;;34978,0;;;1158452,0;;;;113394,0;0,04426391480952896;;;;0,09591387325666756;;;0,10826653147872367;;;0,9148916475197117;;;;
1990;37081,0;120013,0;;;4348,0;;;22314,0;389,0;;1055479,0;;;3743,0;121331,0;-0,2203486049494333;-0,1600022397513876;;;-0,029247599910694366;;;-0,36205614957973586;;;-0,08888844768708593;;;;0,069994885090922
1991;38693,0;88581,0;;;3783,0;;;22314,0;373,0;;643585,0;;;3219,0;158276,0;0,043472398263261436;-0,2619049602959679;;;-0,1299448022079117;;;0,0;-0,041131105398457546;;-0,3902436713567963;;;-0,13999465669249267;0,30449761396510366
1992;62071,0;75723,0;;;3913,0;;;31963,0;412,0;;656456,0;;;2807,0;165808,0;0,6041919727082419;-0,14515528160666513;;;0,03436426116838498;;;0,43241910907950176;0,10455764075067031;;0,019998912342581;;;-0,12799005902454175;0,047587758093456944
1993;67713,0;27146,0;;;3957,0;;;19298,0;443,0;;1287169,0;;;4416,0;133042,0;0,09089590952296556;-0,641509184791939;;;0,011244569384104341;;;-0,39623940180834094;0,07524271844660202;;0,9607848812410884;;;0,5732098325614534;-0,1976141078838174
1994;52800,0;32861,0;;;3740,0;;;23721,0;381,0;26891,0;308921,0;;;4903,0;112804,0;-0,2202383589561827;0,21052825462314884;;;-0,05483952489259536;;;0,22919473520572087;-0,13995485327313772;;-0,7599996581645456;;;0,11028079710144922;-0,1521173764675816
1995;55622,0;67150,0;;36673,0;4783,0;;;21309,0;404,0;29042,0;411894,0;;;5539,0;154614,0;0,053446969696969715;1,0434557682359027;;;0,2788770053475935;;;-0,10168205387631213;0,06036745406824151;0,07998958759436237;0,333331175284296;;;0,12971650010197844;0,37064288500407794
1996;44739,0;41433,0;;71145,0;5131,0;;;25530,0;346,0;33345,0;798045,0;;;3293,0;176362,0;-0,19565999065118123;-0,3829784065524944;;0,9399830938292477;0,07275768346226208;;;0,1980853160636351;-0,14356435643564358;0,14816472694717997;0,9375009104284111;;;-0,40548835529879035;0,14065996610914921
1997;70535,0;34289,0;;107818,0;5696,0;;;24123,0;381,0;51899,0;347536,0;;;6362,0;139555,0;0,5765886586646998;-0,17242294789177703;;0,5154684095860567;0,11011498733190406;;;-0,05511163337250291;0,10115606936416177;0,5564252511620933;-0,5645157854506951;;;0,9319769207409656;-0,20870142094101907
1998;56025,0;44291,0;;65278,0;6479,0;;31285,0;24525,0;385,0;47059,0;180204,0;;;5576,0;145922,0;-0,2057134755794996;0,29169704569978716;;-0,39455378508226824;0,1374648876404494;;;0,016664593955975526;0,01049868766404205;-0,09325805892213723;-0,4814810552000368;;;-0,12354605469977997;0,045623589265880726
1999;37081,0;68579,0;46577,0;91682,0;6870,0;;18771,0;18896,0;439,0;23395,0;90102,0;;;6624,0;127461,0;-0,33813476126729136;0,5483732586755774;;0,40448543153895655;0,0603488192622319;;-0,4;-0,22952089704383283;0,1402597402597403;-0,5028581142820714;-0,5;;;0,18794835007173605;-0,1265127945066542
2000;53606,0;47148,0;36330,0;85448,0;7262,0;295293,0;19709,0;14273,0;474,0;25815,0;102974,0;;;3892,0;121646,0;0,4456460181764246;-0,3125009113577043;-0,22000128818944975;-0,06799589886782575;0,057059679767103244;;0,049970699483245395;-0,24465495342929722;0,07972665148063784;0,10344090617653334;0,14286031386650677;;;-0,4124396135265701;-0,04562179804018485
2001;47561,0;48577,0;21425,0;95716,0;6392,0;183082,0;20648,0;16283,0;404,0;26084,0;128717,0;;;12912,0;84896,0;-0,11276722754915491;0,03030881479596159;-0,41026699697219926;0,12016665106263469;-0,11980170751858987;-0,3799988486012198;0,04764320868638694;0,14082533454774748;-0,14767932489451474;0,01042029827619606;0,24999514440538384;;;2,317574511819116;-0,30210611117504893
2002;50382,0;47148,0;18165,0;144491,0;5653,0;298246,0;16894,0;10051,0;385,0;25546,0;167332,0;;;10404,0;97863,0;0,05931330291625492;-0,029417213907816486;-0,15215869311551922;0,5095804254252163;-0,11561326658322901;0,6290296151451262;-0,18180937621077098;-0,382730455075846;-0,04702970297029707;-0,02062567090936973;0,29999922310184357;;;-0,19423791821561343;0,15273982284206555
2003;42724,0;40004,0;23288,0;144491,0;5957,0;230329,0;17207,0;12664,0;408,0;25815,0;257434,0;;;7747,0;72917,0;-0,15199872970505335;-0,15152286417239336;0,2820258739333883;0,0;0,05377675570493534;-0,2277214111840561;0,018527287794483316;0,25997413192717134;0,05974025974025965;0,010530024269944427;0,5384624578681902;;;-0,25538254517493275;-0,2549073705077506
2004;52397,0;52863,0;13507,0;165028,0;8740,0;333681,0;29095,0;14072,0;564,0;29580,0;231690,0;;;4791,0;89635,0;0,2264067034921824;0,32144285571442865;-0,42000171762281;0,14213342007460672;0,46718146718146714;0,4487146646753122;0,6908816179461847;0,11118130132659498;0,38235294117647056;0,14584543869843114;-0,10000233069446929;;;-0,3815670582160836;0,22927438045997506
2005;40709,0;65721,0;12576,0;135689,0;8218,0;313011,0;17207,0;14072,0;541,0;25546,0;180204,0;;2343,0;12388,0;106265,0;-0,22306620608050076;0,24323250666817997;-0,06892722292144815;-0,17778195215357395;-0,059725400457665945;-0,061945390957231616;-0,4085925416738271;0,0;-0,04078014184397161;-0,13637592968221768;-0,22221934481419137;;;1,585681486119808;0,1855302058347743
2006;52397,0;55720,0;10713,0;139357,0;9088,0;292340,0;28156,0;13067,0;389,0;28235,0;193075,0;;4732,0;10367,0;92891,0;0,2871109582647571;-0,1521735822644208;-0,14813931297709926;0,02703240498492887;0,10586517400827455;-0,06603921267942658;0,6363108037426628;-0,07141841955656625;-0,2809611829944547;0,10526109762780855;0,07142460766686654;;1,019632949210414;-0,1631417500807233;-0,12585517338728647
2007;38290,0;48577,0;4658,0;234339,0;9349,0;256905,0;33162,0;10654,0;490,0;43025,0;231690,0;;2061,0;12875,0;119117,0;-0,2692329713533218;-0,12819454414931797;-0,56520115747223;0,6815732256004363;0,028719190140845008;-0,1212116029280974;0,17779514135530605;-0,184663656539374;0,2596401028277635;0,5238179564370462;0,19999999999999996;;-0,5644547759932375;0,2419214816243851;0,2823309039627089
2008;41112,0;40004,0;3726,0;180430,0;8479,0;301199,0;24715,0;12664,0;439,0;26084,0;218819,0;;1851,0;9132,0;85448,0;0,07370070514494653;-0,17648269757292545;-0,20008587376556464;-0,23004706856306467;-0,09305808107819014;0,17241392732722205;-0,2547192569808817;0,18866153557349352;-0,10408163265306125;-0,3937478210342824;-0,05555267814752474;;-0,10189228529839889;-0,2907184466019418;-0,2826548687424969
