year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Czech Republic;Denmark;Estonia;Finland;Germany East;Greece;Latvia;Lithuania;Luxembourg;Norway;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;Germany East_rendements;Greece_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Norway_rendements;Sweden_rendements
1980;;;;;;;;;480472,0;605970,0;;240966,0;;;;;;;;;;;;;;;;;;
1981;;;;;;;;;285371,0;562687,0;;348287,0;;;;;;;;;;;;-0,40606112322882504;-0,07142762843045036;;0,4453781861341435;;;
1982;56440,0;;;;;;;;349434,0;554030,0;;285514,0;;;;;;;;;;;;0,224490225005344;-0,01538510752869715;;-0,18023354302629724;;;
1983;71114,0;;;;;;;;387289,0;450149,0;;390810,0;;;;0,2599929128277818;;;;;;;;0,10833233171357115;-0,1875006768586539;;0,3687945249619984;;;
1984;34428,0;;;;;15885,0;;;195101,0;346269,0;1139112,0;275389,0;;;;-0,5158759175408498;;;;;;;;-0,4962392425294806;-0,23076803458410433;;-0,2953378879762545;;;
1985;24269,0;3704,0;;;;13397,0;;;145598,0;294328,0;1036592,0;180218,0;;;;-0,29507958638317644;;;;;-0,15662574756059178;;;-0,25373011927155675;-0,15000187715331148;-0,08999992976985582;-0,34558751438873736;;;
1986;51924,0;2333,0;;;;13588,0;;;154333,0;415522,0;1013809,0;236916,0;;;;1,1395195516914582;-0,37014038876889854;;;;0,014256923191759308;;;0,05999395596093349;0,4117651055964775;-0,02197875345362499;0,3146078638093863;;;
1987;67163,0;2926,0;;;;17798,0;;;200925,0;510746,0;1070765,0;283489,0;;;;0,2934866343116862;0,254179168452636;;;;0,30983220488666463;;;0,30189266067529297;0,22916716804405057;0,05618020751443309;0,1965802225261275;;;
1988;54746,0;4481,0;;;;18947,0;;;198013,0;597313,0;1082156,0;293614,0;;;;-0,18487857897949767;0,5314422419685578;;;;0,06455781548488604;;;-0,014492970013686657;0,16949129312809097;0,010638188584796815;0,035715671507536406;;;
1989;51360,0;5259,0;8547,0;;;22009,0;;;183453,0;744478,0;1230241,0;295639,0;;;11406,0;-0,061849267526394636;0,173621959384066;;;;0,16160869794690447;;;-0,07353052577356034;0,24637836444209316;0,13684256244016568;0,006896810097611228;;;
1990;42330,0;4815,0;5555,0;;;19138,0;;;139774,0;588657,0;1025201,0;321963,0;;;17907,0;-0,17581775700934577;-0,08442669709070161;-0,3500643500643501;;;-0,13044663546730884;;;-0,23809368067025338;-0,20930235681914044;-0,16666653119185593;0,08904102638691103;;;0,5699631772751184
1991;33299,0;3815,0;5812,0;;;16076,0;;;148509,0;476119,0;603729,0;206542,0;;;9809,0;-0,2133475076777699;-0,2076843198338525;0,046264626462646286;;;-0,15999581983488342;;;0,06249373989440099;-0,19117754481811988;-0,4111115771443844;-0,35849150368210014;;;-0,452225386720277
1992;37815,0;3630,0;6923,0;;;21817,0;;;154333,0;493433,0;1253023,0;222741,0;;;9809,0;0,13561968827892734;-0,04849279161205766;0,19115622849277347;;;0,3571161980592188;;;0,0392164784625848;0,036364858365240726;1,0754726044301335;0,07842956880440788;;;0,0
1993;58697,0;3148,0;5128,0;;;22583,0;;;151421,0;432836,0;911289,0;275389,0;;;2395,0;0,5522147296046542;-0,1327823691460055;-0,2592806586739853;;;0,03511023513773659;;;-0,018868291292205797;-0,12280694643447032;-0,2727276354863398;0,2363642077569914;;;-0,7558364767050667
1994;50796,0;3296,0;3590,0;;;23348,0;;;160157,0;519403,0;1708668,0;232866,0;;;10608,0;-0,13460653866466765;0,04701397712833555;-0,2999219968798752;;;0,03387503874595943;;;0,05769345071027132;0,1999995379312256;0,875001234515066;-0,15441066999771236;;;3,4292275574112736
1995;68856,0;3852,0;6666,0;;70458,0;31961,0;;;232956,0;631940,0;774596,0;257165,0;;;19504,0;0,3555398062839594;0,1686893203883495;0,8568245125348188;;;0,36889669350693843;;;0,4545477250447998;0,21666605699235464;-0,5466667603068589;0,10434756469385831;;;0,8386123680241326
1996;47974,0;4222,0;7179,0;;73277,0;33683,0;;;230044,0;640597,0;785987,0;261215,0;;;21215,0;-0,3032705937028001;0,09605399792315672;0,076957695769577;;0,04000965113968613;0,053878164012390206;;;-0,01250021463280615;0,013699085356204677;0,014705730471110012;0,01574864386677821;;;0,08772559474979502
1997;35557,0;3778,0;9230,0;;62003,0;31961,0;;;212572,0;562687,0;1287196,0;226791,0;;;10608,0;-0,258827698336599;-0,10516342965419234;0,28569438640479183;;-0,15385455190578212;-0,05112371225840928;;;-0,07595068769452795;-0,12162092548045023;0,6376810303478302;-0,13178416247152724;;;-0,4999764317699741
1998;27655,0;3370,0;10085,0;;50025,0;33300,0;;146559,0;133950,0;528060,0;1104938,0;161994,0;;;13801,0;-0,22223472171443037;-0,10799364743250395;0,09263271939328277;;-0,19318420076447917;0,041894809298832936;;;-0,36986056489095465;-0,061538652927826676;-0,14159304410517126;-0,28571239599455;;;0,30099924585218707
1999;49102,0;4704,0;10085,0;773671,0;50025,0;34449,0;;208113,0;180541,0;588657,0;945463,0;210592,0;;;11406,0;0,7755197975049719;0,3958456973293769;0,0;;0,0;0,034504504504504485;;0,41999467791128486;0,34782381485628977;0,11475400522667889;-0,1443293650865478;0,29999876538637227;;;-0,1735381494094631
2000;78451,0;4556,0;11965,0;820092,0;54958,0;41912,0;506768,0;296049,0;209660,0;735821,0;1218850,0;249065,0;;;14714,0;0,5977149606940655;-0,03146258503401356;0,1864154685176005;0,06000095647891679;0,09861069465267369;0,21663908966878576;;0,4225396779634141;0,16128746378938863;0,24999957530446415;0,28915674119452595;0,18268975079775118;;;0,2900227950201648
2001;72243,0;3370,0;12222,0;905195,0;53548,0;41530,0;542242,0;268202,0;212572,0;666567,0;820160,0;245016,0;;;18706,0;-0,07913219716765885;-0,2603160667251976;0,02147931466778097;0,1037725035727699;-0,025655955456894364;-0,009114334796716972;0,07000047358949257;-0,09406213160659216;0,01388915386816758;-0,09411799880677507;-0,3271034171555155;-0,016256800433621765;;;0,2713062389560963
