year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Germany East;Germany West;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Germany East_rendements;Germany West_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Spain_rendements;Sweden_rendements
1980;;59083,0;;;;;;;28015,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;63193,0;;;;;;;32129,0;;;;;;;;;;;;0,06956315691484871;;;;;;;0,14684990183830093;;;;;;;;;;
1982;323249,0;64220,0;;;;;;;28407,0;;;;;;;;;;;;0,016251800041143794;;;;;;;-0,11584549783684517;;;;;;;;;;
1983;316784,0;66789,0;;;;;;;35851,0;;;;;;;;;;;-0,020000061871807806;0,04000311429461223;;;;;;;0,2620480867391839;;;;;;;;;;
1984;313551,0;69872,0;;;;;209147,0;;50153,0;;;;489898,0;28892,0;;;;;;-0,010205692206677108;0,04616029585710213;;;;;;;0,3989289001701486;;;;;;;;;;
1985;365271,0;69872,0;;;;;216706,0;;45255,0;;;;631968,0;28603,0;;;;;;0,16494924270692812;0,0;;;;;0,03614204363438156;;-0,09766115686000842;;;;0,2899991426786801;-0,010002768932576456;;;;;
1986;400828,0;62679,0;;;;;241904,0;;56226,0;;;;636867,0;36115,0;;;;;;0,09734416364835963;-0,10294538584840851;;;;;0,11627735272673578;;0,24242625124295647;;;;0,007751974783533289;0,2626297940775444;;;;;
1987;232739,0;48294,0;;;;;257023,0;;42120,0;;;;357626,0;33226,0;;;;;;-0,4193544363168241;-0,22950270425501362;;;;;0,0625;;-0,2508803756269341;;;;-0,438460463487667;-0,07999446213484707;;;;;
1988;391131,0;79119,0;;;;;259543,0;;58185,0;;;;470302,0;61829,0;;;;;;0,680556331341116;0,6382780469623557;;;;;0,00980457001902546;;0,3814102564102564;;;;0,31506657793337167;0,8608619755613074;;;;;
1989;371736,0;82202,0;13769,0;;;;254504,0;;62495,0;;;;597676,0;31204,0;;;;;661335,0;-0,04958696702639265;0,038966619901667165;;;;;-0,019414894641735625;;0,07407407407407418;;;;0,2708344850755473;-0,4953177311617526;;;;;
1990;371736,0;67817,0;8124,0;;;;251984,0;;46430,0;11019,0;;;436009,0;23114,0;;;;71149,0;740695,0;0,0;-0,17499574219605363;-0,40997893819449494;;;;-0,00990161254832933;;-0,2570605648451876;;;;-0,2704927084239621;-0,25926163312395845;;;;;0,11999969758140727
