year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Denmark;Estonia;France;Germany East;Germany West;Greece;Lithuania;Poland;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Lithuania_rendements;Poland_rendements;Sweden_rendements
1980;;111362,0;;;;;;;743294,0;;138203,0;32060,0;;;;;;;;;;;;;;;;
1981;;86725,0;;;;;;;772253,0;;141717,0;24855,0;;;;-0,22123345485892854;;;;;;;0,03896035754358307;;0,025426365563699704;-0,22473487211478482;;
1982;93040,0;95594,0;;;;;;;801213,0;;149915,0;56194,0;;;;0,10226578264629582;;;;;;;0,03750066364261451;;0,0578476823528582;1,260873063769865;;
1983;144212,0;85739,0;;;;;;;897744,0;;152258,0;23414,0;;;0,55;-0,10309224428311403;;;;;;;0,12048107057673807;;0,015628856351932674;-0,5833362992490301;;
1984;96762,0;81797,0;;;;292878,0;;;873611,0;;144059,0;72404,0;;;-0,3290294843702327;-0,0459767433723276;;;;;;;-0,026881828227200644;;-0,05384938722431665;2,092337917485265;;
1985;81875,0;79826,0;;;;276046,0;;;777080,0;;153429,0;41065,0;;;-0,15385171864988323;-0,024096238248346502;;;;-0,05747102889257638;;;-0,11049654823485511;;0,06504279496595156;-0,4328352024750014;;
1986;89319,0;85739,0;;;;313077,0;;;767427,0;;174511,0;41425,0;;;0,09091908396946558;0,07407361010197189;;;;0,13414793186642804;;;-0,012422144438153038;;0,13740557521720143;0,008766589553147464;;
1987;86527,0;96580,0;;;;343374,0;;;806039,0;;169826,0;40705,0;;;-0,03125874673921558;0,12644187592577483;;;;0,09677172069490902;;;0,05031358031447941;;-0,02684644520975754;-0,01738080869040437;;
1988;93971,0;76870,0;;;;316443,0;;;738467,0;;176853,0;32420,0;;;0,08603094987691695;-0,20407951956926895;;;;-0,07843051599713435;;;-0,08383217189242709;;0,041377645354657044;-0,20353764893747694;;
1989;74432,0;91652,0;152300,0;;;329909,0;;;719161,0;;172168,0;58356,0;;177091,0;-0,20792584946419645;0,1922986860934044;;;;0,04255426727720324;;;-0,026143348314819792;;-0,026490927493455052;0,8;;
1990;76293,0;82783,0;146208,0;;;336642,0;;;762600,0;16711,0;172168,0;68442,0;;150527,0;0,025002687016337122;-0,09676821018635706;-0,040000000000000036;;;0,020408658145124825;;;0,06040232993724626;;0,0;0,17283569812872712;;-0,15000197638502244
1991;77223,0;83768,0;138593,0;;;259214,0;;;743294,0;16711,0;147573,0;53673,0;;178120,0;0,012189847037080703;0,011898578210502109;-0,05208333333333337;;;-0,2300010099749883;;;-0,025316024127983172;0,0;-0,14285465359416383;-0,21578855088980453;;0,18330930663601874
1992;64198,0;87710,0;159915,0;;;326542,0;;;859132,0;17045,0;160456,0;62318,0;;218941,0;-0,16866736594019915;0,04705854264158149;0,15384615384615374;;;0,2597390573040037;;;0,15584412089967103;0,019986835018849902;0,0872991671918304;0,1610679485029718;;0,2291769593532451
1993;80945,0;84754,0;167530,0;;;336642,0;;;767427,0;18382,0;163970,0;81050,0;;215674,0;0,2608648244493599;-0,033701972409075354;0,04761904761904767;;;0,030930171310275645;;;-0,10674145532933244;0,07843942505133472;0,02190008475843852;0,30058731024744056;;-0,014921828255100689
1994;102344,0;82783,0;153823,0;;;387138,0;;;815692,0;16711,0;176853,0;61598,0;;257763,0;0,2643646920748657;-0,023255539561554572;-0,08181818181818179;;;0,14999910884559853;;;0,06289197539309921;-0,0909041453595909;0,0785692504726474;-0,24;;0,19515101495776022
1995;84667,0;107420,0;152300,0;;;403970,0;;;878438,0;18883,0;210818,0;59797,0;;244326,0;-0,1727214101461737;0,29760941256054996;-0,00990099009900991;;;0,043478036255805375;;;0,07692364274750774;0,12997426844593374;0,19205215631060835;-0,029237962271502327;;-0,052129281549330164
1996;112579,0;84754,0;150777,0;;;356840,0;;;825345,0;17880,0;209647,0;62678,0;;230158,0;0,32966799343309683;-0,2110035375162912;-0,010000000000000009;;;-0,11666707923855735;;;-0,060440235964291156;-0,053116559868664925;-0,0055545541652041175;0,04817967456561356;;-0,05798809786924031
1997;91179,0;82783,0;147731,0;;;340008,0;;;791559,0;17713,0;219017,0;88974,0;;256495,0;-0,19008873768642465;-0,023255539561554572;-0,02020202020202022;;;-0,047169599820647945;;;-0,04093560874543378;-0,009340044742729314;0,044694176401284036;0,4195411468138741;;0,1144300871575179
1998;78154,0;76870,0;135547,0;;;326542,0;;676229,0;666068,0;16711,0;234243,0;66281,0;;268801,0;-0,14285087574989852;-0,0714277085875119;-0,08247422680412375;;;-0,03960495047175361;;;-0,15853650833355437;-0,05656862191610679;0,06951971764748865;-0,25505203767392726;;0,04797754342189897
1999;63267,0;84754,0;129455,0;343609,0;;343374,0;;696516,0;632282,0;14872,0;241270,0;82130,0;;296681,0;-0,19048289275021113;0,102562768310134;-0,0449438202247191;;;0,05154620232619389;;0,03000019224256878;-0,050724550646480515;-0,11004727425049365;0,02999876196940776;0,23911829936180795;;0,10371985223269253
2000;92110,0;86725,0;144685,0;498233,0;95340,0;343374,0;287612,0;926434,0;709508,0;17379,0;251811,0;107346,0;;282562,0;0,4558932776961133;0,023255539561554572;0,11764705882352944;0,4499998544857673;;0,0;;0,33009722676865993;0,12213853944916986;0,16857181280258193;0,04368964230944594;0,30702544746134186;;-0,047589835547271364
2001;78154,0;94609,0;123363,0;384842,0;81039,0;336642,0;281860,0;899385,0;675721,0;16209,0;238927,0;87894,0;;304447,0;-0,1515144935403322;0,09090804266359176;-0,1473684210526316;-0,22758628994867858;-0,15000000000000002;-0,019605444791976123;-0,019999165542466946;-0,029196899077538196;-0,04762032281524664;-0,06732263076126355;-0,05116535814559331;-0,18120842881895927;;0,07745202822743336
2002;116300,0;86725,0;102041,0;247398,0;87713,0;333275,0;221462,0;967008,0;733640,0;17045,0;241270,0;61238,0;;306218,0;0,48808762187476007;-0,08333245251508836;-0,1728395061728395;-0,3571439707724209;0,08235540912400197;-0,010001722898509424;-0,21428368693677713;0,07518804516419553;0,08571437028004159;0,05157628478006049;0,009806342523030143;-0,30327439870753403;;0,0058171044549626405
2003;90249,0;83768,0;74627,0;322992,0;73412,0;360207,0;198453,0;845287,0;579190,0;16376,0;222530,0;60517,0;;310531,0;-0,22399828030954427;-0,03409628134909193;-0,26865671641791045;0,30555622923386605;-0,16304310649504639;0,0808101417748106;-0,10389592796958391;-0,1258738293788676;-0,2105255983861294;-0,039249046641243734;-0,0776723173208439;-0,01177373526241876;;0,014084737017418858
2004;108857,0;81797,0;98995,0;247398,0;100107,0;340008,0;371020,0;1088729,0;646762,0;17212,0;290461,0;56915,0;5102,0;246868,0;0,20618511008432217;-0,023529271320790746;0,3265306122448979;-0,23404294843215934;0,3636326486133057;-0,05607608958182375;0,8695610547585575;0,28799922393222666;0,11666637890847564;0,05105031753786027;0,3052667056127263;-0,05952046532379329;;-0,20501334810373195
2005;106996,0;70957,0;115748,0;274887,0;71505,0;363573,0;319250,0;1054918,0;521271,0;17212,0;267037,0;43226,0;3418,0;271117,0;-0,017095822960397578;-0,13252319767228626;0,1692307692307693;0,1111124584677321;-0,2857142857142857;0,06930719277193487;-0,13953425691337396;-0,0310554784523972;-0,19402964305262216;0,0;-0,08064421729595372;-0,24051655978213127;-0,3300666405331243;0,09822658262715289
2006;124674,0;73913,0;95949,0;604751,0;81993,0;343374,0;301993,0;946721,0;632282,0;17880,0;278749,0;55114,0;6224,0;281108,0;0,1652211297618602;0,04165903293543982;-0,17105263157894735;1,199998544856614;0,1466750576882736;-0,055556930795191084;-0,05405481597494122;-0,10256436993207052;0,2129621636346546;0,038810132465721514;0,043859090687807356;0,27501966409105627;0,820947922761849;0,03685124872287604
2007;121883,0;74899,0;129455,0;216474,0;65785,0;343374,0;307745,0;994057,0;569537,0;17713,0;248297,0;39624,0;4286,0;317842,0;-0,022386383688659972;0,013340007847063351;0,3492063492063493;-0,6420444116669506;-0,19767541131560007;0,0;0,01904679909799234;0,04999994718612988;-0,09923578403307387;-0,009340044742729314;-0,10924523496048422;-0,2810538157274014;-0,31137532133676094;0,13067575451427915
2008;119091,0;63072,0;135547,0;278323,0;113455,0;329909,0;264603,0;865573,0;530924,0;17045,0;269379,0;31339,0;6276,0;258858,0;-0,022907214295676992;-0,15790598005313827;0,04705882352941182;0,28571098607684986;0,7246332750627043;-0,03921380186036216;-0,1401874928918423;-0,12925214550071074;-0,06779717560053167;-0,03771241461073782;0,08490638227606451;-0,20909045023218253;0,4643023798413439;-0,18557648139641714
2009;99553,0;68986,0;124886,0;233654,0;100107,0;360207,0;258851,0;872336,0;569537,0;17546,0;252982,0;33140,0;6122,0;281425,0;-0,16405941674853686;0,09376585489599187;-0,0786516853932584;-0,16049338358669607;-0,11765016967079456;0,0918374460836171;-0,021738226701889296;0,007813321348979274;0,07272792339393219;0,029392783807568268;-0,06086962977811927;0,057468330195602935;-0,02453792224346718;0,08717907115097856
2010;136769,0;62087,0;137070,0;226782,0;84853,0;363573,0;290489,0;933196,0;550230,0;17713,0;278749,0;48990,0;5204,0;297818,0;0,37383102468032114;-0,10000579827791145;0,09756097560975618;-0,029411009441310698;-0,15237695665637763;0,00934462683956716;0,12222475478170836;0,06976669540177172;-0,03389946570635449;0,009517838823663416;0,10185309626771866;0,4782739891369945;-0,14995099640640308;0,05824997779159635
2011;146073,0;68000,0;134024,0;329864,0;76272,0;403970,0;299117,0;953483,0;516444,0;15708,0;309200,0;21613,0;3980,0;302586,0;0,06802711140682471;0,09523732826517639;-0,022222222222222254;0,45454224762106343;-0,1011278328403239;0,11111111111111116;0,02970164102599404;0,021739270206901917;-0,06140341311815056;-0,11319369954270875;0,10924164750366816;-0,5588283323127169;-0,23520368946963877;0,016009777783747126
2012;141421,0;55188,0;98995,0;195857,0;73412,0;363573,0;301993,0;892623,0;530924,0;15875,0;242441,0;39264,0;10000,0;285966,0;-0,03184709015355336;-0,1884117647058824;-0,26136363636363635;-0,4062492421119006;-0,0374973778057478;-0,09999999999999998;0,00961496671870865;-0,0638291401105211;0,02803788987770206;0,010631525337407632;-0,21590879689521347;0,8166844029056586;1,512562814070352;-0,05492653328309971
2013;92110,0;64058,0;106610,0;295504,0;81993,0;340008,0;230090,0;953483,0;516444,0;15541,0;230729,0;17291,0;7551,0;264081,0;-0,3486823031940094;0,16072334565485247;0,07692307692307687;0,5087742587704294;0,1168882471530539;-0,06481504402142069;-0,2380949227299971;0,06818107980636845;-0,027273206711318387;-0,021039370078740127;-0,04830866066383166;-0,5596220456397718;-0,2449;-0,07653007700216108
2014;121883,0;66029,0;112702,0;213037,0;91527,0;366939,0;255975,0;865573,0;501965,0;15541,0;231900,0;34581,0;7041,0;259767,0;0,3232330908696124;0,030768990602266788;0,05714285714285716;-0,27907236450268014;0,1162782188723428;0,07920695983623904;0,11249945673432138;-0,09219881214452696;-0,02803595355934041;0,0;0,005075218113024471;0,9999421664449715;-0,06754072308303538;-0,01633589694071136
2015;107927,0;63072,0;134024,0;144316,0;83900,0;373672,0;296241,0;879098,0;487485,0;16376,0;238927,0;42146,0;;288963,0;-0,11450325311979526;-0,04478335276923773;0,18918918918918926;-0,32257776818111406;-0,08333060189889319;0,0183490988965469;0,15730442426018176;0,015625487393899684;-0,028846632733357858;0,05372884627758823;0,03030185424752041;0,21876174778057322;0,0;0,11239302913765026
2016;120022,0;56174,0;124886,0;161496,0;79133,0;390504,0;264603,0;;419913,0;16376,0;263523,0;44667,0;;274796,0;0,11206648938634456;-0,10936707255200406;-0,06818181818181823;0,11904431941018312;-0,056817640047675755;0,04504485216981746;-0,10679818121056839;0,0;-0,1386134957998708;0,0;0,10294357690842815;0,05981587813790168;0,0;-0,04902703806369668
