year;Austria;Belgium-Brussels;Bulgaria;Czech Republic;Denmark;Estonia;Germany East;Hungary;Latvia;Lithuania;Netherlands;Portugal;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Bulgaria_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Germany East_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Netherlands_rendements;Portugal_rendements;Spain_rendements;Sweden_rendements
1980;;38478,0;;;;;89081,0;;;40283,0;;;;;;;;;;;;;;;;;;
1981;;39783,0;;;;;100475,0;;;30855,0;;;;;;0,03391548417277401;;;;;0,12790606302129515;;;-0,2340441377255914;;;;
1982;110118,0;42717,0;;;;;137764,0;;;38569,0;;;;;;0,07375009426136803;;;;;0,37112714605623287;;;0,25000810241451954;;;;
1983;140951,0;46304,0;;;;;123263,0;;;26570,0;;;;;0,2799996367533011;0,0839712526628742;;;;;-0,10525971952033908;;;-0,3111047732635017;;;;
1984;145356,0;41087,0;;;71790,0;;136729,0;;340482,0;23999,0;;;;;0,03125199537427892;-0,1126684519695923;;;;;0,1092460835773914;;;-0,0967632668423033;;;;
1985;151963,0;31957,0;;;58330,0;;113940,0;;241743,0;36284,0;;;;;0,04545392003082083;-0,2222114050672962;;;-0,1874912940520964;;-0,1666727614478275;;-0,2899977091299981;0,5118963290137089;;;;
1986;102410,0;33913,0;;;60012,0;;127406,0;;371126,0;30284,0;;;;;-0,32608595513381544;0,061207247238476814;;;0,028835933481913267;;0,11818500965420387;;0,5352088788506804;-0,1653621430933745;;;;
1987;101309,0;20217,0;;;65621,0;;75615,0;;333673,0;18570,0;;;;;-0,010750903232106257;-0,4038569280217026;;;0,09346464040525237;;-0,4065036183539237;;-0,10091720871078824;-0,38680491348566903;;;;
1988;158570,0;22826,0;;;68986,0;;85973,0;;323458,0;17428,0;;;;;0,5652113829965748;0,1290498095662067;;;0,05127931607259861;;0,13698340276400178;;-0,030613804533180744;-0,06149703823371033;;;;
1989;143153,0;21848,0;;;59451,0;;101511,0;;296220,0;17428,0;;;;368619,0;-0,09722520022702907;-0,04284587750810476;;;-0,1382164497144348;;0,18073115978272258;;-0,08420876899010077;0,0;;;;
1990;132142,0;20217,0;;;56086,0;;90117,0;;265576,0;16285,0;;;88388,0;280151,0;-0,07691770343618365;-0,07465214207250093;;;-0,056601234630199615;;-0,112243993261814;;-0,10345013841064077;-0,06558411751204962;;;;-0,23999848081623576
1991;162975,0;20543,0;;;52160,0;;93224,0;;347292,0;29998,0;;;61871,0;455544,0;0,2333323243177794;0,016125043280407647;;;-0,06999964340477127;;0,03447740160014212;;0,30769346627707317;0,8420632483880872;;;-0,30000678825179894;0,6260659430093056
1992;140951,0;19891,0;;;49917,0;;97367,0;;207694,0;12285,0;;;61871,0;405457,0;-0,1351372909955515;-0,0317383050187412;;;-0,04300230061349697;;0,04444134557624646;;-0,40196146182463177;-0,5904726981798787;;;0,0;-0,10994986214284463
1993;139850,0;19565,0;;;44869,0;;99439,0;;214504,0;25713,0;;;45962,0;458284,0;-0,007811225177543957;-0,016389321803830903;;;-0,10112787226796482;;0,02128031057750568;;0,03278862172234143;1,0930402930402932;;;-0,2571317741753002;0,13029001842365528
1994;136546,0;15978,0;;;37017,0;;90117,0;;296220,0;18285,0;;;95459,0;399218,0;-0,023625312835180545;-0,18333759263991822;;;-0,174998328467316;;-0,09374591458079828;;0,3809532689367099;-0,2888811107222028;;;1,0769113615595494;-0,12888514545565632
1995;170683,0;14674,0;;;35334,0;;80794,0;;228123,0;20284,0;;;58336,0;406304,0;0,25000366176965994;-0,08161221679809738;;;-0,045465596887916404;;-0,10345439817126623;;-0,22988657079197894;0,10932458299152303;;;-0,3888894708723116;0,01774970066479975
1996;165177,0;15978,0;;;31969,0;;101511,0;;234933,0;14856,0;;141973,0;45078,0;431160,0;-0,03225863149815744;0,08886465857980097;;;-0,09523405218769454;;0,2564175557590911;;0,029852316513459876;-0,26760007887990533;;;-0,22726961053208994;0,061175868315350046
1997;165177,0;19565,0;;;30287,0;;103582,0;;251957,0;19999,0;;163269,0;60104,0;488907,0;0,0;0,22449618225059464;;;-0,05261346929838284;;0,020401729861788453;;0,07246321291602276;0,3461900915455034;;0,1500003521796398;0,33333333333333326;0,13393403840801565
1998;172885,0;16630,0;;;27482,0;;82866,0;26434,0;245147,0;16285,0;;130615,0;38007,0;453278,0;0,046665092597637736;-0,15001277791975465;;;-0,0926139928021924;;-0,19999613832519159;;-0,02702842151636986;-0,18570928546427323;;-0,200001224972285;-0,36764608012777855;-0,07287480031989724
1999;158570,0;16957,0;21942,0;;30287,0;;80794,0;30663,0;238338,0;17999,0;;123517,0;70710,0;476341,0;-0,08280070567140008;0,01966325917017442;;;0,10206680736482054;;-0,025004223686433513;0,1599833547703715;-0,027775171631714834;0,10525023027325764;;-0,05434291620411136;0,8604467598074039;0,050880475116815704
2000;131040,0;16630,0;40374,0;;31408,0;1301582,0;88045,0;28813,0;262171,0;18856,0;;211540,0;79549,0;435507,0;-0,1736141767042947;-0,019284071474907072;0,8400328137817883;;0,03701257965463722;;0,08974676337351783;-0,06033330072073839;0,09999664342236647;0,047613756319795586;;0,7126387460835351;0,1250035355678123;-0,08572430254796459
2001;104612,0;16304,0;22162,0;;28604,0;1392693,0;82866,0;25905,0;262171,0;11428,0;;120677,0;74246,0;451957,0;-0,20167887667887663;-0,019603126879134125;-0,4510823797493436;;-0,08927661742231274;0,0700001997569113;-0,05882219319666082;-0,10092666504702741;0,0;-0,3939329656342808;;-0,42953105795594215;-0,06666331443512807;0,03777206795757593
2002;103511,0;16304,0;43007,0;;26361,0;859044,0;102546,0;25376,0;262171,0;19142,0;;203021,0;47729,0;379180,0;-0,010524605207815507;0,0;0,9405739554191861;;-0,07841560620892185;-0,38317777141121556;0,23749185431902098;-0,020420768191468874;0,0;0,675008750437522;;0,6823504064569057;-0,3571505535651752;-0,1610263808282646
2003;124433,0;17935,0;33572,0;;28043,0;1015234,0;106690,0;22997,0;262171,0;14856,0;;159010,0;20329,0;364435,0;0,20212344581735264;0,10003680078508337;-0,2193828911572535;;0,06380638063806376;0,1818183934699502;0,0404111325648977;-0,09375;0,0;-0,22390554800961238;;-0,21678053009294607;-0,5740744620670871;-0,03888654464897934
2004;96904,0;14348,0;37302,0;;38700,0;1119361,0;103582,0;27227,0;303029,0;21713,0;;208700,0;24748,0;352057,0;-0,221235524338399;-0,19999999999999996;0,11110449183843674;;0,3800235352850978;0,10256453192071979;-0,029131127565845016;0,18393703526546945;0,15584484935404763;0,4615643511039311;;0,3124960694295955;0,21737419450046724;-0,03396490457831991
2005;99106,0;16630,0;41471,0;93450,0;35895,0;1041266,0;102546,0;21940,0;340482,0;15142,0;31780,0;122097,0;25632,0;356876,0;0,022723520184925183;0,1590465570114301;0,11176344431933938;;-0,07248062015503876;-0,06976748341241124;-0,010001737753663753;-0,19418224556506414;0,12359543146035534;-0,3026297609726891;;-0,4149640632486823;0,03572005818652002;0,013688124366224796
2006;75981,0;15652,0;32474,0;116812,0;39260,0;1158408,0;106690,0;29077,0;228123,0;15428,0;38136,0;210120,0;11490,0;349317,0;-0,23333602405505216;-0,058809380637402264;-0,21694678208868845;0,24999464954521144;0,09374564702604826;0,11249959184300651;0,0404111325648977;0,3252962625341842;-0,32999982377923065;0,018887861577070453;0,19999999999999996;0,7209268040983807;-0,5517322097378277;-0,02118102646297315
2007;94701,0;15978,0;22820,0;151388,0;37578,0;1158408,0;110833,0;30134,0;204289,0;17713,0;45127,0;180306,0;12374,0;381733,0;0,24637738381963903;0,020828009200102304;-0,29728398103097864;0,29599698661096463;-0,0428425878757005;0,0;0,03883213047145939;0,03635175568318605;-0,10447872419703408;0,1481073373087891;0,1833176001678205;-0,1418903483723587;0,07693646649260222;0,09279823197840353
2008;75981,0;12065,0;4608,0;156995,0;38700,0;1080313,0;93224,0;28020,0;268981,0;20284,0;34004,0;107899,0;15910,0;343551,0;-0,19767478696106688;-0,2448992364501189;-0,7980718667835233;0,03703728168679166;0,029857895577199534;-0,06741579823343757;-0,15887867331931826;-0,07015331519214174;0,3166690325959791;0,14514763168294476;-0,2464821503756066;-0,40157842778387853;0,28576046549216105;-0,10002279079880438
2009;96904,0;14348,0;16018,0;207458,0;40943,0;989203,0;90117,0;24848,0;194075,0;22284,0;26695,0;73826,0;16794,0;283725,0;0,2753714744475593;0,18922503108164102;2,4761284722222223;0,3214306188095162;0,05795865633074926;-0,08433666909497528;-0,03332832746932124;-0,1132048536759458;-0,2784806361787635;0,09859988168014189;-0,21494530055287608;-0,3157860591849786;0,05556253928346955;-0,17414008400499492
2010;94701,0;13043,0;21065,0;299973,0;38700,0;1184440,0;103582,0;26698,0;265576,0;22570,0;16208,0;76665,0;15026,0;318881,0;-0,022733839676380763;-0,09095344298856989;0,31508303158946194;0,44594568539174184;-0,05478347947146034;0,19736798210276363;0,1494168691811757;0,07445267224726337;0,3684194254798403;0,012834320588763326;-0,392845102079041;0,0384552867553436;-0,10527569370013101;0,12390871442417839
2011;104612,0;15000,0;24795,0;272873,0;44869,0;1093329,0;95296,0;26962,0;313244,0;23999,0;27013,0;68147,0;16794,0;342605,0;0,10465570585315898;0,15004216821283456;0,17707097080465228;-0,09034146406509924;0,159405684754522;-0,07692327175711733;-0,07999459365526829;0,009888381152146186;0,17948911046178861;0,06331413380593709;0,6666461006910167;-0,11110676319050417;0,11766271795554362;0,07439765931491693
2012;98005,0;13043,0;19748,0;390619,0;44308,0;1106345,0;110833,0;28284,0;309839,0;28284,0;28284,0;99381,0;14142,0;353476,0;-0,06315719037968881;-0,13046666666666662;-0,2035491026416616;0,43150476595339216;-0,012503064476587444;0,011904925232935293;0,16303937206178643;0,04903197092203837;-0,010870120417310503;0,17854910621275888;0,047051419686817475;0,45833272190998864;-0,15791354055019646;0,03173041841187363
2013;100207,0;15000,0;19529,0;381274,0;44308,0;1119361,0;117048,0;45730,0;357507,0;43426,0;28284,0;89443,0;22981,0;330226,0;0,022468241416254253;0,15004216821283456;-0,011089730605630899;-0,02392356746599633;0,0;0,011764865390090806;0,05607535661761398;0,6168151605147787;0,15384764345353563;0,5353556781219064;0,0;-0,09999899377144528;0,625017677839061;-0,06577532845228529
