year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Portugal;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Portugal_rendements;Spain_rendements;Sweden_rendements
1980;;344262,0;;;;;;;371155,0;;195091,0;;;;546438,0;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;340984,0;;;;;;;432091,0;;183879,0;;;;741594,0;;;;;;;-0,009521817685367528;;;;;;;0,1641793859708207;;-0,05747061627650685;;;;0,35714207284266464;;;;;
1982;73242,0;354098,0;;;;;;;409933,0;;148000,0;;;;518558,0;;;;;;;0,03845928254698161;;;;;;;-0,051280864447535324;;-0,1951228797198158;;;;-0,300752163582769;;;;;
1983;96679,0;278689,0;;;;;;;376695,0;;172667,0;;;;323402,0;;;;;;0,31999399251795424;-0,2129608187563895;;;;;;;-0,08108154259354583;;0,166668918918919;;;;-0,37634362983504255;;;;;
1984;111327,0;396721,0;;;;;42326,0;;476408,0;;213030,0;;;221007,0;512982,0;;;;;;0,15151170367918576;0,4235258657499936;;;;;;;0,26470486733298815;;0,23376209698436878;;;;0,5862054038008424;;;;;
1985;124511,0;226230,0;;;;;46782,0;;254823,0;;213030,0;;;110503,0;446071,0;;;;;;0,11842589847925478;-0,4297503787296362;;;;;0,10527807966734404;;-0,46511603499521414;;0,0;;;-0,5000022623717801;-0,1304353759001291;;;;;
1986;92284,0;206557,0;;;;;32970,0;;376695,0;;168182,0;;;183436,0;434920,0;;;;;;-0,25882853723767374;-0,08696017327498562;;;;;-0,29524175965114785;;0,47826138142946273;;-0,21052433929493497;;;0,6600092305186285;-0,024998262608418864;;;;;
1987;101806,0;275410,0;;;;;43217,0;;437631,0;;208545,0;;;267418,0;518558,0;;;;;;0,10318148324736676;0,33333656085245233;;;;;0,310797694874128;;0,16176482300003991;;0,23999595676112784;;;0,4578272531018992;0,1923066311045709;;;;;
1988;93749,0;219672,0;;;;;40990,0;;354536,0;;204061,0;;;340350,0;546438,0;;;;;;-0,07914071862169225;-0,2023819033441051;;;;;-0,05153064766179971;;-0,1898745746987759;;-0,021501354623702285;;;0,27272659282471645;0,05376447764763048;;;;;
1989;104003,0;229508,0;26189,0;;;;43217,0;;332378,0;;179394,0;;;240897,0;446071,0;;;;;501643,0;0,10937716668977804;0,044775847627371634;;;;;0,054330324469382685;;-0,06249858970598188;;-0,12088052102067515;;;-0,2922080211546937;-0,1836750006405118;;;;;
1990;112792,0;190164,0;31950,0;;;;44554,0;;371155,0;;168182,0;;;313830,0;741594,0;;;;95151,0;491610,0;0,08450717767756699;-0,1714275755093504;0,2199778532971859;;;;0,030936899831085052;;0,11666536293015772;;-0,06249930320969488;;;0,30275594963822705;0,6625021577282539;;;;;-0,020000279082933448
1991;112792,0;236066,0;30903,0;;;;23168,0;;415472,0;;139030,0;;;333720,0;730442,0;;;;69460,0;680134,0;0,0;0,2413811236616814;-0,03276995305164321;;;;-0,4800017955739103;;0,11940294486131142;;-0,1733360288259148;;;0,0633782621164325;-0,015037877868483318;;;;-0,2700024172105391;0,3834828420902747
1992;173583,0;206557,0;29070,0;;;;28515,0;;348997,0;;148000,0;;;234267,0;462799,0;;;;51382,0;437176,0;0,5389655294701752;-0,1250031770775969;-0,05931462964760703;;;;0,23079247237569067;;-0,15999874841144535;;0,06451844925555639;;;-0,2980133045667026;-0,3664123914013707;;;;-0,2602649006622516;-0,35722078296335724
1993;176512,0;229508,0;27236,0;;;;23614,0;;376695,0;;148000,0;;;170175,0;557589,0;;;;49479,0;541606,0;0,016873772201194903;0,11111218695081737;-0,06308909528723772;;;;-0,1718744520427845;;0,0793645790651496;;0,0;;;-0,2735852680915366;0,2048189386753212;;;;-0,03703631621968784;0,23887404615074925
1994;171385,0;170492,0;32998,0;;;;28069,0;;504106,0;;172667,0;;;309409,0;585469,0;;;;67557,0;530556,0;-0,029046183828861483;-0,2571413632640257;0,21155823175209276;;;;0,188659269924621;;0,33823384966617565;;0,166668918918919;;;0,8181812839723814;0,0500009863896167;;;;0,3653671254471593;-0,020402285055926228
1995;145018,0;200000,0;36926,0;;;;30297,0;;493027,0;;145758,0;;;243107,0;457223,0;;;;52333,0;668948,0;-0,15384660267818073;0,17307556952818892;0,11903751742529844;;;;0,07937582386262432;;-0,021977520600826028;;-0,15584332848778282;;;-0,21428594514057442;-0,21904831852753948;;;;-0,22535044480956823;0,2608433417019127
1996;183104,0;222951,0;38236,0;;;;41435,0;;426552,0;;168182,0;;;329300,0;529710,0;;;119849,0;63751,0;780852,0;0,262629466686894;0,11475499999999994;0,03547635812164862;;;;0,367627157804403;;-0,1348303439771047;;0,15384404286557163;;;0,3545475860423599;0,15853751889121948;;;;0,21817973362887666;0,16728355567248876
1997;156005,0;154098,0;19904,0;;;;32079,0;;332378,0;;91939,0;;;167965,0;334554,0;;;88688,0;32351,0;547791,0;-0,14799785914016084;-0,30882570609685533;-0,47944345642849673;;;;-0,22579944491372028;;-0,2207796470301393;;-0,45333626666349547;;;-0,48993319161858484;-0,36842045647618504;;;-0,26000216939649057;-0,4925412934699064;-0,29847013262436417
1998;167723,0;170492,0;26975,0;;;;30297,0;;343457,0;;118848,0;180138,0;;298359,0;429344,0;;;107864,0;52333,0;476154,0;0,07511297714816823;0,10638684473516857;0,35525522508038576;;;;-0,0555503600486299;;0,03333253103394318;;0,29268319211651206;;;0,7763164945077843;0,28333243661710816;;;0,21621865415839792;0,6176625142963124;-0,13077432816530388
1999;167723,0;216393,0;49497,0;260316,0;;;31633,0;;415472,0;29110,0;134545,0;205358,0;;221007,0;446071,0;;;122246,0;55188,0;637443,0;0,0;0,269226708584567;0,8349212233549583;;;;0,04409677525827638;;0,20967690278550144;;0,13207626548196005;0,1400037748837002;;-0,2592581420369421;0,03895943579041505;;;0,13333456945783584;0,05455448760820136;0,3387328469360753
