year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Portugal;Romania;Slovakia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Portugal_rendements;Romania_rendements;Slovakia_rendements;Spain_rendements;Sweden_rendements
1980;;131334,0;;;;;;;;147912,0;;1250704,0;;;;636360,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;107946,0;;;;;;;;100662,0;;1149296,0;;;;648962,0;;;;;;;;;;-0,17808031431312532;;;;;;;;-0,3194466980366705;;-0,08108073532986226;;;;0,019803256018605886;;;;;;;;
1982;1697056,0;135832,0;;;;;;;;133531,0;;997183,0;;;;825378,0;;;;;;;;;;0,25833287013877304;;;;;;;;0,326528382110429;;-0,1323531970876084;;;;0,2718433436780583;;;;;;;;
1983;2104349,0;124138,0;;;;;;;;205433,0;;878873,0;;;;825378,0;;;;;;;;;0,23999974072747166;-0,0860916426173508;;;;;;;;0,5384667230830293;;-0,11864422076990888;;;;0,0;;;;;;;;
1984;2477702,0;149325,0;;;;;539035,0;;;232139,0;;828169,0;;;2533722,0;844280,0;;;;;;;;;0,1774197150757788;0,20289516505824157;;;;;;;;0,1299985883475392;;-0,057692066999441294;;;;0,022901022319470554;;;;;;;;
1985;2698319,0;172714,0;;;;;576862,0;;;139694,0;;1030986,0;;;1925629,0;680465,0;;;;;;;;;0,08904097425759838;0,15663150845471296;;;;;0,07017540604969996;;;-0,39823123214970346;;0,2448980823962259;;;-0,23999988949063866;-0,19402923200833844;;;;;;;;
1986;2732260,0;161919,0;;;;;529578,0;;;125314,0;;912676,0;;;2026978,0;743471,0;;;;;;;;;0,012578572066534788;-0,06250217121947266;;;;;-0,08196761097108152;;;-0,10293928157258003;;-0,11475422556659354;;;0,05263163361166656;0,09259256537808702;;;;;;;;
1987;2579525,0;174513,0;;;;;595775,0;;;135586,0;;1014085,0;;;1849617,0;535551,0;;;;;;;;;-0,055900609751634134;0,07777963055601878;;;;;0,12499952792600899;;;0,08197009113107878;;0,11111171982171109;;;-0,08750020967173788;-0,2796612107264439;;;;;;;;
1988;2918936,0;215892,0;;;;;737626,0;;;139694,0;;1419718,0;;;1418884,0;573354,0;;;;;;;;;0,1315788759558445;0,23711127537776555;;;;;0,23809491838361807;;;0,03029811337453725;;0,3999990138893683;;;-0,2328768604527316;0,07058711495263759;;;;;;;;
1989;2613466,0;231184,0;11909167,0;;;;765997,0;;;195161,0;;1707042,0;;;1520233,0;504048,0;;;;;;;;4140005,0;-0,10465114685625176;0,0708317121523725;;;;;0,03846258130814251;;;0,39706071842741997;;0,20238103623395642;;;0,07142867211132131;-0,12087820090206047;;;;;;;;
1990;3020760,0;289655,0;13933726,0;;;;945675,0;;;258845,0;;1876056,0;;;1570908,0;415839,0;;;;;;;911050,0;4719606,0;0,1558443844304842;0,25291975223198837;0,1700000512210469;;;;0,23456749830612922;;;0,3263151961713662;;0,09900986618958418;;;0,03333370608321218;-0,17500119036282258;;;;;;;;0,1400000724636805
1991;2443761,0;223988,0;9646425,0;;;;794367,0;;;172564,0;;1335211,0;;;1393547,0;434741,0;;;;;;;683288,0;5364671,0;-0,1910112024788464;-0,22670763494502078;-0,30769235737806244;;;;-0,16000000000000003;;;-0,3333307577894107;;-0,28828830269458905;;;-0,11290349275705513;0,045455091994738295;;;;;;;-0,24999945118270128;0,1366777226743079
