year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Czech Republic;Denmark;Estonia;Finland;Germany East;Germany West;Greece;Hungary;Latvia;Lithuania;Luxembourg;Netherlands;Portugal;Romania;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Portugal_rendements;Romania_rendements;Spain_rendements;Sweden_rendements
1980;;1354737,0;;;;;;;36724274,0;;8832000,0;;;21316810,0;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;1354737,0;;;;;;;35016168,0;;9504000,0;;;24182936,0;;;;;;;;0,0;;;;;;;-0,046511634239522315;;0,07608695652173902;;;0,1344537949158433;;;;;;
1982;1767767,0;1382105,0;;;;;;;38147695,0;;9600000,0;;;27049062,0;;;;;;;;0,020201707047198036;;;;;;;0,08943088804006205;;0,010101010101010166;;;0,11851852893296333;;;;;;
1983;1750089,0;1217895,0;;;;;;;37863011,0;;9888000,0;;;26332530,0;;;;;;;-0,010000186676185296;-0,11881152300295561;;;;;;;-0,007462678937744438;;0,030000000000000027;;;-0,0264900867911797;;;;;;
1984;1679378,0;1122105,0;;;;916916,0;;;33023378,0;;9792000,0;;3277774,0;16659356,0;;;;;;;-0,040404230870544344;-0,07865210055054006;;;;;;;-0,12781954926933836;;-0,009708737864077666;;;-0,3673469279252696;;;;;;
1985;1661701,0;1108421,0;;;;971494,0;;;32169325,0;;9504000,0;;3408885,0;19346349,0;;;;;;;-0,010525920906430786;-0,012194937193934607;;;;0,05952344598632808;;;-0,025862072620190468;;-0,02941176470588236;;0,04000001220340388;0,16129032838964474;;;;;;
1986;1714734,0;1176842,0;;;;927832,0;;;37293643,0;;8640000,0;;3507218,0;24182936,0;;;;;;;0,03191488721496838;0,061728350509418384;;;;-0,044943149417289274;;;0,15929205850604577;;-0,09090909090909094;;0,028846088970440498;0,24999998707766524;;;;;;
1987;1785444,0;1204211,0;;;;993326,0;;;37578327,0;;8064000,0;;3638329,0;23466405,0;;;;;;;0,04123671659860939;0,02325630798356948;;;;0,07058820993455717;;;0,007633579803399737;;-0,06666666666666665;;0,037383190893751195;-0,029629611557504876;;;;;;
1988;1856155,0;1026316,0;;;;1047904,0;;;36439590,0;;8256000,0;;4687217,0;27228195,0;;;;;;;0,03960415448482291;-0,14772743314917403;;;;0,05494470093403381;;;-0,030303025464651467;;0,023809523809523725;;0,28828838733385576;0,16030533863197194;;;;;;
1989;2227386,0;1053684,0;615445,0;;;1113398,0;;;38147695,0;;7968000,0;;4031662,0;28661257,0;;;;;;3415051,0;0,19999999999999996;0,02666625094025621;;;;0,0625;;;0,046874978560406344;;-0,03488372093023251;;-0,13986017715842902;0,0526315460866944;;;;;;
