year;Austria;Belgium-Brussels;Belgium-Wallonia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Latvia;Lithuania;Netherlands;Portugal;Romania;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Netherlands_rendements;Portugal_rendements;Romania_rendements;Spain_rendements;Sweden_rendements
1980;;129097,0;;;;;;;;9983697,0;;2323810,0;;;2621065,0;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;132839,0;;;;;;;;11809983,0;;2509714,0;;;2413044,0;;;;;;;0,028985956296428306;;;;;;;;0,18292682560378193;;0,07999965573777557;;;-0,0793650672531967;;;;;
1982;809959,0;99161,0;;;;;;;;10470706,0;;2277333,0;;;2787481,0;;;;;;;-0,2535249437288748;;;;;;;;-0,11340211073970219;;-0,09259262210753894;;;0,15517205653937527;;;;;
1983;980050,0;160903,0;;;;;;;;14853793,0;;2695619,0;;;4202024,0;;;;;;0,2099995184941461;0,622643983017517;;;;;;;;0,4186047244569755;;0,18367362173208757;;;0,5074628311367861;;;;;
1984;737063,0;144065,0;;;;101945,0;;;;9618440,0;;2416762,0;;936243,0;2953898,0;;;;;;-0,24793326871078003;-0,10464689906341085;;;;;;;;-0,3524589981831576;;-0,10344822469347481;;;-0,2970297171077557;;;;;
1985;761362,0;119742,0;;;;90182,0;;;;5965868,0;;2207619,0;;1189029,0;2454648,0;;;;;;0,0329673311507972;-0,1688335126505397;;;;-0,11538574721663641;;;;-0,3797468196505879;;-0,08653851723918204;;0,2700004165585217;-0,16901396053621354;;;;;
1986;769461,0;78581,0;;;;52279,0;;;;6331125,0;;743619,0;;823894,0;2080210,0;;;;;;0,010637515400033104;-0,34374739022231127;;;;-0,420294515535251;;;;0,06122445216689343;;-0,66315790904137;;-0,3070867068843569;-0,1525424419305742;;;;;
1987;866656,0;80452,0;;;;61428,0;;;;3530820,0;;1243238,0;;599196,0;1580960,0;;;;;;0,12631569371287177;0,023809826802916767;;;;0,17500334742439594;;;;-0,4423076467452467;;0,6718749789878957;;-0,2727268313642289;-0,23999980771172136;;;;;
1988;712764,0;123484,0;;;;88875,0;;;;7061639,0;;1870667,0;;1160942,0;2621065,0;;;;;;-0,17756987778311117;0,5348779396410281;;;;0,4468157843328775;;;;0,9999997167796715;;0,504673280578618;;0,9374995827742509;0,6578945703876127;;;;;
1989;890955,0;162774,0;954347,0;;;108480,0;;;;10105449,0;;2672381,0;;1535439,0;4243628,0;;;;;3743342,0;0,25;0,3181788733763078;;;;0,22059071729957802;;;;0,4310344949663951;;0,4285711994705632;;0,32258028394183347;0,619047219355491;;;;;
