year;Austria;Belgium-Wallonia;Bulgaria;Czech Republic;Denmark;Estonia;France;Germany West;Italy;Luxembourg;Netherlands;Poland;Republic of Ireland;Sweden;Austria_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany West_rendements;Italy_rendements;Luxembourg_rendements;Netherlands_rendements;Poland_rendements;Republic of Ireland_rendements;Sweden_rendements
1980;;;;;;;;;;;;;;2127,0;;;;;;;;;;;;;;
1981;;;;;;;;;;;;;;2190,0;;;;;;;;;;;;;;0,02961918194640334
1982;802,0;;;;;;;;;;;;;2130,0;;;;;;;;;;;;;;-0,0273972602739726
1983;1171,0;;;;;;;;;;;;;2073,0;0,46009975062344144;;;;;;;;;;;;;-0,026760563380281654
1984;1083,0;;;;;;;;;;;;;1817,0;-0,07514944491887277;;;;;;;;;;;;;-0,12349252291365176
1985;898,0;;;;;;;;;;;;;1599,0;-0,1708217913204063;;;;;;;;;;;;;-0,11997798569069895
1986;826,0;;;;;;;;;;;;;1634,0;-0,08017817371937641;;;;;;;;;;;;;0,021888680425265816
1987;1949,0;;;;;;;;;;;;;1516,0;1,3595641646489103;;;;;;;;;;;;;-0,07221542227662181
1988;1219,0;;;;;;;;;;;;;1441,0;-0,3745510518214469;;;;;;;;;;;;;-0,04947229551451182
1989;2134,0;;;;;;;;;;;;;1670,0;0,7506152584085315;;;;;;;;;;;;;0,1589174184594031
1990;2888,0;;;;88,0;;;307,0;;;;;;1714,0;0,3533270852858481;;;;;;;;;;;;;0,026347305389221587
1991;2623,0;;;;118,0;;;282,0;;;;;;1499,0;-0,09175900277008309;;;;0,34090909090909083;;;-0,08143322475570036;;;;;;-0,12543757292882152
1992;2214,0;;;;147,0;;;276,0;;;;;;1609,0;-0,1559283263438811;;;;0,2457627118644068;;;-0,021276595744680882;;;;;;0,07338225483655769
1993;1981,0;;;;206,0;;;291,0;;;;;;1950,0;-0,1052393857271906;;;;0,4013605442176871;;;0,05434782608695654;;;;;;0,21193287756370416
1994;3305,0;;;;236,0;;;325,0;;;;;;2051,0;0,668349318525997;;;;0,14563106796116498;;;0,11683848797250862;;;;;;0,051794871794871744
1995;3249,0;;;16529,0;295,0;;;343,0;;;;;;1976,0;-0,01694402420574892;;;;0,25;;;0,055384615384615365;;;;;;-0,03656752803510488
1996;3618,0;;;19174,0;354,0;;;334,0;;;;;;2098,0;0,11357340720221609;;;0,1600217799019905;0,19999999999999996;;;-0,026239067055393583;;;;;;0,061740890688259054
1997;2270,0;;;19504,0;354,0;;;353,0;;;;;;1752,0;-0,3725815367606412;;;0,01721080630019811;0,0;;;0,05688622754491024;;;;;;-0,1649189704480457
1998;2615,0;;;17851,0;471,0;;38401,0;334,0;;;;;;1865,0;0,1519823788546255;;;-0,08475184577522554;0,3305084745762712;;;-0,053824362606232246;;;;;;0,06449771689497719
1999;1957,0;;17480,0;17851,0;560,0;;52226,0;350,0;;;;;;1857,0;-0,2516252390057362;;;0,0;0,18895966029723987;;0,3600166662326503;0,0479041916167664;;;;;;-0,00428954423592498
2000;2511,0;;9090,0;19174,0;589,0;;49922,0;350,0;;;;;;1946,0;0,2830863566683699;;-0,4799771167048055;0,07411349504229459;0,051785714285714324;;-0,044115957569026976;0,0;;;;;;0,04792676359719983
2001;2174,0;634,0;16256,0;20165,0;619,0;116019,0;61442,0;365,0;;;;;;1918,0;-0,13420947829549978;;0,7883388338833883;0,051684572859080014;0,05093378607809851;;0,23075998557750088;0,04285714285714293;;;;;;-0,014388489208633115
2002;2872,0;1299,0;12760,0;15868,0;648,0;111378,0;59522,0;389,0;;;;;;1922,0;0,3210671573137074;1,048895899053628;-0,2150590551181102;-0,2130919910736424;0,04684975767366728;-0,040002068626690424;-0,031248982780508472;0,0657534246575342;;;;;;0,002085505735140769
2003;1885,0;995,0;15208,0;17355,0;737,0;114858,0;61442,0;383,0;;;;;;1987,0;-0,3436629526462396;-0,2340261739799846;0,19184952978056424;0,09371061255356694;0,13734567901234573;0,03124494963098634;0,032256980612210606;-0,015424164524421635;;;;;;0,03381893860561913
2004;2639,0;1616,0;19927,0;18678,0;766,0;124140,0;66434,0;396,0;;;;23558,0;;2163,0;0,3999999999999999;0,6241206030150754;0,31029721199368754;0,0762316335350044;0,03934871099050197;0,08081282975500192;0,08124735522932203;0,03394255874673635;;;;;;0,08857574232511323
2005;3048,0;1248,0;14159,0;18017,0;825,0;97456,0;71810,0;423,0;9436,0;;4196,0;19318,0;;1933,0;0,15498294808639645;-0,2277227722772277;-0,28945651628443825;-0,03538922796873323;0,07702349869451708;-0,21495086193007895;0,08092241924315857;0,06818181818181812;;;;-0,1799813226929281;;-0,106333795654184
2006;1701,0;2116,0;12586,0;17521,0;1002,0;102096,0;71426,0;445,0;11417,0;;2056,0;25914,0;;2198,0;-0,4419291338582677;0,6955128205128205;-0,11109541634296205;-0,027529555419881224;0,2145454545454546;0,04761122968313902;-0,005347444645592558;0,05200945626477549;0,2099406528189911;;-0,5100095328884652;0,34144321358318663;;0,1370926021727885
2007;2118,0;1331,0;14508,0;17190,0;1120,0;92815,0;61058,0;432,0;13681,0;;4868,0;20496,0;4000,0;2335,0;0,24514991181657853;-0,37098298676748587;0,15270935960591125;-0,018891615775355253;0,11776447105788423;-0,09090463877135246;-0,1451572256601238;-0,02921348314606742;0,1983007795392835;;1,367704280155642;-0,20907617504051867;;0,062329390354868064
2008;4476,0;2104,0;16431,0;18512,0;1296,0;95135,0;77570,0;448,0;11983,0;;4658,0;37928,0;5760,0;2347,0;1,1133144475920678;0,5807663410969197;0,1325475599669148;0,0769051774287377;0,15714285714285725;0,024995959704789072;0,2704313931016411;0,03703703703703698;-0,12411373437614215;;-0,04313886606409201;0,8505074160811865;0,43999999999999995;0,005139186295503251
