year;Austria;Belgium-Brussels;Belgium-Wallonia;Czech Republic;Denmark;Estonia;France;Germany East;Germany West;Greece;Latvia;Lithuania;Luxembourg;Portugal;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Portugal_rendements;Sweden_rendements
1980;;56558,0;;;;;;4097182,0;;28317,0;;768507,0;;;;;;;;;;;;;;;;;;
1981;;55070,0;;;;;;3968137,0;;37537,0;;930867,0;;;;;-0,02630927543406769;;;;;;-0,03149603800856293;;0,3255994632199739;;0,21126678091416218;;;
1982;32636,0;62140,0;;;;;;3871353,0;;34902,0;;725211,0;;;;;0,1283820591973852;;;;;;-0,024390286928097527;;-0,07019740522684281;;-0,22092952054375115;;;
1983;18602,0;42791,0;;;;;;3935876,0;;46098,0;;681914,0;;;;-0,4300159333251624;-0,31137753459929196;;;;;;0,016666782905097932;;0,32078390923156275;;-0,0597026244775658;;;
1984;49280,0;43535,0;;;35207,0;;;3871353,0;;50049,0;742270,0;887571,0;;;;1,6491775077948607;0,017386833679979397;;;;;;-0,016393555081511746;;0,0857087075361187;;0,3015878835161032;;;
1985;36878,0;62140,0;;;28539,0;;;3613263,0;;76390,0;957528,0;909219,0;;;;-0,25166396103896105;0,4273572987251637;;;-0,18939415457153408;;;-0,0666666150051416;;0,5263042218625746;0,28999959583439994;0,024390161463139215;;;
1986;23171,0;45767,0;;;26672,0;;;3935876,0;;77707,0;809074,0;952515,0;;;;-0,37168501545636967;-0,2634856775024139;;;-0,06541925084971445;;;0,08928577853314312;;0,017240476502159874;-0,1550388082646147;0,04761889049832879;;;
1987;47974,0;66233,0;;;31740,0;;;4742408,0;;84951,0;1143095,0;1093228,0;;;;1,070432868672047;0,44717809775602513;;;0,19001199760047993;;;0,20491804111714895;;0,0932219748542602;0,4128435717870058;0,14772785730408455;;;
1988;32309,0;51349,0;;;30406,0;;;4193966,0;;94171,0;1046600,0;1082404,0;;;;-0,32653103764539126;-0,22472181540923708;;;-0,04202898550724643;;;-0,11564631301229245;;0,1085331544066579;-0,08441555601240491;-0,00990095387238532;;;
1989;44711,0;59163,0;;;26405,0;;;4452056,0;;104707,0;1039178,0;1125700,0;;;212640,0;0,383855891547247;0,15217433640382483;;;-0,13158587120962972;;;0,061538410182629066;;0,1118815771309638;-0,007091534492642881;0,0399998521808862;;;
1990;31004,0;34233,0;;;26672,0;;;4032660,0;;96146,0;942683,0;1114876,0;;;180744,0;-0,3065688533023193;-0,4213782262562751;;;0,010111721264912;;;-0,0942027683389427;;-0,08176148681559015;-0,09285704662723804;-0,009615350448609727;;;-0,15000000000000002
1991;23824,0;56930,0;;;24805,0;;;3322912,0;;96805,0;1068868,0;1255588,0;;;292553,0;-0,23158302154560706;0,663015219232904;;;-0,06999850029994004;;;-0,17599996032395493;;0,006854159299398921;0,13385729879503505;0,12621313939846224;;;0,6186042136945071
1992;26761,0;52465,0;;;22671,0;;;3645524,0;;73097,0;1128250,0;974163,0;;;233617,0;0,12327904633982545;-0,0784296504479185;;;-0,08603104212860313;;;0,09708713321327789;;-0,24490470533546826;0,0555559713640974;-0,2241380134247858;;;-0,20145409549722615
1993;26108,0;27163,0;;;26138,0;;;3355173,0;;95488,0;727424,0;790155,0;;;206793,0;-0,024401180822839152;-0,48226436672067097;;;0,15292664637642805;;;-0,07964588904091707;;0,3063190007797858;-0,3552634611123421;-0,18888830719294414;;;-0,11482041118582975
1994;32962,0;48372,0;;;18404,0;;;3322912,0;;74415,0;749692,0;790155,0;;;178769,0;0,2625248965834226;0,7808047711961124;;;-0,29589103986533016;;;-0,00961530150606238;;-0,22068741621983912;0,03061213267640328;0,0;;;-0,13551715967174904
1995;36552,0;51349,0;;;18404,0;;;3097083,0;;69805,0;749692,0;768507,0;;;207231,0;0,10891329409623207;0,061543868353592934;;;0,0;;;-0,0679611738138115;;-0,061949875697104084;0,0;-0,02739715625415262;;;0,15921104889550208
1996;27740,0;40558,0;;;22671,0;;;3000299,0;;76390,0;861033,0;855099,0;;1740048,0;212518,0;-0,24108119938717443;-0,210150148980506;;;0,23185177135405355;;;-0,031250050450698286;;0,09433421674665143;0,14851565709651426;0,11267561648755309;;;0,025512592227996844
1997;27740,0;34605,0;;;28005,0;;;3258389,0;;74415,0;861033,0;865923,0;;2157660,0;223696,0;0,0;-0,14677745450959123;;;0,23527854968902995;;;0,08602142653115563;;-0,02585416939389973;0,0;0,012658183438408965;;0,24000027585445927;0,05259789758985112
