year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Latvia;Lithuania;Netherlands;Poland;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Netherlands_rendements;Poland_rendements;Spain_rendements;Sweden_rendements
1980;;;;;;;;;;;31408,0;;342787,0;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;14242,0;;;;;;;;;35653,0;;351148,0;;;;;;;;;;;;;;;;;;0,13515664798777371;;0,024391240041191864;;;;;;;
1982;187175,0;27630,0;;;;;;;;;33106,0;;300984,0;;;;;;;;;0,9400365117258811;;;;;;;;;-0,07143858861806862;;-0,1428571428571429;;;;;;;
1983;166586,0;18088,0;;;;;;;;;42444,0;;420820,0;;;;;;;;-0,10999866435154271;-0,3453492580528411;;;;;;;;;0,2820636742584426;;0,3981474098290938;;;;;;;
1984;95459,0;21648,0;;;;;120870,0;;;;40746,0;;390164,0;;2357017,0;;;;;;-0,4269686528279687;0,19681556833259628;;;;;;;;;-0,040005654509471356;;-0,07284824865738315;;;;;;;
1985;129151,0;20082,0;;;;;113760,0;;;;29711,0;;423607,0;;3818367,0;;;;;;0,352947338648006;-0,07233924611973397;;;;;-0,05882352941176472;;;;-0,2708241299759485;;0,08571523769491796;;0,6199997708968581;;;;;
1986;69255,0;13245,0;;;;;102384,0;;;;65364,0;;326066,0;;2851990,0;;;;;;-0,4637672182174354;-0,3404541380340603;;;;;-0,09999999999999998;;;;1,199993268486419;;-0,23026295599458935;;-0,2530864634017631;;;;;
1987;127279,0;9542,0;;;;;109494,0;;;;10187,0;;326066,0;;471403,0;;;;;;0,8378312035232114;-0,2795771989429974;;;;;0,06944444444444442;;;;-0,844149684841809;;0,0;;-0,8347108510198142;;;;;
1988;151612,0;14385,0;;;;;120870,0;;;;12733,0;;409672,0;;942807,0;;;;;;0,19117843477714302;0,5075455879270594;;;;;0,10389610389610393;;;;0,24992637675468732;;0,256408211834414;;1,0000021213271872;;;;;
1989;106690,0;21364,0;1450476,0;;;;125136,0;;;;75550,0;;512787,0;;2027034,0;;;;;140240,0;-0,29629580771970554;0,4851581508515814;;;;;0,03529411764705892;;;;4,9334013979423545;;0,2517013610888712;;1,1499988863044082;;;;;
