year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Germany East;Germany West;Greece;Hungary;Latvia;Netherlands;Norway;Romania;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Netherlands_rendements;Norway_rendements;Romania_rendements;Spain_rendements;Sweden_rendements
1980;;33159,0;;;;;;;767793,0;;147034,0;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;37304,0;;;;;;;663094,0;;161172,0;;;;;;;;;0,12500376971561256;;;;;;;-0,1363635771620736;;0,09615463090169629;;;;;;;
1982;132665,0;31275,0;;;;;;;584570,0;;130069,0;;;;;;;;;-0,1616180570448209;;;;;;;-0,11842061608158116;;-0,1929801702528975;;;;;;;
1983;127358,0;25246,0;;;;;;;697994,0;;147034,0;;;;;;;;-0,040003015113255214;-0,1927737809752198;;;;;;;0,19402979968181744;;0,13043077135981673;;;;;;;
1984;108785,0;30899,0;;;;;29682,0;;619470,0;;147034,0;;602338,0;;;;;;-0,14583300617157935;0,2239166600649607;;;;;;;-0,11249953437995164;;0,0;;;;;;;
1985;96845,0;22232,0;;;;;29959,0;;497321,0;;138552,0;;457777,0;;;;;;-0,10975777910557527;-0,2804945143855788;;;;;0,009332255238865272;;-0,19718307585516648;;-0,057687337622590706;;-0,23999980077630834;;;;;
1986;90212,0;22609,0;;;;;26908,0;;444971,0;;124414,0;;590291,0;;;;;;-0,06849088750064536;0,016957538682979445;;;;;-0,10183918021295768;;-0,10526400453630558;;-0,10204111091864432;;0,289472821919843;;;;;
1987;103479,0;31275,0;;;;;24134,0;;436246,0;;132897,0;;403567,0;;;;;;0,1470646920587062;0,38329868636383746;;;;;-0,10309201724394235;;-0,019608019399017018;;0,0681836449274198;;-0,31632533784184413;;;;;
1988;96845,0;22986,0;;;;;26908,0;;497321,0;;121586,0;;499941,0;;;;;;-0,06410962610771265;-0,2650359712230216;;;;;0,11494157619955248;;0,1400012836793918;;-0,08511102583203534;;0,23880545237841555;;;;;
1989;55719,0;26377,0;650213,0;;;;21637,0;;453696,0;;113103,0;;295146,0;;;;;833648,0;-0,424657958593629;0,14752458017923953;;;;;-0,19588969823100932;;-0,08772000378025457;;-0,06976954583586925;;-0,40963833732380417;;;;;
1990;76946,0;30145,0;344613,0;;;;27740,0;;575845,0;;113103,0;;331286,0;;;;251881,0;841984,0;0,38096520038048065;0,14285172688326941;-0,46999983082466823;;;;0,2820631325969405;;0,2692309387783891;;0,0;;0,12244787325594797;;;;;0,009999424217415509
1991;62353,0;25246,0;481157,0;;;;31069,0;;366447,0;;130069,0;;397543,0;;;;375303,0;1196962,0;-0,18965248355989917;-0,16251451318626642;0,3962241703011784;;;;0,1200072098053353;;-0,36363604789483284;;0,15000486282415149;;0,19999939629202568;;;;0,49000123073991286;0,42159708498023707
1992;41126,0;21855,0;338111,0;;;;24411,0;;383897,0;;118759,0;;246959,0;;;;314732,0;1033893,0;-0,3404326977050022;-0,1343183078507486;-0,2972958930245222;;;;-0,21429720943705943;;0,047619437462989245;;-0,08695384757321112;;-0,3787866972880921;;;;-0,16139226171919752;-0,1362357368070164
1993;42453,0;26754,0;286094,0;;;;25798,0;;348997,0;;118759,0;;150585,0;;;;235857,0;1018938,0;0,03226669260321935;0,22415923129718607;-0,15384592633780025;;;;0,056818647331121186;;-0,0909098013269184;;0,0;;-0,39024291481581963;;;;-0,25061004283009036;-0,014464746351895208
1994;54393,0;21478,0;201566,0;;;;23579,0;;401346,0;;107448,0;;168655,0;;;;273664,0;996491,0;0,28125220832449993;-0,19720415638782984;-0,29545533985333494;;;;-0,08601441972245916;;0,149998424055221;;-0,09524330787561364;;0,1199986718464654;;;;0,1602962812212485;-0,02202979965414975
1995;46433,0;23739,0;312102,0;;;;17199,0;;340272,0;;113103,0;;222865,0;;;;253824,0;886625,0;-0,14634236023017666;0,1052705093584132;0,5483861365508071;;;;-0,2705797531701938;;-0,15217293806341659;;0,05263010944829127;;0,32142539503720613;;;;-0,07249766136576241;-0,11025287734660927
1996;68986,0;27130,0;234077,0;;;;28295,0;;392622,0;;118759,0;;174678,0;;;;270161,0;924674,0;0,48571059375874914;0,14284510720754873;-0,2499983979596414;;;;0,6451537880109308;;0,1538475102271124;;0,05000751527368852;;-0,21621609494537053;;;;0,06436349596570845;0,04291442267023826
1997;72966,0;23739,0;279591,0;;;;31901,0;;287922,0;;104621,0;;385496,0;;;;283858,0;908001,0;0,057692865219030054;-0,12499078510873574;0,19444029101534954;;;;0,12744301113270895;;-0,2666687042498892;;-0,11904781953367749;;1,2068949724636187;;;;0,05069939776651711;-0,018031219651466368
