year;Austria;Belgium-Brussels;Belgium-Wallonia;Cyprus;Czech Republic;Denmark;Estonia;France;Germany East;Germany West;Hungary;Latvia;Lithuania;Netherlands;Poland;Portugal;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Netherlands_rendements;Poland_rendements;Portugal_rendements;Spain_rendements;Sweden_rendements
1980;;;;;;;;;1515051,0;;;;1310302,0;;;;;;;;;;;;;;;;;;;;;;;
1981;;76923,0;;;;;;;1406833,0;;;;536860,0;;;;;;;;;;;;;;-0,07142861857455629;;;;-0,5902776611803997;;;;;
1982;302424,0;50000,0;;;;;;;678166,0;;;;1237507,0;;;;;;;-0,34999934999935;;;;;;;-0,5179484700742731;;;;1,3050832619304846;;;;;
1983;241939,0;68462,0;;;;;;;656522,0;;;;1101018,0;;;;;;-0,2000006613231754;0,36924;;;;;;;-0,03191548971785674;;;;-0,11029351753161798;;;;;
1984;226818,0;44615,0;;;;41675,0;;;1154325,0;;;725774,0;1110117,0;;;;;;-0,06249922501126315;-0,3483246180362829;;;;;;;0,7582426788439687;;;;0,008264170068064347;;;;;
1985;266133,0;47692,0;;;;52429,0;;;584377,0;;;479011,0;909932,0;;;;;;0,17333280427479303;0,06896783592962019;;;;0,2580443911217756;;;-0,49375002707209836;;;-0,3399997795456988;-0,1803278393178377;;;;;
1986;359885,0;60769,0;;;;46380,0;;;1038892,0;;;718516,0;655151,0;;;;;;0,3522749903243867;0,27419693030277625;;;;-0,11537507867783092;;;0,7777770172337377;;;0,49999895618263457;-0,28000004395932887;;;;;
1987;559484,0;51538,0;;;;47052,0;;;519446,0;;;537073,0;855336,0;;;;;;0,554618836572794;-0,15190310849281707;;;;0,014489003880983287;;;-0,5;;;-0,25252464802453944;0,30555551315650886;;;;;
1988;423394,0;42308,0;;;;60496,0;;;663737,0;;;297567,0;818939,0;;;;;;-0,24324198725968926;-0,17909115604020331;;;;0,2857264303323983;;;0,2777786333901888;;;-0,4459468265952673;-0,042552868112648135;;;;;
1989;356860,0;47692,0;1346870,0;;;61840,0;;;836885,0;;;747547,0;1164713,0;;;;;1067442,0;-0,15714440922639428;0,12725725631086315;;;;0,022216344882306283;;;0,2608683861228167;;;1,5121972530556143;0,42222192373302536;;;;;
1990;254036,0;57692,0;754247,0;;;67217,0;;;844100,0;;;805609,0;1192011,0;;;;106046,0;1579814,0;-0,2881354032393656;0,2096787721211104;-0,44000014849243063;;;0,08695019404915905;;;0,008621256206049921;;;0,07767003278723617;0,023437533538305244;;;;;0,47999985010895196
1991;393151,0;43846,0;983215,0;;;61168,0;;;1240899,0;;;682228,0;1373997,0;;;;201487,0;1692763,0;0,5476192350690454;-0,23999861332593775;0,30357164165054673;;;-0,08999211508993266;;;0,4700852979504797;;;-0,15315245981611425;0,15267140991148564;;;;0,8999962280519775;0,07149512537551894
1992;251012,0;39231,0;767716,0;;;63856,0;;;670951,0;;;508042,0;1128316,0;;;;194063,0;1261169,0;-0,36153793326228345;-0,10525475527984307;-0,21917790106945068;;;0,043944546167930865;;;-0,45930248956603237;;;-0,25531933605774026;-0,17880752286940949;;;;-0,03684604962106741;-0,254964221217028
1993;344763,0;47692,0;794653,0;;;62512,0;;;1017248,0;;;312083,0;1373997,0;;;;151645,0;1294851,0;0,37349210396315713;0,21567128036501737;0,03508719370183755;;;-0,021047356552242547;;;0,51612859955496;;;-0,3857141732376457;0,2177413065134235;;;;-0,2185785028573195;0,026706967900416156
1994;323594,0;49231,0;471404,0;;;62512,0;;;699809,0;;;580619,0;837137,0;;;;136799,0;1454426,0;-0,06140160051977739;0,03226956302943895;-0,4067800662679182;;;0,0;;;-0,31205664695334867;;;0,8604634023641147;-0,39072865515718014;;;;-0,09789969995713677;0,12323811774482163
