year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Lithuania;Netherlands;Poland;Portugal;Romania;Slovenia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Lithuania_rendements;Netherlands_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements
1980;;259200,0;;;;;;;;;1513936,0;;1242917,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;241200,0;;;;;;;;;1450855,0;;1337917,0;;;;;;;;;;;-0,06944444444444442;;;;;;;;;-0,04166688684330122;;0,076433100520791;;;;;;;;;
1982;1625533,0;183600,0;;;;;;;;;1776772,0;;1132083,0;;;;;;;;;;;-0,23880597014925375;;;;;;;;;0,2246378859362239;;-0,15384661380339737;;;;;;;;;
1983;1462980,0;223200,0;;;;;;;;;1230073,0;;1322083,0;;64678,0;;;;;;;;-0,09999981544514935;0,21568627450980382;;;;;;;;;-0,30769226439858355;;0,1678322172490887;;;;;;;;;
1984;1576767,0;205200,0;;;;;128107,0;;;;1156479,0;;1147917,0;;43981,0;;;;;;;;0,07777754993232988;-0,08064516129032262;;;;;;;;;-0,059828969500184126;;-0,13173605590571846;;-0,3200006184483132;;;;;;;
1985;1267916,0;180000,0;;;;;112543,0;;;;998777,0;;1227083,0;;87315,0;;;;;;;;-0,19587611866559862;-0,1228070175438597;;;;;-0,1214921901223196;;;;-0,13636391149342098;;0,06896491645301883;;0,9852891021122758;;;;;;;
1986;1235405,0;216000,0;;;;;102965,0;;;;1619070,0;;1021250,0;;77613,0;;;;;;;;-0,025641288539619334;0,19999999999999996;;;;;-0,08510524866051195;;;;0,6210525472653055;;-0,1677417094035204;;-0,11111492870640782;;;;;;;
1987;1137873,0;223200,0;;;;;93387,0;;;;1166992,0;;1163750,0;;78907,0;;;;;;;;-0,07894738972239868;0,03333333333333344;;;;;-0,09302190064585059;;;;-0,2792207872420587;;0,13953488372093026;;0,016672464664424735;;;;;;;
1988;1072852,0;223200,0;;;;;94584,0;;;;1166992,0;;1187500,0;;116420,0;;;;;;;;-0,057142580938294496;0,0;;;;;0,012817629862828861;;;;0,0;;0,020408163265306145;;0,4754077585005132;;;;;;;
1989;1170384,0;237600,0;1781565,0;;;;98176,0;;;;1461369,0;;1337917,0;;189506,0;;;;;;;1953420,0;0,09090909090909083;0,06451612903225801;;;;;0,037976824832952616;;;;0,2522528003619562;;0,126666947368421;;0,627778732176602;;;;;;;
