year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;France;Germany East;Germany West;Greece;Hungary;Latvia;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Spain_rendements;Sweden_rendements
1980;;30160,0;;;;;;;;188853,0;;199705,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;28080,0;;;;;;;;216539,0;;251661,0;;;;;;;;;;;;-0,06896551724137934;;;;;;;;0,14660079532758274;;0,2601637415187401;;;;;;;;;;
1982;1018234,0;34320,0;;;;;;;;227415,0;;207823,0;;;;;;;;;;;;0,22222222222222232;;;;;;;;0,05022651808681111;;-0,17419465074048024;;;;;;;;;;
1983;987687,0;33696,0;;;;;;;;192808,0;;243542,0;;;;;;;;;;;-0,029999980358149547;-0,018181818181818188;;;;;;;;-0,15217553811314122;;0,17187221818566756;;;;;;;;;;
1984;1262610,0;33488,0;;;;;35636,0;;;212583,0;;232177,0;;103972,0;;;;;;;;;0,2783503275835362;-0,006172839506172867;;;;;;;;0,10256317165262852;;-0,04666546222006884;;;;;;;;;;
1985;865499,0;28704,0;;;;;25593,0;;;168089,0;;238672,0;;167396,0;;;;;;;;;-0,314515962965603;-0,1428571428571429;;;;;-0,2818217532831968;;;-0,20930177859941768;;0,027974347157556423;;0,6100103874119955;;;;;;;;
1986;967322,0;34112,0;;;;;28833,0;;;237303,0;;240295,0;;131005,0;;;;;;;;;0,11764658306942;0,18840579710144922;;;;;0,12659711639901539;;;0,41176995520230353;;0,0068001273714553;;-0,2173946808764845;;;;;;;;
1987;1181151,0;30576,0;;;;;29481,0;;;182921,0;;248413,0;;94615,0;;;;;;;;;0,22105255540554225;-0,10365853658536583;;;;;0,022474248257205343;;;-0,22916693004302513;;0,03378347447928598;;-0,27777565741765586;;;;;;;;
1988;1048781,0;39104,0;;;;;32073,0;;;233347,0;;251661,0;;142442,0;;;;;;;;;-0,11206865167959046;0,2789115646258504;;;;;0,08792103388623174;;;0,2756709180465884;;0,013075000100638778;;0,505490672726312;;;;;;;;
1989;1008052,0;45760,0;1511373,0;;;;27861,0;;;221482,0;;274391,0;;142442,0;;;;;;;;1422876,0;-0,03883460894123747;0,17021276595744683;;;;;-0,13132541389954167;;;-0,050847021817293614;;0,0903199144881408;;0,0;;;;;;;;
1990;1211698,0;63856,0;2478652,0;;;;32397,0;;;246201,0;;297122,0;;285924,0;;;;;;;83950,0;1664765,0;0,20201934027212887;0,3954545454545455;0,6400001852620101;;;;0,16280822655324645;;;0,11160726379570352;;0,0828416383919297;;1,007301217337583;;;;;;;;0,17000005622415437
1991;1170969,0;36400,0;2267060,0;;;;40820,0;;;245213,0;;342583,0;;163237,0;;;;;;;100740,0;2498303,0;-0,03361316103517542;-0,4299674267100977;-0,08536575525729306;;;;0,2599932092477699;;;-0,00401298126327676;;0,15300448973822212;;-0,42908954827156864;;;;;;;0,19999999999999996;0,5006940919589251
1992;957140,0;39104,0;1919444,0;;;;30453,0;;;195775,0;;269520,0;;155959,0;;;;;;;70478,0;2082400,0;-0,1826085916877389;0,07428571428571429;-0,15333339214665687;;;;-0,25396864282214604;;;-0,201612475684405;;-0,21327094455942064;;-0,04458548000759632;;;;;;;-0,3003970617431011;-0,1664742026887851
1993;936775,0;61360,0;2040354,0;;;;33692,0;;;265977,0;;259779,0;;155959,0;;;;;;;85501,0;2220651,0;-0,021276929184863236;0,5691489361702127;0,06299219982453241;;;;0,10636062128525925;;;0,35858511045843433;;-0,036142030276046344;;0,0;;;;;;;0,21315871619512472;0,06639022281982321
