year;Austria;Belgium-Brussels;Belgium-Wallonia;Cyprus;Czech Republic;Estonia;Finland;Germany East;Germany West;Greece;Hungary;Latvia;Lithuania;Netherlands;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Cyprus_rendements;Czech Republic_rendements;Estonia_rendements;Finland_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Netherlands_rendements;Spain_rendements;Sweden_rendements
1980;;27625,0;;;;;;2037528,0;;480000,0;;;360499,0;;;;;;;;;;;;;;;;;;;
1981;;16946,0;;;;;;2072963,0;;466667,0;;;385798,0;;;;;-0,38657013574660637;;;;;;0,017391172047696912;;-0,027777083333333286;;;0,07017772587441296;;;
1982;785674,0;27393,0;;;;;;1559152,0;;533333,0;;;417420,0;;;;;0,6164876667060073;;;;;;-0,24786308293973414;;0,1428556122459912;;;0,08196517348456966;;;
1983;699250,0;33429,0;;;;;;1665458,0;;613333,0;;;404771,0;;;;-0,10999982180904544;0,22034826415507602;;;;;;0,06818193479532453;;0,15000009375005852;;;-0,03030281251497291;;;
1984;628539,0;29946,0;;;;;;2622210,0;;604444,0;;149652,0;613481,0;;;;-0,1011240614944583;-0,10419097191061655;;;;;;0,5744678040514981;;-0,014492942659207975;;;0,5156248841937787;;;
1985;510688,0;32268,0;;;;;;1612305,0;;586667,0;;260395,0;695700,0;;;;-0,18749990056305177;0,07753957122821076;;;;;;-0,3851350578328967;;-0,029410499566543846;;0,7400034747280357;0,1340204505110998;;;
1986;777817,0;18339,0;;;;;;1470564,0;;497778,0;;228968,0;423745,0;;;;0,5230767122000126;-0,4316660468575678;;;;;;-0,08791202657065511;;-0,1515152548208779;;-0,12068972138481926;-0,3909084375449188;;;
1987;683536,0;26929,0;;;;;;921317,0;;537778,0;;149652,0;360499,0;;;;-0,12121231600749272;0,4684006761546431;;;;;;-0,3734941151830182;;0,08035710698343435;;-0,3464064847489605;-0,14925485846440667;;;
1988;534258,0;22518,0;;;;;;1399693,0;;448889,0;;239444,0;278280,0;;;;-0,21839083822944216;-0,16380110661368785;;;;;;0,5192306231188615;;-0,16528939450851465;;0,6000053457354395;-0,22806998077664575;;;
1989;628539,0;20893,0;;;;;;1240235,0;;537778,0;;175093,0;385798,0;;;558911,0;0,17647091854497265;-0,07216449062971841;;;;;;-0,11392355323631687;;0,19802000049009894;;-0,2687517749452899;0,38636624982032486;;;
1990;675680,0;21125,0;;;;;;1505999,0;;520000,0;;284340,0;505964,0;;7038,0;575679,0;0,07500091481992377;0,011104197578136299;;;;;;0,21428519595076745;;-0,03305825080237568;;0,6239369934834631;0,31147388011342714;;;0,030001198759731063
1991;707107,0;26464,0;;;;;;2515904,0;;533333,0;;502832,0;841165,0;;8516,0;1182551,0;0,04651166232536119;0,25273372781065095;;;;;;0,6705880946800098;;0,025640384615384537;;0,7684180910177956;0,6624997035362199;;0,2100028417163966;1,0541847105765538
1992;549972,0;22518,0;;;;;;1736328,0;;457778,0;;407054,0;834841,0;;13653,0;1202340,0;-0,22222237935701383;-0,14910822249093103;;;;;;-0,30985919971509246;;-0,14166571354107094;;-0,19047713749323825;-0,007518144478193989;;0,603217472992015;0,01673416199385902
1993;424264,0;29482,0;;;;;;2338728,0;;480000,0;;308284,0;758946,0;;16961,0;947809,0;-0,2285716363742154;0,30926370015099036;;;;;;0,3469390575974125;;0,048543180318844525;;-0,24264593886806174;-0,09090952648468387;;0,24229107155936425;-0,21169635876707082
