year;Austria;Belgium-Brussels;Belgium-Wallonia;Cyprus;Denmark;Estonia;Finland;Germany East;Germany West;Greece;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Cyprus_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Sweden_rendements
1980;;19625,0;;;;;;8497,0;;6588,0;;;;;;;;;;;;
1981;;9430,0;;;;;;11945,0;;7668,0;;;-0,5194904458598726;;;;;;0,4057902789219725;;0,16393442622950816;
1982;229,0;9749,0;;;;;;9482,0;;6426,0;;;0,03382820784729579;;;;;;-0,20619506069485138;;-0,1619718309859155;
1983;330,0;4842,0;;;;;;10221,0;;6318,0;;0,44104803493449785;-0,5033336752487434;;;;;;0,07793714406243413;;-0,01680672268907568;
1984;211,0;9876,0;;;8718,0;;;14655,0;;6264,0;;-0,3606060606060606;1,0396530359355638;;;;;;0,4338127384796009;;-0,008547008547008517;
1985;366,0;7009,0;;;9252,0;;;12561,0;;7506,0;;0,7345971563981042;-0,29029971648440667;;;0,061252580867171336;;;-0,1428863868986694;;0,19827586206896552;
1986;252,0;7264,0;;;7473,0;;;15517,0;;7020,0;;-0,3114754098360656;0,03638179483521187;;;-0,19228274967574577;;;0,23533158188042358;;-0,06474820143884896;
1987;382,0;6563,0;;;7028,0;;;10221,0;;6912,0;;0,5158730158730158;-0,0965033039647577;;;-0,05954770507159102;;;-0,3413030869369079;;-0,01538461538461533;
1988;220,0;10258,0;;;8540,0;;;10468,0;;7452,0;;-0,4240837696335078;0,563004723449642;;;0,21513944223107573;;;0,024165932883279506;;0,078125;
1989;300,0;8729,0;;;9430,0;;;12315,0;;7884,0;21767,0;0,36363636363636354;-0,14905439656853192;;;0,10421545667447307;;;0,17644249140236923;;0,05797101449275366;
1990;348,0;9175,0;;;8896,0;;;12192,0;;8208,0;11972,0;0,15999999999999992;0,051094054301752845;;;-0,05662778366914101;;;-0,009987819732034109;;0,041095890410958846;-0,4499931088344742
1991;263,0;10067,0;;;9875,0;;;25245,0;;8316,0;22765,0;-0,24425287356321834;0,09722070844686659;;;0,11004946043165464;;;1,0706200787401574;;0,013157894736842035;0,9015202138322753
1992;380,0;10386,0;;;10498,0;;;15394,0;;10368,0;18155,0;0,44486692015209117;0,031687692460514505;;;0,06308860759493662;;;-0,3902158843335314;;0,24675324675324672;-0,2025038436195915
1993;325,0;9366,0;;;9252,0;;;15640,0;;10044,0;29690,0;-0,14473684210526316;-0,09820912767186596;;;-0,11868927414745667;;;0,015980252046251753;;-0,03125;0,6353621591847975
1994;250,0;10258,0;;;9074,0;;;17980,0;;9072,0;26068,0;-0,23076923076923073;0,09523809523809534;;;-0,019239083441418114;;;0,1496163682864451;;-0,09677419354838712;-0,12199393735264397
1995;110,0;7582,0;;;10231,0;;;16009,0;;9882,0;19377,0;-0,56;-0,26086956521739135;;;0,1275071633237823;;;-0,10962180200222471;;0,08928571428571419;-0,25667485039128435
1996;78,0;8411,0;;;9430,0;;;15270,0;;9936,0;18796,0;-0,2909090909090909;0,10933790556581369;;;-0,07829146710976442;;;-0,04616153413704793;;0,005464480874316946;-0,029984001651442438
1997;304,0;7710,0;;;11387,0;;;15763,0;;11772,0;14901,0;2,8974358974358974;-0,08334324099393653;;;0,20752916224814433;;;0,03228552717747224;;0,1847826086956521;-0,20722494147690995
1998;636,0;6244,0;;;12188,0;;5789,0;12684,0;;12528,0;24891,0;1,0921052631578947;-0,1901426718547341;;;0,07034337402300861;;;-0,19533083803844442;;0,06422018348623859;0,6704248037044493
1999;984,0;8283,0;;;12722,0;;9146,0;15270,0;148,0;11826,0;27658,0;0,5471698113207548;0,32655349135169764;;;0,04381358713488681;;0,5798929003282087;0,20387890255439922;;-0,05603448275862066;0,11116467799606289
2000;600,0;8411,0;;287,0;12989,0;;5441,0;14655,0;297,0;10746,0;35757,0;-0,3902439024390244;0,015453338162501495;;;0,02098726615312052;;-0,4050951235512793;-0,04027504911591351;1,0067567567567566;-0,091324200913242;0,29282666859498163
2001;234,0;7901,0;3143,0;1300,0;13344,0;11180,0;8509,0;15147,0;445,0;11772,0;27156,0;-0,61;-0,06063488289145169;;3,529616724738676;0,027330818384787126;;0,5638669362249586;0,03357215967246674;0,49831649831649827;0,09547738693467345;-0,24054031378471352
2002;549,0;7009,0;6757,0;792,0;13700,0;11851,0;12561,0;11822,0;297,0;12852,0;26068,0;1,3461538461538463;-0,11289710163270472;1,149856824689787;-0,39076923076923076;0,026678657074340473;0,060017889087656595;0,47620166882124804;-0,21951541559384702;-0,3325842696629213;0,09174311926605494;-0,04006481072322876
2003;755,0;8411,0;6442,0;324,0;13522,0;10845,0;6888,0;21797,0;742,0;10746,0;26789,0;0,3752276867030966;0,20002853474104731;-0,04661832174041736;-0,5909090909090908;-0,012992700729926976;-0,0848873512783731;-0,4516360162407451;0,8437658602605311;1,4983164983164983;-0,16386554621848737;0,027658431793770033
2004;529,0;8538,0;7636,0;422,0;15746,0;13304,0;15513,0;14532,0;594,0;11286,0;24477,0;-0,2993377483443709;0,015099274759243775;0,18534616578702257;0,30246913580246915;0,1644727111374058;0,2267404333794376;1,2521777003484322;-0,3333027480845988;-0,19946091644204855;0,05025125628140703;-0,08630408003284928
2005;771,0;7391,0;9648,0;232,0;14768,0;13975,0;10883,0;17118,0;148,0;12150,0;22937,0;0,4574669187145557;-0,13434059498711637;0,26348873755893143;-0,45023696682464454;-0,062111012320589354;0,05043595911004206;-0,2984593566686006;0,17795210569777042;-0,7508417508417509;0,07655502392344493;-0,06291620705151779
2006;1051,0;7009,0;10591,0;416,0;15835,0;14758,0;11693,0;16379,0;297,0;12636,0;27720,0;0,3631647211413749;-0,05168448112569346;0,09774046434494199;0,7931034482758621;0,07225081256771393;0,05602862254025043;0,07442800698336849;-0,04317093118354953;1,0067567567567566;0,040000000000000036;0,20852770632602335
2007;1323,0;9494,0;8768,0;497,0;15213,0;16323,0;12098,0;21920,0;297,0;12420,0;23774,0;0,2588011417697431;0,3545441575117705;-0,17212727787744309;0,19471153846153855;-0,039280075781496726;0,10604417942810684;0,03463610707260756;0,33829904145552225;0,0;-0,017094017094017144;-0,14235209235209234
2008;2031,0;6690,0;12036,0;189,0;15391,0;15652,0;16729,0;14655,0;594,0;10854,0;25984,0;0,5351473922902494;-0,2953444280598273;0,3727189781021898;-0,619718309859155;0,01170051929271021;-0,04110763952704777;0,3827905438915524;-0,3314324817518248;1,0;-0,12608695652173918;0,0929586943720031
2009;1600,0;8857,0;10182,0;881,0;15035,0;13975,0;9378,0;15394,0;742,0;12744,0;27129,0;-0,2122107336287543;0,3239162929745889;-0,15403788634097704;3,6613756613756614;-0,023130400883633273;-0,1071428571428571;-0,4394165819833822;0,05042647560559543;0,24915824915824913;0,17412935323383083;0,044065578817733986
2010;2051,0;5352,0;8799,0;290,0;13078,0;10845,0;13487,0;14162,0;594,0;11664,0;35908,0;0,2818750000000001;-0,39573218922885856;-0,1358279316440778;-0,6708286038592508;-0,1301629531094114;-0,2239713774597496;0,4381531243335466;-0,08003118097960249;-0,19946091644204855;-0,0847457627118644;0,3236020494673597
2011;1479,0;7200,0;10653,0;307,0;14323,0;12298,0;7120,0;14162,0;594,0;9882,0;26850,0;-0,2788883471477328;0,3452914798206279;0,21070576201841118;0,05862068965517242;0,09519804251414588;0,13397879207007835;-0,4720842292578038;0,0;0,0;-0,1527777777777778;-0,2522557647320931
2012;1820,0;7391,0;8485,0;235,0;14412,0;13416,0;7352,0;14901,0;1039,0;10530,0;34591,0;0,2305611899932387;0,026527777777777706;-0,20351074814606218;-0,23452768729641693;0,0062137820289045465;0,09090909090909083;0,03258426966292127;0,052181895212540574;0,7491582491582491;0,06557377049180335;0,28830540037243946
2013;1944,0;10450,0;13953,0;775,0;13611,0;12633,0;8683,0;14655,0;902,0;10206,0;31426,0;0,06813186813186811;0,4138817480719794;0,6444313494401885;2,297872340425532;-0,05557868442964198;-0,058363148479427585;0,18103917301414585;-0,016508959130259737;-0,13185755534167465;-0,03076923076923077;-0,09149778844208034
2014;3455,0;9685,0;9082,0;336,0;13878,0;13863,0;8972,0;17733,0;1187,0;10098,0;29451,0;0,7772633744855968;-0,07320574162679427;-0,3491005518526482;-0,5664516129032258;0,01961648666519733;0,0973640465447636;0,033283427386847864;0,21003070624360287;0,3159645232815964;-0,010582010582010581;-0,06284605104053964
2015;1321,0;10959,0;9616,0;591,0;14234,0;12633,0;6252,0;20935,0;1039,0;9774,0;35009,0;-0,6176555716353112;0,1315436241610739;0,058797621669235856;0,7589285714285714;0,025652111255224153;-0,08872538411599218;-0,30316540347748555;0,18056730389668973;-0,12468407750631849;-0,03208556149732622;0,18872024719024827
2016;3253,0;9303,0;7982,0;1785,0;13166,0;11404,0;5441,0;16995,0;1187,0;10044,0;37609,0;1,462528387585163;-0,15110867779906922;-0,16992512479201327;2,020304568527919;-0,0750316144442883;-0,09728488878334518;-0,12971849008317338;-0,1882015763076188;0,14244465832531272;0,027624309392265234;0,07426661715558858
