year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Portugal;Republic of Ireland;Romania;Slovakia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Republic of Ireland_rendements;Romania_rendements;Slovakia_rendements;Spain_rendements;Sweden_rendements
1980;;57600,0;;;;;;;;837380,0;;350851,0;;;;496357,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;60444,0;;;;;;;;871559,0;;383404,0;;;;359431,0;;;;;;;;;;;;0,04937499999999995;;;;;;;;0,04081659461654197;;0,09278297624917697;;;;-0,2758619300221413;;;;;;;;;;
1982;369872,0;67556,0;;;;;;;;709210,0;;376170,0;;;;393662,0;;;;;;;;;;;;0,11766262987227849;;;;;;;;-0,18627425108340345;;-0,018867826105100627;;;;0,09523663790824943;;;;;;;;;;
1983;229320,0;88889,0;;;;;;;;786112,0;;390638,0;;;;382252,0;;;;;;;;;;;-0,38000173032832985;0,31578246195748716;;;;;;;;0,1084333272232485;;0,03846133397134266;;;;-0,028984255528854752;;;;;;;;;;
1984;506724,0;85333,0;;;;;95000,0;;;914283,0;;397872,0;;;28583,0;353726,0;;;;;;;;;;;1,209680795395081;-0,040004949993812544;;;;;;;;0,16304419726451203;;0,018518423706858966;;;;-0,07462616284545276;;;;;;;;;;
1985;270006,0;79644,0;;;;;84039,0;;;623763,0;;387021,0;;;42303,0;330904,0;;;;;;;;;;;-0,46715371681625495;-0,06666822917277015;;;;;-0,11537894736842103;;;-0,31775719334166774;;-0,02727259017975625;;;0,48000559773291807;-0,0645188648841194;;;;;;;;;;
1986;321788,0;84622,0;;;;;81298,0;;;717755,0;;397872,0;;;44304,0;313789,0;;;;;;;;;;;0,19178092338688768;0,06250313896840942;;;;;-0,032615809326622114;;;0,15068543661615075;;0,028037238289395194;;;0,04730160981490683;-0,051721949568454884;;;;;;;;;;
1987;236718,0;84622,0;;;;;91346,0;;;811746,0;;383404,0;;;36586,0;376546,0;;;;;;;;;;;-0,2643666016134847;0,0;;;;;0,12359467637580268;;;0,13095136919979655;;-0,03636345357300841;;;-0,1742054893463344;0,19999745051611106;;;;;;;;;;
1988;355077,0;75378,0;;;;;85866,0;;;606674,0;;390638,0;;;41160,0;251031,0;;;;;;;;;;;0,5;-0,10923873224456992;;;;;-0,05999167998598731;;;-0,2526307490274051;;0,018867826105100516;;;0,12502049964467288;-0,3333324480939912;;;;;;;;;;
1989;273705,0;80356,0;936971,0;;;;87692,0;;;615218,0;;390638,0;;;47734,0;233915,0;;;;;;;;;;1248324,0;-0,229167194721145;0,06604048926742556;;;;;0,02126569305662307;;;0,014083346245265194;;0,0;;;0,15971817298347912;-0,06818281407475568;;;;;;;;;;
1990;303295,0;87467,0;871383,0;;;;91346,0;;;632308,0;;325532,0;;;44875,0;302378,0;;;;;;;;;137492,0;1135975,0;0,10810909555908732;0,08849370302155402;-0,0700000320180667;;;;0,04166856725813073;;;0,02777877110227589;;-0,16666581336173136;;;-0,05989441488247371;0,2926832396383301;;;;;;;;;;-0,08999987182814717
1991;318090,0;82489,0;983820,0;;;;104135,0;;;939917,0;;314681,0;;;38587,0;387957,0;;;;;;;;;147117,0;1842293,0;0,0487808898926787;-0,05691289286245094;0,12903281335532135;;;;0,1400061305366409;;;0,48648601630850785;;-0,033333128540358525;;;-0,14012256267409473;0,28301992869851644;;;;;;;;;0,07000407296424527;0,6217724861902771
1992;270006,0;78222,0;787056,0;;;;99567,0;;;512682,0;;354468,0;;;36872,0;445010,0;;;;;;;;;111304,0;1336299,0;-0,1511647646892389;-0,05172810920243909;-0,19999999999999996;;;;-0,043866135305132725;;;-0,4545454545454546;;0,12643597802218753;;;-0,04444502034363906;0,14706011233203675;;;;;;;;;-0,24343209826192758;-0,2746544659291438
1993;207128,0;91733,0;796425,0;;;;97741,0;;;572495,0;;336383,0;;;60024,0;313789,0;;;;;;;;;139758,0;1367338,0;-0,23287630645244917;0,17272634297256517;0,011903854363603195;;;;-0,018339409643757465;;;0,11666686171935048;;-0,051020120292946;;;0,6279019310045564;-0,29487202534774504;;;;;;;;;0,25564220513189095;0,023227586041746573
1994;336583,0;79644,0;1002559,0;;;;102308,0;;;777568,0;;361702,0;;;48019,0;479241,0;;;;;;;;;160906,0;1686125,0;0,625;-0,13178463584533373;0,258824120287535;;;;0,04672552971629096;;;0,35820924200211346;;0,07526836968574502;;;-0,2000033320005331;0,5272715104735985;;;;;;;;;0,1513187080524907;0,23314425548035667
1995;306993,0;74667,0;740207,0;;;;99567,0;;;666486,0;;300213,0;;;65169,0;285262,0;;;;;;;;;127829,0;1618269,0;-0,0879129367793382;-0,062490583094771734;-0,26168235485392877;;;;-0,026791648746921082;;;-0,14285824519527557;;-0,16999905999966824;;;0,35715029467502446;-0,4047629480783155;;;;;;;;;-0,2055672255851242;-0,04024375417006454
1996;321788,0;89600,0;936971,0;;;;98654,0;;;683576,0;;343617,0;;;80032,0;445010,0;;;;;336402,0;;;;137964,0;1625311,0;0,0481932812800292;0,19999464288105862;0,2658229387184936;;;;-0,009169704821878732;;;0,02564194896817029;;0,14457735008144224;;;0,22806856020500543;0,5600044871030843;;;;;;;;;0,07928560811709384;0,004351563306224104
1997;469737,0;65422,0;1086886,0;;;;114183,0;;;794657,0;;321915,0;;;67170,0;416483,0;;;;;215297,0;;;;150050,0;1753982,0;0,4597716509005929;-0,26984375000000005;0,15999961578319932;;;;0,15740872138990825;;;0,16249985371048714;;-0,06315752713049705;;;-0,16071071571371454;-0,06410417743421493;;;;;-0,360000832337501;;;;0,08760256298744595;0,07916700249982922
1998;388365,0;64711,0;787056,0;;;;99567,0;;1884711,0;649397,0;;303830,0;86067,0;;68313,0;410778,0;;;;;386862,0;;;;123259,0;1625944,0;-0,1732288493348405;-0,010867903763260078;-0,2758614978939834;;;;-0,1280050445337747;;;-0,1827958477682824;;-0,05617942624605876;;;0,017016525234479607;-0,013698038095192322;;;;;0,7968759434641448;;;;-0,17854715094968343;-0,07299846862738613
1999;451243,0;76089,0;580922,0;68714,0;;;105048,0;;2016640,0;640852,0;114992,0;307447,0;89509,0;;62311,0;336610,0;;;;;333038,0;;;;118768,0;1467500,0;0,16190439406228685;0,17582791179243107;-0,2619051249212254;;;;0,055048359396185464;;0,06999959144929901;-0,013158360756209242;;0,011904683540137517;0,03999209917854696;;-0,08786029013511343;-0,18055494695431595;;;;;-0,13912971550578757;;;;-0,03643547327172869;-0,09744739056203655
2000;514121,0;60444,0;702728,0;67339,0;823814,0;;100481,0;633806,0;1884711,0;589584,0;111542,0;318298,0;109305,0;;70028,0;502062,0;;;;;161473,0;;;;141631,0;1955612,0;0,1393439898236648;-0,20561447778259667;0,20967703065127496;-0,020010478214046667;;;-0,04347536364328686;;-0,06542020390352266;-0,07999975033237006;-0,030002087101711372;0,035293888052249756;0,22116211777586603;;0,12384651185183992;0,4915243159739757;;;;;-0,5151514241618074;;;;0,1925013471642194;0,3326146507666099
2001;521519,0;70400,0;871383,0;59094,0;807337,0;;100481,0;925356,0;2167417,0;649397,0;121891,0;347234,0;98977,0;;62883,0;427894,0;;;;;228753,0;;;;141395,0;1377249,0;0,014389608671888432;0,1647144464297532;0,24000039844719434;-0,12244019067702228;-0,020000873983690548;;0,0;0,45999880089491096;0,14999965511953817;0,10144949659420877;0,09278119452762179;0,09090851968909641;-0,09448790082795844;;-0,10203061632489863;-0,14772677478080398;;;;;0,41666408625590656;;;;-0,0016663018689411224;-0,2957452705342368
2002;510423,0;65422,0;974450,0;85892,0;807337,0;;102308,0;659158,0;2016640,0;598129,0;109242,0;350851,0;100698,0;;56594,0;273852,0;;;;;346494,0;;;;104508,0;1484791,0;-0,02127631016319631;-0,07071022727272724;0,11827979200879524;0,45348089484550047;0,0;;0,018182541973109423;-0,2876709071967978;-0,0695652936190867;-0,07894708475709;-0,10377304312869695;0,0104166066687017;0,017387877991856593;;-0,100011131784425;-0,3600003739243831;;;;;0,514708003829458;;;;-0,2608790975635631;0,07808464555065942
2003;473436,0;84622,0;1058777,0;96886,0;790861,0;;105048,0;1045780,0;1809322,0;709210,0;121891,0;336383,0;111887,0;;54022,0;376546,0;;;;;322946,0;;;;139431,0;1636488,0;-0,07246342739257439;0,293479257742044;0,08653804710349422;0,12799795091510258;-0,020407834646498313;;0,026781874340227496;0,5865391909071878;-0,10280367343700414;0,18571411852627118;0,11578879917980256;-0,04123687833296752;0,11111442133905336;;-0,045446513764710095;0,3749981741962811;;;;;-0,06796077276951407;;;;0,334165805488575;0,10216724104604613
2004;613987,0;82489,0;1218062,0;75585,0;741432,0;;100481,0;1014089,0;2468971,0;683576,0;128791,0;361702,0;71435,0;;55737,0;399368,0;;;;349386,0;306126,0;;;;142128,0;1519668,0;0,29687433993190204;-0,0252062111507646;0,15044244444297528;-0,21985632599137128;-0,06250023708338126;;-0,04347536364328686;-0,03030369676222533;0,3645835290788484;-0,0361444424077495;0,05660795300719501;0,07526836968574502;-0,36154334283696943;;0,031746325571063716;0,060608796800390996;;;;;-0,05208301078198829;;;;0,019342900789637962;-0,0713845747723173
2005;954269,0;76800,0;1180584,0;94825,0;724956,0;339684,0;100481,0;1964798,0;2468971,0;632308,0;143740,0;354468,0;177297,0;358029,0;55451,0;445010,0;;42426,0;;454202,0;218661,0;;;;93155,0;1821164,0;0,5542169459613966;-0,06896677132708606;-0,030768548727404643;0,2545478600251372;-0,02222186255786096;;0,0;0,9375005546850423;0,0;-0,07499970742097439;0,11607177520168332;-0,019999889411725702;1,4819346258836705;;-0,005131241365699646;0,11428557120249994;;;;0,3000005724327821;-0,28571568569804595;;;;-0,3445696836654284;0,1983959654345555
