year;Austria;Belgium-Brussels;Belgium-Wallonia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Republic of Ireland;Romania;Slovenia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Republic of Ireland_rendements;Romania_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements
1980;;166423,0;;;;;;;;327170,0;;1395788,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;166423,0;;;;;;;;343528,0;;1744735,0;;;;;;;;;;;;;;0,0;;;;;;;;0,04999847174251926;;0,25;;;;;;;;;;;;
1982;135760,0;197080,0;;;;;;;;441679,0;;1913192,0;;;;;;;;;;;;;;0,18421131694537407;;;;;;;;0,28571470156726675;;0,09655162531845818;;;;;;;;;;;;
1983;199567,0;162044,0;;;;;;;;323898,0;;1985388,0;;;;;;;;;;;;;0,46999852681202126;-0,17777552263040386;;;;;;;;-0,26666651572748534;;0,037735888504656145;;;;;;;;;;;;
1984;154766,0;166423,0;;;;410224,0;;;;310811,0;;1853029,0;;;60234,0;47895,0;;;;;;;;;-0,22449102306493562;0,027023524474834026;;;;;;;;-0,04040469530531221;;-0,06666656593068965;;;;;;;;;;;;
1985;55662,0;179562,0;;;;390919,0;;;;402419,0;;1961323,0;;;82521,0;59868,0;;;;;;;;;-0,6403473631159299;0,07894942405797267;;;;-0,047059655212761786;;;;0,2947386032025894;;0,05844161100554812;;;0,37000697280605643;0,24998434074538056;;;;;;;;
1986;78741,0;201460,0;;;;386093,0;;;;441679,0;;2069617,0;;;75293,0;53163,0;;;;;;;;;0,4146275735690417;0,12195230616722919;;;;-0,01234526845714845;;;;0,09756000586453428;;0,05521477084600557;;;-0,08758982562014517;-0,11199639206253753;;;;;;;;
1987;48874,0;208759,0;;;;400571,0;;;;363158,0;;1853029,0;;;83123,0;61305,0;;;;;;;;;-0,3793068414167968;0,03623051722426296;;;;0,037498737350845524;;;;-0,17777843184756348;;-0,10465124706648621;;;0,10399373115694677;0,15315162801196314;;;;;;;;
1988;29867,0;182482,0;;;;429528,0;;;;327170,0;;1865061,0;;;103001,0;64179,0;;;;;;;;;-0,38889798256741825;-0,12587241747661182;;;;0,07228930701423719;;;;-0,09909736258047463;;0,006493152562641935;;;0,23913958832092197;0,0468803523366772;;;;;;;;
1989;84171,0;170803,0;910084,0;;;424702,0;;;;340257,0;;1696604,0;;;84930,0;70884,0;;;;;;;;206160,0;1,8181939933706097;-0,06400083295886716;;;;-0,011235588832392729;;;;0,04000061130299226;;-0,09032251492042354;;;-0,17544489859321755;0,1044734258869724;;;;;;;;
1990;38013,0;166423,0;436840,0;;;482616,0;;;;353343,0;1424,0;1828964,0;;;75895,0;55558,0;;;;;;;101796,0;169052,0;-0,5483836475745802;-0,025643577688916452;-0,5200003516158949;;;0,13636385041746912;;;;0,03845916469021948;;0,07801466930409218;;;-0,10638172612739905;-0,21621240336324132;;;;;;;;-0,17999611951882033
1991;198210,0;192701,0;509647,0;;;526051,0;;;;500570,0;1424,0;1612376,0;;;108422,0;86210,0;;;;;;;110958,0;277453,0;4,214268802777997;0,15789884811594557;0,16666742972255277;;;0,08999908830208692;;;;0,41666878925010553;0,0;-0,11842113896172912;;;0,42857895777060406;0,5517117246841139;;;;;;;0,09000353648473425;0,6412287343539267
