year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Portugal;Republic of Ireland;Romania;Slovenia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Republic of Ireland_rendements;Romania_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements
1980;;251667,0;;;;;;;;;562000,0;;1769600,0;;;;496477,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;262609,0;;;;;;;;;522329,0;;1736000,0;;;;480666,0;;;;;;;;;;;;0,04347808810849263;;;;;;;;;-0,07058896797153025;;-0,01898734177215189;;;;-0,031846389661555285;;;;;;;;;;
1982;35854,0;266986,0;;;;;;;;;621506,0;;1780800,0;;;;509126,0;;;;;;;;;;;;0,016667364789477945;;;;;;;;;0,1898745809633391;;0,02580645161290329;;;;0,059209513466731645;;;;;;;;;;
1983;35136,0;277928,0;;;;;;;;;588447,0;;1736000,0;;;;442718,0;;;;;;;;;;;-0,02002565961956826;0,0409834223517338;;;;;;;;;-0,05319176323317876;;-0,02515723270440251;;;;-0,1304352949957378;;;;;;;;;;
1984;39797,0;258232,0;;;;;117179,0;;;;509106,0;;1792000,0;;;107990,0;547074,0;;;;;;;;;;;0,13265596539162106;-0,07086727497769207;;;;;;;;;-0,1348311742603837;;0,032258064516129004;;;;0,2357166412931031;;;;;;;;;;
1985;43741,0;293246,0;;;;;138940,0;;;;568612,0;;1803200,0;;;139307,0;477504,0;;;;;;;;;;;0,09910294745835113;0,1355912512779207;;;;;0,18570733663881756;;;;0,11688332095870013;;0,006250000000000089;;;0,28999907398833225;-0,12716743987102297;;;;;;;;;;
1986;31193,0;295435,0;;;;;142288,0;;;;568612,0;;1848000,0;;;132827,0;515451,0;;;;;;;;;;;-0,28687044191948063;0,00746472245145724;;;;;0,024096732402475896;;;;0,0;;0,024844720496894457;;;-0,04651596832894256;0,07946949135504622;;;;;;;;;;
1987;33344,0;288870,0;;;;;145636,0;;;;601671,0;;1769600,0;;;173864,0;543911,0;;;;;;;;;;;0,06895777898887578;-0,022221470035710067;;;;;0,02352974249409656;;;;0,05813982117858929;;-0,042424242424242475;;;0,3089507404368088;0,05521378365741847;;;;;;;;;;
1988;26173,0;306377,0;;;;;152332,0;;;;482659,0;;1881600,0;;;209500,0;455368,0;;;;;;;;;;;-0,21506118042226485;0,060605116488385846;;;;;0,04597764289049411;;;;-0,19780245350033487;;0,06329113924050622;;;0,20496480007362083;-0,16278950048813134;;;;;;;;;;
1989;34419,0;291058,0;3061542,0;;;;167398,0;;;;542165,0;;1814400,0;;;197621,0;430069,0;;;;;;;;;;1139449,0;0,3150575020058839;-0,050000489592887165;;;;;0,09890239739516327;;;;0,12328786990401097;;-0,0357142857142857;;;-0,056701670644391355;-0,05555726357583313;;;;;;;;;;
1990;30834,0;273551,0;2510464,0;;;;167398,0;;;;495882,0;;1948800,0;;;201941,0;480666,0;;;;;;;;;232021,0;1082476,0;-0,10415758737906389;-0,060149523462677545;-0,18000014371842687;;;;0,0;;;;-0,0853670008207833;;0,07407407407407418;;;0,021860024997343297;0,11764856337006391;;;;;;;;;;-0,05000048268944024
1991;26890,0;286681,0;2357387,0;;;;187486,0;;;;562000,0;;1892800,0;;;181423,0;505964,0;;;;;;;;;371234,0;1863925,0;-0,12791074787572165;0,04799836227979437;-0,06097558060979957;;;;0,1200014337088855;;;;0,1333341399768493;;-0,028735632183908066;;;-0,10160393382225497;0,052631140958586675;;;;;;;;;0,6000017239818809;0,7219088460159855
