year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Portugal;Republic of Ireland;Romania;Slovakia;Slovenia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Republic of Ireland_rendements;Romania_rendements;Slovakia_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements
1980;;2465517,0;;;;;;;;;16855642,0;;11529825,0;;;;14783703,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;2689655,0;;;;;;;;;17792067,0;;11638596,0;;;;15276493,0;;;;;;;;;;;;;0,09090912778131321;;;;;;;;;0,05555558192325161;;0,009433881260123123;;;;0,03333332656912824;;;;;;;;;;;
1982;11956533,0;2824138,0;;;;;;;;;16699572,0;;11094737,0;;;;16508469,0;;;;;;;;;;;;;0,05000009294872387;;;;;;;;;-0,061403489543963574;;-0,0467289181616064;;;;0,08064521091326382;;;;;;;;;;;
1983;12913056,0;2913793,0;;;;;;;;;16855642,0;;11529825,0;;;;15153296,0;;;;;;;;;;;;0,08000003010906265;0,03174596992073342;;;;;;;;;0,009345748501817797;;0,03921571101685428;;;;-0,0820895626360022;;;;;;;;;;;
1984;12554360,0;2958621,0;;;;;914291,0;;;;17479925,0;;12182456,0;;;3548455,0;16015679,0;;;;;;;;;;;;-0,02777777777777779;0,015384757942654037;;;;;;;;;0,03703703483972909;;0,056603721218665415;;;;0,056910588957016284;;;;;;;;;;;
1985;12554360,0;2958621,0;;;;;838100,0;;;;17948138,0;;11964912,0;;;3477486,0;16015679,0;;;;;;;;;;;;0,0;0,0;;;;;-0,08333342447863978;;;;0,026785755659706867;;-0,017857154583607815;;;-0,01999997181872115;0,0;;;;;;;;;;;
1986;11717402,0;3048276,0;;;;;859869,0;;;;17635996,0;;11747368,0;;;3583940,0;15030098,0;;;;;;;;;;;;-0,06666671976906824;0,03030296884933903;;;;;0,025974227419162332;;;;-0,017391330510162062;;-0,018181830338576677;;;0,03061234466508278;-0,061538508607721254;;;;;;;;;;;
1987;12434794,0;3003448,0;;;;;957829,0;;;;17948138,0;;12073684,0;;;3335548,0;14660506,0;;;;;;;;;;;;0,06122449327931223;-0,014706017434116814;;;;;0,11392433033403915;;;;0,01769914214088053;;0,02777779669454472;;;-0,06930696384426083;-0,02459012575965902;;;;;;;;;;;
1988;11239141,0;3003448,0;;;;;946944,0;;;;17167784,0;;12508772,0;;;3583940,0;13921321,0;;;;;;;;;;;;-0,09615382450244048;0,0;;;;;-0,011364241425139587;;;;-0,0434782705593193;;0,03603605991344483;;;0,07446812337882713;-0,050420156030085206;;;;;;;;;;;
1989;11956533,0;3093103,0;21691982,0;;;;1012251,0;;;;17167784,0;;12617544,0;;;3583940,0;13798123,0;;;;;;;;;;;13129737,0;0,0638297891271229;0,02985069160511511;;;;;0,06896606346309819;;;;0,0;;0,008695657735227735;;;0,0;-0,008849591213362595;;;;;;;;;;;
