year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Latvia;Luxembourg;Netherlands;Norway;Poland;Republic of Ireland;Romania;Slovenia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Republic of Ireland_rendements;Romania_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements
1980;;436364,0;;;;;;;;;559883,0;;1834667,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;357576,0;;;;;;;;;457238,0;;1691333,0;;;;;;;;;;;;;-0,18055568287026424;;;;;;;;;-0,18333294634771913;;-0,07812534917780722;;;;;;;;;;;
1982;253293,0;284848,0;;;;;;;;;410581,0;;1376000,0;;;;;;;;;;;;;-0,20339172651408377;;;;;;;;;-0,10204095022723392;;-0,1864405176272207;;;;;;;;;;;
1983;248227,0;321212,0;;;;;;;;;513226,0;;1433333,0;;;;;;;;;;;;-0,02000055271957768;0,12766106835926538;;;;;;;;;0,24999939110674863;;0,041666424418604686;;;;;;;;;;;
1984;392603,0;357576,0;;;;;169344,0;;;;345261,0;;1290000,0;;272167,0;;;;;;;;;;0,5816289122456462;0,11320872196555554;;;;;;;;;-0,3272729752584631;;-0,09999979069762577;;;;;;;;;;;
1985;321682,0;315152,0;;;;;156317,0;;;;289273,0;;1146667,0;;302105,0;;;;;;;;;;-0,1806430414439013;-0,11864330939436651;;;;;-0,07692625661375663;;;;-0,1621613793622796;;-0,11111085271317833;;0,10999864054055042;;;;;;;;;
1986;250760,0;351515,0;;;;;123028,0;;;;429244,0;;1003333,0;;127918,0;;;;;;;;;;-0,22047239198960467;0,11538241864243282;;;;;-0,21295828348804036;;;;0,4838716368274951;;-0,12500054505798108;;-0,5765776799457143;;;;;;;;;
1987;149443,0;284848,0;;;;;115791,0;;;;279941,0;;831333,0;;106145,0;;;;;;;;;;-0,4040397192534695;-0,18965620243801828;;;;;-0,058824007542998324;;;;-0,34782780889191234;;-0,1714286283816041;;-0,1702106036679748;;;;;;;;;
1988;167173,0;333333,0;;;;;125922,0;;;;279941,0;;974667,0;;59877,0;;;;;;;;;;0,11864055191611511;0,17021358759759586;;;;;0,0874938466720212;;;;0,0;;0,1724146641598494;;-0,43589429553912107;;;;;;;;;
1989;111449,0;339394,0;5050764,0;;;;140396,0;;;;279941,0;;1089333,0;;117032,0;;;;;;;;;728591,0;-0,3333313393909304;0,018183018183018262;;;;;0,11494417178888527;;;;0,0;;0,11764633459427687;;0,9545401406216076;;;;;;;;;
1990;167173,0;412121,0;4040611,0;;;;144738,0;;;;391918,0;;1118000,0;;127918,0;;;;;;;;195004,0;626588,0;0,49999551364301165;0,21428487244912997;-0,20000003959796975;;;;0,030926807031539383;;;;0,4000021433087686;;0,02631610352389946;;0,09301729441520279;;;;;;;;;-0,14000035685315904
1991;187436,0;369697,0;5101272,0;;;;121580,0;;;;373255,0;;1232667,0;;166022,0;;;;;;;;179404,0;878544,0;0,12120976473473588;-0,10294064121944768;0,2625001515859855;;;;-0,1599994472771491;;;;-0,047619655131940886;;0,1025644007155635;;0,2978783283040698;;;;;;;;-0,07999835900802033;0,40210792418622754
