year;Austria;Belgium-Brussels;Cyprus;Denmark;Finland;Germany East;Germany West;Greece;Hungary;Lithuania;Portugal;Sweden;Austria_rendements;Belgium-Brussels_rendements;Cyprus_rendements;Denmark_rendements;Finland_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Lithuania_rendements;Portugal_rendements;Sweden_rendements
1980;;;;;;;;5812698,0;;1254848,0;;;;;;;;;;;;;;
1981;;;;;;;;5002162,0;;1332582,0;;;;;;;;;;-0,13944230372883637;;0,06194694496863362;;
1982;8319,0;;;;;;;3635831,0;;744025,0;;;;;;;;;;-0,273148090765553;;-0,44166662914552346;;
1983;11730,0;;;;;;;3357933,0;;777340,0;;;0,4100252434186802;;;;;;;-0,0764331455449937;;0,0447767212123249;;
1984;27703,0;12371,0;;3544,0;;;;3056877,0;;599662,0;;;1,3617220801364023;;;;;;;-0,08965515392951562;;-0,2285717961252477;;
1985;20548,0;36742,0;;3193,0;;;;3334775,0;;744025,0;;;-0,2582752770458073;1,9700105084471748;;-0,09904063205417613;;;;0,0909091206482957;;0,24074061721436402;;
1986;10815,0;22144,0;;2200,0;;;;3080035,0;;1199324,0;;;-0,4736714035429239;-0,3973109792607915;;-0,31099279674287506;;;;-0,07638896177403276;;0,6119404589899533;;
1987;10981,0;15588,0;;1694,0;;;;2246341,0;;1088276,0;;;0,015349052242256134;-0,29606213872832365;;-0,22999999999999998;;;;-0,27067679425720814;;-0,09259216025027428;;
1988;7154,0;19670,0;;2551,0;;;;1875811,0;;943913,0;;;-0,3485110645660686;0,2618681036694894;;0,5059031877213696;;;;-0,16494824249746587;;-0,13265292995526867;;
1989;9484,0;12371,0;;2005,0;;;;1597913,0;;655186,0;;7220,0;0,325691920603858;-0,3710726995424505;;-0,21403371226969814;;;;-0,1481481876372407;;-0,30588306337554416;;
1990;8901,0;15093,0;;1947,0;;;;1111592,0;;710711,0;;12779,0;-0,061471952762547466;0,22003071699943422;;-0,028927680798005007;;;;-0,30434760841172204;;0,0847469268268859;;0,76994459833795
1991;6323,0;14722,0;;2259,0;;;;1458964,0;;510823,0;;24229,0;-0,2896303786091451;-0,02458093155767571;;0,16024653312788906;;;;0,3124995501946757;;-0,28125074749089296;;0,8960012520541514
1992;3494,0;24371,0;;1421,0;;;;810536,0;;1099381,0;;53599,0;-0,4474142021192472;0,655413666621383;;-0,3709606020362992;;;;-0,4444441398142792;;1,152175998339934;;1,2121837467497625
1993;12811,0;35629,0;;1266,0;;;;648428,0;;1077171,0;;20699,0;2,6665712650257585;0,46194247261089005;;-0,1090781140042224;;;;-0,20000098700119429;;-0,02020227746340897;;-0,6138174219668278
