year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Portugal;Romania;Slovakia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Portugal_rendements;Romania_rendements;Slovakia_rendements;Spain_rendements;Sweden_rendements
1980;;1108846,0;;;;;;;;;2954952,0;;3495385,0;;;;2621588,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;1108846,0;;;;;;;;;3294602,0;;3458974,0;;;;3645256,0;;;;;;;;;;0,0;;;;;;;;;0,1149426454304503;;-0,010416878255185003;;;;0,3904763067270678;;;;;;;;
1982;5339518,0;1168462,0;;;;;;;;;3124777,0;;3058462,0;;;;3095971,0;;;;;;;;;;0,05376400329712161;;;;;;;;;-0,051546438689711205;;-0,11578924848813554;;;;-0,1506848901695793;;;;;;;;
1983;6087051,0;1085000,0;;;;;;;;;3090812,0;;3240513,0;;;;2272043,0;;;;;;;;;0,14000008989575474;-0,07142893821108431;;;;;;;;;-0,010869575652918573;;0,05952370832137199;;;;-0,2661291077984903;;;;;;;;
1984;6087051,0;1049231,0;;;;;18839,0;;;;2547373,0;;3276923,0;;;653604,0;2197141,0;;;;;;;;;0,0;-0,032966820276497666;;;;;;;;;-0,17582402294283828;;0,011235875307397336;;;;-0,032966805645843866;;;;;;;;
1985;5820075,0;1096923,0;;;;;16028,0;;;;2887022,0;;3167692,0;;;692820,0;2621588,0;;;;;;;;;-0,04385966209253056;0,04545424220214622;;;;;-0,1492117415998726;;;;0,13333304545506297;;-0,03333340453834288;;;0,05999963280518483;0,19318150268917655;;;;;;;;
1986;5659889,0;1132692,0;;;;;18558,0;;;;2751163,0;;3058462,0;;;764716,0;2546686,0;;;;;;;;;-0,027523013019591702;0,032608487560202404;;;;;0,15784876466184183;;;;-0,04705852605210492;;-0,03448251913380462;;;0,10377298576830918;-0,028571232398073243;;;;;;;;
1987;6514212,0;1132692,0;;;;;22214,0;;;;2920987,0;;2985641,0;;;535955,0;2796361,0;;;;;;;;;0,15094341956176183;0,0;;;;;0,1970039874986529;;;;0,061728076453485325;;-0,02380967950558155;;;-0,2991450420809817;0,09803917718949262;;;;;;;;
1988;5446309,0;1120769,0;;;;;23057,0;;;;2751163,0;;2912821,0;;;457523,0;2496751,0;;;;;;;;;-0,16393433311657646;-0,01052625073718183;;;;;0,03794904114522368;;;;-0,058139252245901774;;-0,02439007234962276;;;-0,14634064427050775;-0,10714281882775512;;;;;;;;
1989;5606494,0;1049231,0;3232489,0;;;;25307,0;;;;2717198,0;;2840000,0;;;601315,0;2421848,0;;;;;;;;2996159,0;0,029411662099965374;-0,06382938857159681;;;;;0,09758424773387686;;;;-0,012345687987225795;;-0,0250001630721558;;;0,3142836534993869;-0,03000018824464279;;;;;;;;
1990;5553099,0;1013462,0;2553666,0;;;;28118,0;;;;2649268,0;;2512308,0;;;758180,0;2297011,0;;;;;;;92846,0;2726505,0;-0,009523777248312437;-0,034090681651609556;-0,21000009590133173;;;;0,11107598688109999;;;;-0,025000018401308943;;-0,11538450704225356;;;0,2608699267438863;-0,05154617465670841;;;;;;;;-0,08999989653419593
1991;5713285,0;930000,0;2489016,0;;;;29243,0;;;;2649268,0;;2075385,0;;;882365,0;2796361,0;;;;;;;82633,0;3912422,0;0,028846235228293216;-0,08235335908006414;-0,025316544920126582;;;;0,04000995803399965;;;;0,0;;-0,173912991559952;;;0,1637935582579335;0,21739120970687553;;;;;;;-0,10999935376860603;0,4349586742001206
1992;5392913,0;870385,0;2489016,0;;;;33742,0;;;;2309618,0;;2221026,0;;;673212,0;2072303,0;;;;;;;71491,0;3928517,0;-0,05607492012038606;-0,06410215053763446;0,0;;;;0,1538487843244538;;;;-0,12820522499045017;;0,07017541323658016;;;-0,23703682716336205;-0,25892865763755113;;;;;;;-0,13483717159004271;0,004113820032705995
1993;5713285,0;846538,0;2392042,0;;;;37960,0;;;;2547373,0;;2148205,0;;;732036,0;2272043,0;;;;;;;85418,0;4569151,0;0,05940611317111921;-0,027398220327785938;-0,03896077807454834;;;;0,12500740916365372;;;;0,1029412656118891;;-0,03278709929555079;;;0,08737812160211056;0,09638551891301606;;;;;;;0,19480773803695572;0,16307273202585093
1994;6033656,0;882308,0;2489016,0;;;;41615,0;;;;2581338,0;;1929744,0;;;692820,0;2746426,0;;;;;;;86347,0;5067669,0;0,05607474508973387;0,0422544528420461;0,0405402580723917;;;;0,09628556375131714;;;;0,01333334380163409;;-0,10169467066690563;;;-0,053571135845778106;0,20879138290956645;;;;;;;0,010875927790395368;0,1091051707417856
1995;5713285,0;786923,0;2392042,0;;;538770,0;41615,0;;;;2309618,0;;1747692,0;;;784325,0;2222108,0;;;;;;;68706,0;4955515,0;-0,05309732606565576;-0,10810850632658886;-0,03896077807454834;;;;0,0;;;;-0,10526323945178817;;-0,0943399746287591;;;0,13207615253601235;-0,1909092034520501;;;;;;;-0,20430356584478904;-0,022131279686972483
1996;5766680,0;834615,0;2262742,0;;;436404,0;44990,0;;;;2411513,0;;1711282,0;;;457523,0;2247076,0;;;;336718,0;;;78919,0;5573879,0;0,009345761676513575;0,06060567552352647;-0,054054234833669335;;;-0,18999944317612338;0,0811005647002283;;;;0,04411768526223825;;-0,0208331902875335;;;-0,41666656041819394;0,01123617753952555;;;;;;;0,1486478619043461;0,1247829943002896
1997;5553099,0;798846,0;2359717,0;;;404077,0;45271,0;;;;2105828,0;;1674872,0;;;601315,0;2272043,0;;;;346819,0;;;78919,0;5502417,0;-0,03703708199518618;-0,04285688610916416;0,04285729438000452;;;-0,07407585631662406;0,006245832407201668;;;;-0,12676066850976964;;-0,0212764465470916;;;0,3142836534993869;0,01111088365502555;;;;0,029998396284131035;;;0,0;-0,012820873937163024
