year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Latvia;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Spain_rendements;Sweden_rendements
1980;;28382,0;;;;;;;;;357674,0;;84453,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;31203,0;;;;;;;;;357674,0;;84453,0;;;;;;;;;;;;0,09939398210133188;;;;;;;;;0,0;;0,0;;;;;;;;;;
1982;12298,0;29710,0;;;;;;;;;274105,0;;81619,0;;;;;;;;;;;;-0,04784796333685859;;;;;;;;;-0,23364572208211942;;-0,03355712644903086;;;;;;;;;;
1983;15372,0;29710,0;;;;;;;;;250706,0;;90121,0;;;;;;;;;;;0,2499593429825988;0,0;;;;;;;;;-0,0853650973167217;;0,10416692191769084;;;;;;;;;;
1984;14880,0;31867,0;;;;;959638,0;;;;297504,0;;96355,0;;430333,0;;;;;;;;;-0,032006245120999255;0,07260181756984174;;;;;;;;;0,1866648584397661;;0,06917366651501866;;;;;;;;;;
1985;13650,0;32697,0;;;;;968777,0;;;;401129,0;;111092,0;;486277,0;;;;;;;;;-0,08266129032258063;0,02604575265949105;;;;;0,009523382775588285;;;;0,3483146445089813;;0,15294483939598358;;0,1300016498850889;;;;;;;;
1986;11314,0;39502,0;;;;;968777,0;;;;374387,0;;101456,0;;154920,0;;;;;;;;;-0,17113553113553115;0,20812306939474579;;;;;0,0;;;;-0,06666683286424069;;-0,08673891909408415;;-0,6814161475866636;;;;;;;;
1987;13404,0;42158,0;;;;;831686,0;;;;350988,0;;101456,0;;275413,0;;;;;;;;;0,18472688704260198;0,06723710191889021;;;;;-0,14150934632015422;;;;-0,062499499181328466;;0,0;;0,7777756261296154;;;;;;;;
1988;24103,0;48963,0;;;;;831686,0;;;;427871,0;;112792,0;;339963,0;;;;;;;;;0,7981945687854373;0,161416575738887;;;;;0,0;;;;0,2190473748390258;;0,11173316511591236;;0,23437528366489602;;;;;;;;
1989;19061,0;50954,0;427335,0;;;;987056,0;;;;484698,0;;112792,0;;197953,0;;;;;;;;570823,0;-0,2091855785586857;0,04066335804587129;;;;;0,1868132925166468;;;;0,13281339469139053;;0,0;;-0,4177219285628142;;;;;;;;
1990;40336,0;50124,0;29913,0;;;;913941,0;;;;514783,0;;130930,0;;150617,0;;;;;;;28126,0;445242,0;1,11615340223493;-0,01628920202535622;-0,9300010530380147;;;;-0,07407381141495517;;;;0,06206957734506857;;0,16080927725370597;;-0,23912746965188703;;;;;;;;-0,21999989488860816
1991;16971,0;42822,0;166661,0;;;;813407,0;;;;371045,0;;133764,0;;60247,0;;;;;;;32064,0;745387,0;-0,5792592225307418;-0,14567871678237965;4,5715240865175675;;;;-0,11000053613964145;;;;-0,27922056478166524;;0,0216451538990301;;-0,5999986721286441;;;;;;;0,14001279954490498;0,6741165478548745
1992;12666,0;42324,0;149567,0;;;;785989,0;;;;324246,0;;141132,0;;197953,0;;;;;;;31220,0;658163,0;-0,25366802191974547;-0,011629536219700198;-0,102567487294568;;;;-0,03370760271303297;;;;-0,1261275586519155;;0,055082084865883285;;2,2856905738045046;;;;;;;-0,026322355289421173;-0,11701840788744644
1993;16356,0;53278,0;123927,0;;;;840825,0;;;;427871,0;;153602,0;;469063,0;;;;;;;25033,0;713047,0;0,29133112269066785;0,2588129666383139;-0,17142818937332438;;;;0,06976687968915596;;;;0,3195875970713593;;0,08835699912138995;;1,3695675236040876;;;;;;;-0,1981742472773863;0,0833896770252962
1994;15372,0;48465,0;329048,0;;;;886522,0;;;;404472,0;;156436,0;;107583,0;;;;;;;36002,0;682172,0;-0,060161408657373405;-0,09033747513044788;1,6551760310505377;;;;0,05434781315969439;;;;-0,054687043524800694;;0,018450280595304847;;-0,770642749481413;;;;;;;0,43818160028762043;-0,043300091017843156
1995;16110,0;47801,0;243581,0;;;;840825,0;;;;361016,0;;177974,0;;133403,0;;;;;;;31502,0;584997,0;0,04800936768149877;-0,013700608686681104;-0,2597402202718144;;;;-0,051546380123674296;;;;-0,10743883383769459;;0,1376793065534787;;0,24000074361190893;;;;;;;-0,12499305594133658;-0,14244941158534796
1996;15249,0;41494,0;264948,0;;;;785989,0;;;;347645,0;;187043,0;;154920,0;;;;;28513,0;;33470,0;670756,0;-0,053445065176908724;-0,13194284638396692;0,08772030659205776;;;;-0,06521690006838521;;;;-0,037037139628160576;;0,05095688134221854;;0,16129322429030823;;;;;;;0,062472223985778674;0,14659733297777588
1997;16971,0;40332,0;166661,0;;;;749431,0;;;;317561,0;;192144,0;;159223,0;;;;;48187,0;;34877,0;721668,0;0,11292543773362196;-0,02800404877813656;-0,3709671331733019;;;;-0,04651210131439498;;;;-0,08653655309295405;;0,027271803809819195;;0,02777562612961537;;;;;0,6900010521516502;;0,04203764565282353;0,07590241458891156
1998;21521,0;38340,0;299135,0;;;;731152,0;;17907,0;339162,0;310875,0;;166638,0;30303,0;12910,0;;;;;46191,0;;32908,0;587331,0;0,268104413411113;-0,04939006248140432;0,794871025614871;;;;-0,02439050426256717;;;;-0,021054222653285493;;-0,13274419185610797;;-0,9189187491756844;;;;;-0,04142196027974354;;-0,05645554376809936;-0,186147923976122
1999;23365,0;39668,0;175207,0;140845,0;;;868243,0;;37426,0;278113,0;320903,0;9588,0;181941,0;44546,0;129100,0;;;;;89531,0;;31783,0;664758,0;0,0856837507550765;0,03463745435576415;-0,414287863339295;;;;0,1875;;1,090020662310828;-0,1799995282490373;0,03225733815842391;;0,091833795412811;0,47001947001947;9,0;;;;;0,9382780195276137;;-0,03418621611766137;0,1318285600453577
2000;23488,0;38838,0;252128,0;90141,0;47939,0;;904801,0;223256,0;33128,0;247589,0;424528,0;15053,0;183642,0;42424,0;309840,0;;;;;73278,0;;42752,0;633440,0;0,0052642841857479805;-0,02092366643138044;0,43902926252946517;-0,35999857999928997;;;0,042105723858412825;;-0,11483995083631704;-0,10975394893442592;0,32291689389005396;0,5699833124739258;0,009349184625785378;-0,04763615139406452;1,4;;;;;-0,1815348873574516;;0,3451216058899411;-0,04711188131620836
2001;27301,0;37178,0;222214,0;42254,0;27325,0;;904801,0;357209,0;28293,0;281505,0;447928,0;15916,0;187043,0;40606,0;185043,0;;;;;84969,0;;36002,0;639438,0;0,1623382152588555;-0,04274164478088471;-0,11864608452849346;-0,5312454931718087;-0,43000479776382483;;0,0;0,5999973125022395;-0,14594904612412463;0,13698508415155763;0,05512003919647235;0,057330764631635;0,018519728602389485;-0,04285310201772585;-0,40277885360185905;;;;;0,1595431098010316;;-0,15788735029940115;0,009468931548370696
2002;38122,0;38340,0;256401,0;64789,0;29722,0;;913941,0;267907,0;25070,0;325596,0;427871,0;14573,0;192711,0;47273,0;107583,0;;;;;90386,0;;31783,0;601678,0;0,3963591077249917;0,031255043305180585;0,15384719234611688;0,5333222890140579;0,08772186642268975;;0,010101668764733951;-0,24999930012961602;-0,11391510267557348;0,15662599243352693;-0,044777285635191344;-0,08438049761246547;0,030303192314066862;0,16418755848889321;-0,4186054052301357;;;;;0,06375266273582136;;-0,11718793400366645;-0,059051854910092905
2003;40828,0;35519,0;269221,0;42254,0;28284,0;;913941,0;377302,0;35098,0;257764,0;421186,0;16107,0;203480,0;45152,0;73157,0;;;;;84969,0;;51471,0;739833,0;0,0709826346991238;-0,07357850808555033;0,049999804992960195;-0,34782138943339147;-0,04838167014332817;;0,0;0,4083319958045142;0,3999999999999999;-0,2083317976879323;-0,01562386794150572;0,10526315789473695;0,05588160509778883;-0,04486704884394899;-0,3199947947166374;;;;;-0,059931847852543574;;0,6194506497184029;0,2296161734349602
2004;41320,0;40000,0;273494,0;46479,0;37872,0;;822546,0;279070,0;23816,0;281505,0;361016,0;16203,0;192711,0;48485,0;344267,0;;;;2,0;108064,0;;40221,0;631974,0;0,012050553541687048;0,12615783102001754;0,015871718773795562;0,09999053344062103;0,3389902418328383;;-0,10000098474628016;-0,2603537749601116;-0,3214428172545444;0,09210362967675856;-0,1428584995702611;0,005960141553361886;-0,052924120306664046;0,07381732813607367;3,705865467419386;;;;;0,27180501123939327;;-0,21856968001398847;-0,14578830627993078
2005;44271,0;38008,0;260674,0;66197,0;19176,0;169027,0;831686,0;299163,0;24891,0;322204,0;381073,0;19080,0;182508,0;34546,0;197953,0;;15357,0;;2,0;93523,0;;42190,0;598458,0;0,07141819941916738;-0,049799999999999955;-0,046874885737895555;0,42423460057230145;-0,49366286438529783;;0,011111840553598151;0,0719998566667861;0,04513772253946935;0,14457647288680486;0,05555709442240797;0,17755971116459923;-0,052944564658997106;-0,2874909765906981;-0,42500152497915866;;;;0,0;-0,13455915013325437;;0,04895452624251018;-0,05303382734099815
2006;54232,0;36349,0;286315,0;109859,0;29722,0;165646,0;904801,0;288000,0;25607,0;291680,0;407815,0;21381,0;174006,0;41515,0;314143,0;;28410,0;;2,0;80977,0;;45565,0;601968,0;0,2250005647037565;-0,04364870553567668;0,09836424039221403;0,6595767179781562;0,5499582811848143;-0,020002721458701855;0,08791178401464017;-0,037314106356735266;0,028765417219075218;-0,0947350126007126;0,07017553067260085;0,12059748427672945;-0,04658425932013943;0,20173102529960052;0,5869575101160376;;0,8499706974018364;;0,0;-0,1341488190070892;;0,07999525954017539;0,005865073238222163
