year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Denmark;Estonia;France;Greece;Hungary;Italy;Netherlands;Norway;Poland;Republic of Ireland;Slovakia;Slovenia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Republic of Ireland_rendements;Slovakia_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements
1980;;;;;;;;;134125,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;127273,0;;;;;;;147104,0;;;;;;;;;;;;;;;;;;;0,09676794035414726;;;;;;;;;;
1982;377133,0;120909,0;;;;;;;102396,0;;;;;;;;;;;;-0,05000274999410714;;;;;;;-0,3039210354579074;;;;;;;;;;
1983;260222,0;86545,0;;;;;;;92301,0;;;;;;;;;;;-0,30999939013557554;-0,28421374752913353;;;;;;;-0,09858783546232275;;;;;;;;;;
1984;109369,0;85273,0;;;;;;;89416,0;;;;;;;;;;;-0,5797088639699948;-0,014697556184643856;;;;;;;-0,031256432758041575;;;;;;;;;;
1985;60341,0;61091,0;;;;;;;64899,0;;;;;;;;;;;-0,44828059139244214;-0,2835833147655178;;;;;;;-0,2741903015120336;;;;;;;;;;
1986;33942,0;81455,0;;;;;;;53361,0;;;;;;;;;;;-0,43749689266004876;0,3333387896744202;;;;;;;-0,17778394120094299;;;;;;;;;;
1987;18857,0;75091,0;;;;;;;38939,0;;;;;;;;;;;-0,44443462376996057;-0,07812902829783319;;;;;;;-0,2702722962463222;;;;;;;;;;
1988;120683,0;57273,0;;;;;;;43266,0;;;;;;;;;;;5,3999045447314;-0,23728542701522148;;;;;;;0,11112252497496078;;;;;;;;;;
1989;11314,0;70000,0;587510,0;;;;;;44708,0;;;;;;;;;;13587,0;-0,9062502589428503;0,22221640214411686;;;;;;;0,033328710765959446;;;;;;;;;;
1990;30171,0;64909,0;546385,0;;;91,0;;;41824,0;;;;;;;;;17288,0;5843,0;1,6666961286901185;-0,07272857142857148;-0,06999880853091867;;;;;;-0,0645074706987564;;;;;;;;;;-0,5699565761389563
1991;22628,0;58545,0;546385,0;;;68,0;;;40382,0;;;;;;;;;21265,0;10813,0;-0,25000828610254877;-0,09804495524503531;0,0;;;-0,25274725274725274;;;-0,03447781178270848;;;;;;;;;0,23004396112910697;0,8505904501112442
1992;15085,0;57273,0;546385,0;;;65,0;;;34613,0;;;;;;;;;21092,0;19033,0;-0,33334806434505926;-0,021726876761465563;0,0;;;-0,044117647058823484;;;-0,14286068050121337;;;;;;;;;-0,008135433811427228;0,7601960602977897
1993;26399,0;48364,0;511134,0;;;79,0;;;36055,0;;;;;;;;;21092,0;19424,0;0,7500165727543917;-0,15555322752431333;-0,06451677846207349;;;0,21538461538461529;;;0,041660647733510636;;;;;;;;;0,0;0,020543266957389728
1994;45256,0;58545,0;475883,0;;;81,0;;;30286,0;;;;;;;;;16770,0;29529,0;0,7143073601272776;0,21050781573070876;-0,06896625933708189;;;0,025316455696202445;;;-0,1600055470808487;;;;;;;;;-0,20491181490612553;0,5202327018121911
1995;41485,0;63636,0;546385,0;;;57,0;;;33171,0;;;;;;;;;17288,0;38184,0;-0,08332596782747037;0,0869587496797335;0,14814986036483768;;;-0,2962962962962963;;;0,09525853529683692;;;;;;;;;0,030888491353607606;0,2931016966372042
1996;41485,0;61091,0;475883,0;;;40,0;;;25960,0;;;;;;;;;15041,0;43267,0;0,0;-0,03999308567477533;-0,12903355692414686;;;-0,29824561403508776;;;-0,21738868288565316;;;;;;;;;-0,1299745488199907;0,1331185836999791
1997;56570,0;80182,0;511134,0;;;70,0;;;25960,0;;;;;;;;;15214,0;41804,0;0,3636254067735325;0,3125010230639538;0,07407493018241884;;;0,75;;;0,0;;;;;;;;;0,011501894820822978;-0,033813298818961335
1998;3771,0;71273,0;440633,0;;;44,0;;24657226,0;20191,0;32867,0;;;;;;;;16251,0;39682,0;-0,9333392257380237;-0,11110972537477237;-0,13793056224003886;;;-0,37142857142857144;;;-0,22222650231124808;;;;;;;;;0,06816090443013012;-0,05076069275667405
1999;3771,0;87818,0;452383,0;196333,0;;27,0;;27616093,0;27402,0;22678,0;;;;;;;;15214,0;55684,0;0,0;0,2321355913178904;0,026666182514700543;;;-0,38636363636363635;;0,11999999513327242;0,35713931949878663;-0,3100069979006298;;;;;;;;-0,06381145775644581;0,40325588428002623
2000;11314,0;76364,0;475883,0;227747,0;592154,0;27,0;2356161,0;30328388,0;23075,0;20049,0;;;;;;;;8471,0;52096,0;2,00026518164943;-0,13042884146758071;0,05194713329192302;0,16000366723882387;;0,0;;0,09821429121056324;-0,15790818188453393;-0,11592733045242087;;;;;;;;-0,44321020113053766;-0,0644350262193808
2001;11314,0;87818,0;428882,0;206150,0;544782,0;21,0;2992325,0;29095526,0;25960,0;10517,0;;;;;;;;6742,0;46139,0;0,0;0,14999214289455765;-0,09876587312427632;-0,0948289110284658;-0,07999945960003652;-0,2222222222222222;0,27000022494218356;-0,04065042955794418;0,12502708559046583;-0,47543518379969074;;;;;;;;-0,20410813363239289;-0,11434659090909094
2002;11314,0;94182,0;411257,0;204187,0;621762,0;10,0;2733147,0;23670937,0;23075,0;16105,0;;;;;;;;5878,0;56039,0;0,0;0,07246805894008057;-0,041095219664150084;-0,009522192578219735;0,1413042281132637;-0,5238095238095238;-0,08661425480186813;-0,18644065757738837;-0,11113251155624038;0,5313302272511173;;;;;;;;-0,1281518837140314;0,21456901970133724
2003;7543,0;92909,0;411257,0;200260,0;692820,0;15,0;2898079,0;22931220,0;21633,0;18734,0;;;;;;;;7780,0;52302,0;-0,3333038713098816;-0,013516383173005408;0,0;-0,019232370327200043;0,11428488714331198;0,5;0,060345089378653904;-0,03125000924129029;-0,062491874322860186;0,16324122943185349;;;;;;;;0,3235794487921062;-0,06668570102964011
2004;15085,0;75091,0;411257,0;147250,0;592154,0;11,0;3063010,0;24164081,0;21633,0;9531,0;;;;1071374,0;;;;5014,0;60250,0;0,9998674267532812;-0,19177905262138217;0,0;-0,2647058823529411;-0,14529892324124594;-0,2666666666666667;0,05691045689230689;0,053763428199633534;0,0;-0,49124586313654317;;;;;;;;-0,35552699228791773;0,1519635960383925
2005;15085,0;72545,0;470008,0;219893,0;562546,0;14,0;3204380,0;22931220,0;21633,0;15119,0;1521451,0;20204,0;;1435641,0;;;;4322,0;58516,0;0,0;-0,033905527959409265;0,1428571428571428;0,4933310696095077;-0,0500005066249658;0,2727272727272727;0,04615394660807515;-0,05102039676162318;0,0;0,5862973455041445;;;;0,33999985065906024;;;;-0,1380135620263263;-0,028780082987551858
2006;15085,0;67455,0;452383,0;215967,0;444115,0;5,0;3157256,0;21944931,0;20191,0;12489,0;1308448,0;8890,0;;1210653,0;;;12186,0;6051,0;58941,0;0,0;-0,07016334688813841;-0,037499361712992174;-0,017854138149008825;-0,21052678358747556;-0,6428571428571428;-0,014706120996885508;-0,04301075128144072;-0,06665742153191878;-0,17395330378993323;-0,1399999079825771;-0,559988121164126;;-0,15671605923765064;;;;0,400046274872744;0,007262970811402036
2007;15085,0;86545,0;440633,0;235600,0;598075,0;3,0;2898079,0;24410654,0;20191,0;16762,0;1217161,0;23032,0;;1274935,0;968644,0;2703643,0;12186,0;5532,0;61967,0;0,0;0,2830034838040174;-0,02597356664596151;0,09090740715016654;0,3466669668892066;-0,4;-0,08208932059991336;0,1123595695060513;0,0;0,34214108415405553;-0,0697673885397051;1,5907761529808773;;0,053096965026312226;;;0,0;-0,08577094695091725;0,05133947506828873
