year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;France;Germany East;Hungary;Luxembourg;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Hungary_rendements;Luxembourg_rendements;Sweden_rendements
1980;;;;;;;;;;527,0;;;;;;;;;;;;;;;;
1981;;;;;;;;;;358,0;;;;;;;;;;;;;-0,3206831119544592;;;
1982;664,0;;;;;;;;;609,0;;;;;;;;;;;;;0,7011173184357542;;;
1983;684,0;481,0;;;;;;;;921,0;;;;0,030120481927710774;;;;;;;;;0,5123152709359606;;;
1984;1128,0;371,0;;;;;;;;824,0;;;;0,6491228070175439;-0,2286902286902287;;;;;;;;-0,10532030401737247;;;
1985;896,0;631,0;;;;;;;;1795,0;;;;-0,2056737588652482;0,7008086253369272;;;;;;;;1,1783980582524274;;;
1986;909,0;554,0;;;;;;;;348,0;;;;0,014508928571428603;-0,12202852614896986;;;;;;;;-0,8061281337047354;;;
1987;1102,0;611,0;;;;;;;;1719,0;;;;0,2123212321232124;0,10288808664259919;;;;;;;;3,9396551724137927;;;
1988;909,0;920,0;;;;;;;;1156,0;;;;-0,17513611615245006;0,5057283142389526;;;;;;;;-0,3275159976730657;;;
1989;1281,0;727,0;;;;;;;;1980,0;;;16381,0;0,4092409240924093;-0,20978260869565213;;;;;;;;0,71280276816609;;;
1990;2840,0;621,0;;;;;2998,0;;;3033,0;;;14252,0;1,2170179547228726;-0,1458046767537826;;;;;;;;0,5318181818181817;;;-0,1299676454428912
1991;1632,0;973,0;;;;;2848,0;;;1407,0;;;22538,0;-0,4253521126760563;0,56682769726248;;;;;-0,050033355570380245;;;-0,5361028684470821;;;0,5813920853213583
1992;2197,0;698,0;;;;;2878,0;;;2307,0;;;18299,0;0,34620098039215685;-0,2826310380267215;;;;;0,010533707865168607;;;0,6396588486140724;;;-0,18808234980921112
1993;2024,0;924,0;;;;;2728,0;;;1489,0;;;22248,0;-0,07874374146563501;0,3237822349570201;;;;;-0,052119527449617786;;;-0,3545730385782402;;;0,21580414230285805
1994;1978,0;871,0;;;;;3057,0;;;2972,0;;;22331,0;-0,022727272727272707;-0,05735930735930739;;;;;0,12060117302052786;;;0,9959704499664204;;;0,0037306724199928087
1995;1951,0;1286,0;;;;;2878,0;;;3238,0;;;18224,0;-0,013650151668351818;0,47646383467278985;;;;;-0,0585541380438338;;;0,08950201884253017;;;-0,1839147373606198
1996;1759,0;1502,0;;;;;2848,0;;;2343,0;;;19232,0;-0,09841107124551507;0,16796267496111983;;;;;-0,010423905489923557;;;-0,27640518838789374;;;0,05531167690956984
1997;2435,0;1204,0;;;;;2698,0;;;2471,0;;;20001,0;0,3843092666287664;-0,1984021304926764;;;;;-0,0526685393258427;;;0,05463081519419544;;;0,03998544093178036
1998;1433,0;1189,0;;;;;2728,0;;1489,0;2026,0;538,0;;14536,0;-0,41149897330595486;-0,012458471760797396;;;;;0,01111934766493694;;;-0,1800890327802509;;;-0,2732363381830909
1999;2840,0;1194,0;;17039,0;;;2728,0;;1370,0;1678,0;905,0;;16212,0;0,9818562456385207;0,00420521446593769;;;;;0,0;;-0,07991940899932837;-0,1717670286278381;0,6821561338289963;;0,11529994496422669
2000;2276,0;1656,0;;18913,0;973,0;;3087,0;16107,0;1697,0;2246,0;727,0;;16141,0;-0,1985915492957746;0,3869346733668342;;0,10998298022184394;;;0,1315982404692082;;0,23868613138686134;0,3384982121573301;-0,19668508287292819;;-0,004379471996052264
2001;3637,0;1069,0;5003,0;24706,0;1021,0;;3117,0;14657,0;2382,0;2205,0;818,0;;18656,0;0,5979789103690685;-0,35446859903381644;;0,3062972558557606;0,04933196300102782;;0,009718172983479212;-0,09002297137890358;0,4036535061873896;-0,01825467497773825;0,1251719394773041;;0,15581438572579143
2002;2714,0;1420,0;3752,0;20276,0;1206,0;;3027,0;11597,0;2069,0;2726,0;958,0;;18396,0;-0,25378058839703055;0,3283442469597755;-0,25004997001798923;-0,17930866995871453;0,18119490695396667;;-0,02887391722810395;-0,20877396465852494;-0,1314021830394626;0,23628117913832192;0,17114914425427874;;-0,013936535162950237
2003;2973,0;1281,0;3602,0;22832,0;768,0;;2698,0;14013,0;1489,0;2061,0;517,0;;13394,0;0,0954310980103168;-0,09788732394366195;-0,03997867803837951;0,12606036693627942;-0,36318407960199006;;-0,10868847043277174;0,20832974045011632;-0,28032866118898014;-0,24394717534849597;-0,4603340292275574;;-0,2719069362904979
2004;2761,0;1444,0;3052,0;19083,0;496,0;;2578,0;10470,0;2635,0;2675,0;415,0;;14465,0;-0,07130844265052139;0,12724434035909438;-0,15269294836202107;-0,1641993693062369;-0,35416666666666663;;-0,044477390659747984;-0,25283665168058234;0,7696440564137004;0,2979136341581756;-0,19729206963249513;;0,07996117664625957
2005;4745,0;1213,0;3852,0;13290,0;963,0;29500,0;2428,0;10470,0;3126,0;2348,0;463,0;;14343,0;0,7185802245563202;-0,15997229916897504;0,2621231979030145;-0,3035686212859613;0,9415322580645162;;-0,05818463925523665;0,0;0,18633776091081589;-0,12224299065420563;0,11566265060240966;;-0,008434151399930867
2006;8614,0;1892,0;2952,0;14483,0;1235,0;33335,0;2428,0;13691,0;2620,0;2317,0;673,0;;16317,0;0,8153846153846154;0,5597691673536687;-0,23364485981308414;0,08976674191121137;0,2824506749740394;0,1299999999999999;0,0;0,3076408787010507;-0,16186820217530395;-0,013202725724020481;0,4535637149028078;;0,13762811127379204
2007;6696,0;1016,0;3002,0;13801,0;515,0;10915,0;2308,0;11597,0;3498,0;2394,0;474,0;;15196,0;-0,22266078476898077;-0,4630021141649049;0,01693766937669383;-0,0470896913622868;-0,582995951417004;-0,6725663716814159;-0,0494233937397035;-0,15294719158571324;0,335114503816794;0,0332326283987916;-0,2956909361069836;;-0,06870135441564018
2008;5276,0;1300,0;4402,0;16187,0;1507,0;43660,0;2158,0;14818,0;3900,0;2967,0;517,0;;12575,0;-0,21206690561529273;0,27952755905511806;0,4663557628247834;0,1728860227519744;1,92621359223301;3,0;-0,06499133448873484;0,27774424420108645;0,11492281303602048;0,2393483709273183;0,09071729957805896;;-0,17247959989470918
2009;7466,0;1579,0;4252,0;20957,0;895,0;22715,0;2278,0;15785,0;3290,0;2829,0;678,0;;17321,0;0,41508718726307814;0,21461538461538465;-0,03407542026351662;0,29468091678507435;-0,4061048440610484;-0,4797297297297297;0,05560704355885071;0,06525846942907276;-0,1564102564102564;-0,046511627906976716;0,31141199226305605;;0,37741550695825055
2010;5880,0;1074,0;3552,0;25899,0;1381,0;57525,0;2398,0;16268,0;3498,0;2312,0;684,0;;16586,0;-0,2124296812215376;-0,3198226725775808;-0,1646284101599247;0,23581619506608775;0,5430167597765363;1,5324675324675323;0,052677787532923626;0,030598669623059793;0,06322188449848021;-0,18275008837044893;0,008849557522123908;;-0,04243403960510361
2011;8939,0;1897,0;3352,0;23002,0;817,0;27730,0;2248,0;15946,0;4124,0;3136,0;705,0;10443,0;15439,0;0,5202380952380952;0,7662942271880819;-0,056306306306306286;-0,11185760067956296;-0,40839971035481537;-0,5179487179487179;-0,06255212677231026;-0,019793459552495674;0,1789594053744996;0,3564013840830449;0,030701754385964897;;-0,0691547087905462
2012;9297,0;1748,0;3952,0;14142,0;875,0;17405,0;2158,0;13691,0;4377,0;3376,0;673,0;7937,0;14129,0;0,040049222508110605;-0,07854507116499732;0,17899761336515518;-0,38518389705243017;0,07099143206854341;-0,37234042553191493;-0,04003558718861211;-0,14141477486516996;0,06134820562560628;0,07653061224489788;-0,04539007092198577;-0,23996935746433012;-0,08485005505537924
2013;7499,0;1724,0;2351,0;18742,0;778,0;31860,0;2218,0;15141,0;3870,0;2041,0;743,0;8459,0;17682,0;-0,19339571904915565;-0,013729977116704761;-0,4051113360323887;0,32527223872153876;-0,11085714285714288;0,8305084745762712;0,027803521779425466;0,10590899130815856;-0,11583276216586702;-0,39543838862559244;0,1040118870728084;0,0657679223888119;0,25146861065892834
2014;6125,0;2008,0;2501,0;11757,0;710,0;47200,0;2158,0;13691,0;4868,0;2281,0;533,0;8772,0;15494,0;-0,1832244299239899;0,16473317865429227;0,06380263717566992;-0,3726923487354604;-0,08740359897172234;0,4814814814814814;-0,02705139765554554;-0,09576646192457561;0,2578811369509044;0,11758941695247427;-0,2826379542395693;0,037002009693817284;-0,12374165818346339
