year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Spain_rendements;Sweden_rendements
1980;;4650,0;;;;;;;;;87295,0;;52282,0;;;;;;;;;;;;;;;;;
1981;;5475,0;;;;;;;;;84177,0;;56349,0;;;;0,17741935483870974;;;;;;;;;-0,03571796781029846;;0,07778967904823841;;
1982;11503,0;6225,0;;;;;;;;;66857,0;;52573,0;;;;0,13698630136986312;;;;;;;;;-0,2057569169725697;;-0,06701094961756193;;
1983;16449,0;8325,0;;;;;;;;;13164,0;;57510,0;;;0,42997478918543;0,3373493975903614;;;;;;;;;-0,8031021433806482;;0,09390751906872352;;
1984;16104,0;5400,0;;;;;5852,0;;;;75171,0;;56349,0;;;-0,020973919387196838;-0,3513513513513513;;;;;;;;;4,710346399270739;;-0,020187793427230094;;
1985;22776,0;7350,0;;;;;4424,0;;;;68589,0;;64772,0;;;0,41430700447093893;0,36111111111111116;;;;;-0,2440191387559809;;;;-0,08756036237378773;;0,14947913893769194;;
1986;17945,0;6300,0;;;;;4424,0;;;;65818,0;;64481,0;;;-0,21210923779416935;-0,1428571428571429;;;;;0,0;;;;-0,04040006415022812;;-0,004492682023096384;;
1987;20130,0;5250,0;;;;;5352,0;;;;41223,0;;54896,0;;;0,1217609361939258;-0,16666666666666663;;;;;0,20976491862567803;;;;-0,37368197149715887;;-0,1486484390750764;;
1988;18405,0;4575,0;;;;;5138,0;;;;38105,0;;52863,0;;;-0,08569299552906107;-0,12857142857142856;;;;;-0,03998505231689087;;;;-0,07563738689566502;;-0,03703366365491112;;
1989;6902,0;5475,0;384375,0;;;;5780,0;;;;84177,0;;66805,0;;78692,0;-0,6249932083672916;0,19672131147540983;;;;;0,12495134293499421;;;;1,2090801732056162;;0,26373834250799244;;
1990;20360,0;7425,0;80719,0;;;;7136,0;;;;80713,0;;67386,0;11650,0;68462,0;1,9498696030136191;0,3561643835616439;-0,7899993495934959;;;;0,23460207612456752;;;;-0,04115138339451396;;0,008696953820821696;;-0,13000050831088295
1991;13228,0;6900,0;149906,0;;;;10633,0;;;;140296,0;;97593,0;19806,0;109052,0;-0,35029469548133596;-0,07070707070707072;0,8571340081021817;;;;0,4900504484304933;;;;0,7382082192459702;;0,4482681862701452;0,7000858369098713;0,5928836434810552
1992;3451,0;6450,0;207562,0;;;;8777,0;;;;75864,0;;77261,0;12227,0;69791,0;-0,7391140006047777;-0,06521739130434778;0,38461435833122093;;;;-0,17455092636132796;;;;-0,4592575697097565;;-0,208334614162901;-0,38266181965061097;-0,360020907456993
1993;1725,0;7425,0;119156,0;;;;8492,0;;;;50229,0;;93527,0;24611,0;61438,0;-0,5001448855404231;0,15116279069767447;-0,4259257474874977;;;;-0,032471231628118935;;;;-0,3379073078139829;;0,21053312796883294;1,0128404351026417;-0,11968591938788664
1994;10353,0;8925,0;176812,0;;;;10847,0;;;;79328,0;;92656,0;15831,0;59944,0;5,001739130434783;0,202020202020202;0,48386988485682636;;;;0,2773198304286386;;;;0,5793266837882498;;-0,009312818758219543;-0,35675104628011867;-0,024317197825450054
1995;10813,0;8100,0;92250,0;;;;9919,0;;;;28059,0;;79876,0;10578,0;69791,0;0,044431565729740274;-0,09243697478991597;-0,4782593941587675;;;;-0,08555360929289202;;;;-0,6462913473174667;;-0,137929545847004;-0,3318173204472238;0,16426998531963166
1996;12538,0;8175,0;69188,0;;;;10776,0;;;;64432,0;;79585,0;19659,0;69308,0;0,15953019513548505;0,0092592592592593;-0,24999457994579943;;;;0,08639983869341661;;;;1,2963042161160412;;-0,0036431468776603193;0,8584798638684061;-0,006920663122752191
1997;4371,0;6225,0;99938,0;;;;11061,0;;;;84177,0;;86266,0;20834,0;70477,0;-0,6513798053916096;-0,23853211009174313;0,44444123258368506;;;;0,02644766146993316;;;;0,30644710702756384;;0,08394798014701266;0,059769062515895977;0,01686673977030062
1998;5982,0;8925,0;57656,0;;;;10776,0;;71489,0;56335,0;51961,0;;88299,0;14407,0;63113,0;0,3685655456417296;0,4337349397590362;-0,42308231103284033;;;;-0,02576620558719822;;;;-0,38271736935267353;;0,02356664270975828;-0,3084861284438898;-0,10448798898931566
1999;17369,0;7575,0;65344,0;4861,0;;;10704,0;;51472,0;67038,0;72746,0;5248,0;83361,0;18280,0;84339,0;1,9035439652290203;-0,1512605042016807;0,13334258359927853;;;;-0,006681514476614692;;-0,28000111905328096;0,189988461879826;0,4000115471218799;;-0,05592362314408994;0,26882765322412716;0,3363173989510877
2000;11618,0;6525,0;49969,0;10888,0;4352,0;;9134,0;38734,0;65055,0;29294,0;71014,0;5773,0;84813,0;7391,0;75481,0;-0,33110714491335136;-0,13861386138613863;-0,2352932174338883;1,2398683398477681;;;-0,14667414050822125;;0,2638910475598384;-0,5630239565619499;-0,023808869216176864;0,10003810975609762;0,017418217151905502;-0,5956783369803064;-0,10502851587047513
2001;13803,0;5550,0;69188,0;6465,0;4134,0;;8635,0;48030,0;59336,0;58588,0;102537,0;6036,0;86556,0;18727,0;73806,0;0,18807023584093652;-0,14942528735632188;0,3846184634473373;-0,40622703894195444;-0,05009191176470584;;-0,05463104882855263;0,2399958692621469;-0,08791022980554919;1,0;0,4438983862337005;0,045556902823488565;0,020551094761416255;1,5337572723582737;-0,022191014957406496
2002;8167,0;8025,0;57656,0;6173,0;5352,0;;8278,0;44156,0;59336,0;50138,0;74478,0;5563,0;83651,0;34172,0;78065,0;-0,4083170325291603;0,44594594594594605;-0,16667630224894492;-0,045166279969064194;0,2946298984034834;;-0,04134337000579036;-0,08065792213200085;0,0;-0,14422748685737696;-0,27364756136809154;-0,07836315440689201;-0,03356208697259577;0,8247450205585518;0,05770533560957114
