year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Luxembourg;Netherlands;Norway;Poland;Republic of Ireland;Romania;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Republic of Ireland_rendements;Romania_rendements;Spain_rendements;Sweden_rendements
1980;;6496,0;;;;;;;;37038,0;;25083,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;6934,0;;;;;;;;42811,0;;31435,0;;;;;;;;;;;;;0,06742610837438434;;;;;;;;0,15586694745936613;;0,2532392457042618;;;;;;;;;;;
1982;21771,0;6934,0;;;;;;;;46178,0;;30132,0;;;;;;;;;;;;;0,0;;;;;;;;0,07864801102520391;;-0,04145061237474157;;;;;;;;;;;
1983;14804,0;7518,0;;;;;;;;40405,0;;27852,0;;;;;;;;;;;;-0,3200128611455606;0,08422267089702906;;;;;;;;-0,12501624150028157;;-0,07566706491437669;;;;;;;;;;;
1984;17635,0;5839,0;;;;;4954,0;;;39924,0;;29155,0;;;17755,0;;;;;;;;;0,1912320994325858;-0,22333067305134346;;;;;;;;-0,011904467268902374;;0,04678299583512846;;;;;;;;;;;
1985;19376,0;7956,0;;;;;5064,0;;;35114,0;;23291,0;;;21483,0;;;;;;;;;0,09872412815423881;0,3625620825483815;;;;;0,02220427937020597;;;-0,1204789099288649;;-0,2011318813239582;;;0,20996902281047602;;;;;;;;
1986;17852,0;7518,0;;;;;4734,0;;;45216,0;;23128,0;;;22016,0;;;;;;;;;-0,07865400495458297;-0,05505279034690802;;;;;-0,06516587677725116;;;0,2876915190522298;;-0,006998411403546401;;;0,024810315132895777;;;;;;;;
1987;12410,0;6715,0;;;;;7376,0;;;33671,0;;26712,0;;;22904,0;;;;;;;;;-0,30483979386063187;-0,10681032189412076;;;;;0,5580904098014363;;;-0,2553299716914367;;0,15496368038740926;;;0,04033430232558133;;;;;;;;
1988;15457,0;7956,0;;;;;7816,0;;;35114,0;;26549,0;;;26810,0;;;;;;;;;0,24552780016116027;0,18481012658227858;;;;;0,05965292841648595;;;0,04285587003653002;;-0,00610212638514529;;;0,1705378973105134;;;;;;;;
1989;22424,0;9051,0;419355,0;;;;9578,0;;;40405,0;;33715,0;;;9410,0;;;;;;;;222947,0;0,45073429514136;0,13763197586726994;;;;;0,2254350051177072;;;0,15068064020048988;;0,2699160043692794;;;-0,649011562849683;;;;;;;;
1990;24384,0;10073,0;423548,0;;;;11009,0;;;47621,0;;29643,0;;;22904,0;;;;;;;15477,0;258619,0;0,08740635033892263;0,11291569992266037;0,009998688462042882;;;;0,1494048861975361;;;0,17859175844573683;;-0,12077710218003856;;;1,4340063761955366;;;;;;;;0,16000215297806197
1991;29609,0;10000,0;369032,0;;;;12880,0;;;43773,0;;30783,0;;;15802,0;;;;;;;18417,0;333488,0;0,21427985564304453;-0,007247096197756431;-0,12871268427663451;;;;0,1699518575710781;;;-0,08080468700783272;;0,03845764598724832;;;-0,31007684247293055;;;;;;;0,1899592944369064;0,2894953580363391
1992;24384,0;9927,0;318710,0;;;;13100,0;;;51950,0;;41044,0;;;11718,0;;;;;;;13774,0;310168,0;-0,17646661488061066;-0,007299999999999973;-0,13636215829521559;;;;0,017080745341614856;;;0,1868046512690471;;0,33333333333333326;;;-0,2584482976838375;;;;;;;-0,25210403431612094;-0,0699275536151226
