year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Netherlands;Norway;Poland;Republic of Ireland;Slovenia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Republic of Ireland_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements
1980;;4033,0;;;;;;;;;;134000,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;4131,0;;;;;;;;;;144000,0;;;;;;;;;;;0,02429952888668474;;;;;;;;;;0,07462686567164178;;;;;;;;;
1982;13975,0;5361,0;;;;;;;;;;137000,0;;;;;;;;;;;0,29774872912127814;;;;;;;;;;-0,04861111111111116;;;;;;;;;
1983;12717,0;2754,0;;;;;;;;;;120000,0;;;;;;;;;;-0,09001788908765651;-0,4862898712926693;;;;;;;;;;-0,12408759124087587;;;;;;;;;
1984;11040,0;3197,0;;;;14639,0;;;;;;124000,0;;;;;;;;;;-0,13187072422741208;0,16085693536673928;;;;;;;;;;0,03333333333333344;;;;;;;;;
1985;10342,0;2459,0;;;;11043,0;;;;;;110000,0;;;;;;;;;;-0,06322463768115938;-0,23084141382546142;;;;-0,245645194343876;;;;;;-0,11290322580645162;;;;;;;;;
1986;11879,0;2016,0;;;;8732,0;;;;;;98000,0;;;;;;;;;;0,148617288725585;-0,18015453436356244;;;;-0,20927284252467626;;;;;;-0,10909090909090913;;;;;;;;;
1987;13416,0;2852,0;;;;9502,0;;;;2776,0;;95000,0;;;;;;;;;;0,12938799562252723;0,41468253968253976;;;;0,08818140174072386;;;;;;-0,030612244897959218;;;;;;;;;
1988;12019,0;3639,0;;;;11814,0;;;;4608,0;;94000,0;;;;;;;;;;-0,10412939773404895;0,27594670406732114;;;;0,2433171963797096;;;;0,659942363112392;;-0,010526315789473717;;;;;;;;;
1989;16770,0;4869,0;247887,0;;;20032,0;;;;7300,0;;125000,0;;;;;;;;;131687,0;0,3952907895831601;0,3380049464138499;;;;0,6956153715930253;;;;0,5842013888888888;;0,32978723404255317;;;;;;;;;
