year;Czech Republic;Germany East;Germany West;Latvia;Lithuania;Portugal;Czech Republic_rendements;Germany East_rendements;Germany West_rendements;Latvia_rendements;Lithuania_rendements;Portugal_rendements
1980;;447634,0;;;;;;;;;;
1981;;480388,0;;;;;;0,07317138555158897;;;;
1982;;360291,0;;;;;;-0,25;;;;
1983;;665992,0;;;;;;0,8484835868783844;;;;
1984;;589567,0;;9421,0;666007,0;;;-0,11475363067424238;;;;
1985;;753335,0;;14132,0;1045631,0;;;0,277776741235517;;0,500053072922195;0,5700000150148572;
1986;;655074,0;;6972,0;925750,0;;;-0,1304346671799399;;-0,5066515709029153;-0,11464943177851461;
1987;;720582,0;;19973,0;1058951,0;;;0,10000091592705562;;1,864744693057946;0,14388441803942742;
1988;;840679,0;;44279,0;919090,0;;;0,16666666666666674;;1,216942872878386;-0,13207504407663806;
1989;;556813,0;;14697,0;992351,0;;;-0,3376627702131253;;-0,6680819350030489;0,07971036568779999;
1990;;556813,0;18427,0;13095,0;885790,0;;;0,0;;-0,1090018371096142;-0,1073823677307727;
1991;;480388,0;19164,0;9421,0;1345334,0;;;-0,13725433853017077;0,039995658544527135;-0,28056510118365785;0,5187956513394822;
1992;;513141,0;18427,0;17618,0;979030,0;;;0,06818030425406141;-0,038457524525151277;0,8700774864664049;-0,2722773675533362;
1993;;502224,0;16584,0;15074,0;719288,0;;;-0,02127485427981779;-0,10001628045802358;-0,144397775002838;-0,2653054553997324;
1994;;382127,0;13451,0;16299,0;759248,0;;;-0,23913034821115675;-0,18891702846116742;0,08126575560567861;0,05555493766057551;
1995;;447634,0;16768,0;21480,0;699308,0;;;0,1714273003477902;0,24659876589101182;0,3178722621019694;-0,07894653657303019;
1996;;393045,0;15294,0;15828,0;965710,0;69332,0;;-0,12195007528471924;-0,08790553435114501;-0,26312849162011176;0,3809508828727828;
1997;;349373,0;13636,0;11494,0;666007,0;149063,0;;-0,11111195919042349;-0,10840852621943242;-0,2738185494061157;-0,3103447204647358;1,1499884613165636
1998;;316619,0;11793,0;6595,0;512826,0;207995,0;;-0,09375080501355282;-0,1351569375183338;-0,4262223768922916;-0,22999908409371073;0,395349617275917
1999;;305701,0;12899,0;10929,0;506165,0;112317,0;;-0,034483085348636644;0,09378444840159417;0,6571645185746777;-0,012988811019722046;-0,46000144234236395
2000;;294783,0;13267,0;9986,0;519486,0;47839,0;;-0,035714636196806704;0,028529343359950277;-0,08628419800530696;0,026317505161360444;-0,5740716009152667
2001;;338455,0;13451,0;13001,0;932410,0;90824,0;;0,14814965584853934;0,01386899826637511;0,30192269176847586;0,7948703141181861;0,8985346683668136
2002;;283865,0;14373,0;15262,0;492845,0;79731,0;;-0,16129175222703163;0,06854508958441752;0,17390969925390354;-0,4714288778541629;-0,12213732053201798
2003;;327537,0;14741,0;13095,0;772568,0;53385,0;;0,15384777975446084;0,02560356223474569;-0,14198663346874596;0,567567896600351;-0,33043609135718854
2004;;349373,0;16584,0;5558,0;579426,0;101224,0;;0,06666727728470367;0,12502543925106835;-0,5755631920580374;-0,25;0,896113140395242
2005;26268,0;283865,0;17137,0;2732,0;719288,0;128264,0;;-0,18750161002710575;0,03334539315002405;-0,5084562792371357;0,2413802625356818;0,26713032482415233
2006;27581,0;360291,0;16768,0;1602,0;539466,0;47839,0;0,049984772346581385;0,26923361457030626;-0,021532356888603554;-0,4136163982430454;-0,25;-0,6270270691698372
2007;24955,0;393045,0;16952,0;16958,0;999011,0;59625,0;-0,09521047097639679;0,0909098478729693;0,0109732824427482;9,585518102372035;0,8518516458868586;0,24636802608750186
2008;18125,0;480388,0;16400,0;12624,0;1025651,0;84585,0;-0,2736926467641755;0,22222137414290977;-0,03256252949504479;-0,2555725911074419;0,026666373042939506;0,4186163522012578
2009;18913,0;425798,0;14741,0;9421,0;732608,0;68638,0;0,043475862068965476;-0,11363730984121168;-0,10115853658536589;-0,25372306717363746;-0,285714146429926;-0,188532245670036
2010;17074,0;414880,0;15478,0;9139,0;705968,0;65172,0;-0,09723470628668107;-0,02564126651604748;0,04999660809985751;-0,02993312811803417;-0,036363239276666404;-0,05049680934759171
2011;18913,0;272948,0;16952,0;19879,0;725948,0;47839,0;0,10770762562961234;-0,34210374084072503;0,09523194211138386;1,1751832804464382;0,028301566076649465;-0,2659577732768673
2012;11033,0;338455,0;17321,0;9798,0;1305374,0;58932,0;-0,4166446359646804;0,23999809487521429;0,021767343086361413;-0,5071180642889481;0,7981646068313433;0,231881937331466
2013;21540,0;240194,0;16215,0;13472,0;819189,0;54772,0;0,9523248436508656;-0,2903221994061249;-0,06385312626291784;0,37497448458869154;-0,37244881543526986;-0,07058983234914817
2014;27844,0;240194,0;17874,0;12624,0;1045631,0;44372,0;0,29266480965645303;0,0;0,10231267345050887;-0,06294536817102137;0,2764221687547075;-0,18987803987438834
2015;9456,0;294783,0;17505,0;13661,0;879129,0;47839,0;-0,660393621606091;0,2272704563810919;-0,020644511581067504;0,08214512040557675;-0,15923590635702267;0,07813485982150903
2016;18650,0;207440,0;17690,0;13190,0;532806,0;58932,0;0,9722927241962775;-0,2962959193711985;0,010568409025992542;-0,03447771027011204;-0,39393877349057993;0,231881937331466
