year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Denmark;Estonia;Greece;Hungary;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Denmark_rendements;Estonia_rendements;Greece_rendements;Hungary_rendements;Spain_rendements;Sweden_rendements
1980;;21714,0;;;;;697556,0;;;;;;;;;;;;;
1981;;21143,0;;;;;516000,0;;;;;-0,026296398636824203;;;;;-0,26027444391561394;;;
1982;141423,0;5714,0;;;;;382222,0;;;;;-0,7297450692900724;;;;;-0,2592596899224806;;;
1983;120209,0;16571,0;;;;;372667,0;;;;-0,1500038890420936;1,9000700035001752;;;;;-0,024998561045674994;;;
1984;185264,0;17143,0;;;73656,0;;449111,0;;;;0,541182440582652;0,034518134089674746;;;;;0,20512682904577018;;;
1985;96167,0;19429,0;;;67387,0;;506444,0;;;;-0,480919120822178;0,13334888875926043;;;-0,085111871402194;;0,12765886384435032;;;
1986;108896,0;21714,0;;;65036,0;;363111,0;;;;0,1323634926742021;0,11760769983015074;;;-0,03488803478415714;;-0,28301845811185444;;;
1987;72126,0;21714,0;;;44664,0;;401333,0;;;;-0,33766162209814865;0,0;;;-0,31324189679562087;;0,10526257810972406;;;
1988;76368,0;19429,0;;;44664,0;;258000,0;;;;0,05881374261708672;-0,10523164778483929;;;0,0;;-0,3571423232079096;;;
1989;80611,0;17143,0;3702669,0;;60335,0;;296222,0;;;166040,0;0,055559920385501727;-0,11765916928303055;;;0,35086423070034023;;0,14814728682170553;;;
1990;120209,0;23429,0;1518094,0;;78357,0;;296222,0;;33606,0;249060,0;0,49122328218233235;0,36668027766435274;-0,5900000783218808;;0,29869893096875777;;0,0;;;0,5
1991;56569,0;28571,0;2258628,0;;78357,0;;267556,0;;66876,0;298176,0;-0,5294112753620777;0,21947159503179825;0,487805102977813;;0,0;;-0,09677201558290738;;0,990001785395465;0,19720549265237297
1992;53741,0;24000,0;1592148,0;;68171,0;;191111,0;;30245,0;287277,0;-0,04999204511304778;-0,1599873998109972;-0,2950817930177081;;-0,12999476753831818;;-0,285715887515137;;-0,5477450804473951;-0,03655223760463622
1993;62226,0;32571,0;1332961,0;;74439,0;;200667,0;;25540,0;406809,0;0,1578869019928919;0,3571249999999999;-0,1627907707072458;;0,09194525531384312;;0,050002354652531666;;-0,15556290295916675;0,41608621643918586
1994;65054,0;30286,0;1518094,0;;55634,0;;181556,0;;36966,0;331295,0;0,04544724070324291;-0,07015443185655956;0,13888853462329354;;-0,2526229530219374;;-0,0952373833266058;;0,4473766640563821;-0,18562519511613562
1995;74954,0;36000,0;1332961,0;;41529,0;;191111,0;;45032,0;169103,0;0,15218126479540084;0,18866803143366573;-0,12195094638408421;;-0,25353201279792936;;0,052628390138579784;;0,2182005085754477;-0,48956971883064937
1996;62226,0;28571,0;1295934,0;;43096,0;;229333,0;;30917,0;174723,0;-0,16981081730127812;-0,2063611111111111;-0,027778007008457117;;0,0377326687375088;;0,19999895348776375;;-0,31344377331675255;0,03323418271704237
1997;22628,0;19429,0;999721,0;;38395,0;;191111,0;;29573,0;69905,0;-0,6363577925625944;-0,3199747996219944;-0,22857105377280018;;-0,1090820493781326;;-0,1666659399214243;;-0,043471229420707025;-0,5999095711497628
1998;43841,0;21143,0;1073774,0;;31343,0;;152889,0;75424,0;23860,0;108010,0;0,9374668552236167;0,08821864223583309;0,07407366655296821;;-0,1836697486651908;;-0,19999895348776364;;-0,19318297095323433;0,5450969172448323
