year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Denmark;Estonia;Finland;France;Germany East;Greece;Hungary;Italy;Lithuania;Netherlands;Norway;Slovakia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Lithuania_rendements;Netherlands_rendements;Norway_rendements;Slovakia_rendements;Spain_rendements;Sweden_rendements
1980;;253333,0;;;;;;;;97200,0;2693421,0;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;283333,0;;;;;;;;82141,0;2663158,0;;;;;;;;;;0,11842120844895843;;;;;;;;-0,15492798353909465;-0,011235896653363886;;;;;;;;
1982;391629,0;266667,0;;;;;;;;75296,0;2390789,0;;;;;;;;;;-0,05882124567205371;;;;;;;;-0,0833323188176428;-0,10227294062162295;;;;;;;;
1983;387712,0;236667,0;;;;;;;;90355,0;3086842,0;;;;;;;;;-0,01000181294030833;-0,11249985937517581;;;;;;;;0,19999734381640466;0,2911394522895998;;;;;;;;
1984;473871,0;280000,0;;;;131164,0;;;;123212,0;3086842,0;;;19005,0;;;;;;0,22222422829316613;0,18309692521559828;;;;;;;;0,3636434065630014;0,0;;;;;;;;
1985;481703,0;293333,0;;;;125398,0;;;;136902,0;3480263,0;;;21286,0;;;;;;0,01652770479729715;0,047617857142857156;;;;-0,043960232990759684;;;;0,11110930753498027;0,12745096768801245;;;0,1200210470928702;;;;;
1986;426875,0;303333,0;;;;135488,0;;;;164282,0;2875000,0;;;25467,0;;;;;;-0,11382117196695885;0,03409094783062261;;;;0,08046380325045055;;;;0,19999707820192536;-0,17391300599983395;;;0,19642018227943248;;;;;
1987;477787,0;326667,0;;;;136929,0;;;;146485,0;2996053,0;;;24706,0;;;;;;0,11926676427525629;0,07692535925863653;;;;0,010635628247520179;;;;-0,10833201446293572;0,04210539130434787;;;-0,02988180782974048;;;;;
1988;434708,0;276667,0;;;;122516,0;;;;132795,0;2965789,0;;;22616,0;;;;;;-0,09016360846988303;-0,1530610683050323;;;;-0,10525892981033969;;;;-0,09345666791821683;-0,010101289930451784;;;-0,08459483526268918;;;;;
1989;544364,0;310000,0;214172,0;;;138371,0;;;;183449,0;3026316,0;;;31928,0;;;;;361042,0;0,2522520864580362;0,1204805777342437;;;;0,12941166868000908;;;;0,3814450845287849;0,020408397225830877;;;0,41174389812522105;;;;;
1990;450373,0;270000,0;192755,0;;;144136,0;;;;191663,0;3692105,0;;;38390,0;;;;31944,0;407978,0;-0,172662042309925;-0,12903225806451613;-0,09999906617111476;;;0,041663354315572;;;;0,0447753871648251;0,21999982817392505;;;0,20239288398897526;;;;;0,13000149567086372
1991;466038,0;333333,0;274140,0;;;141253,0;;;;171128,0;3571053,0;;;36679,0;;;;45679,0;536441,0;0,034782280465303295;0,2345666666666666;0,4222199164742808;;;-0,020001942609757406;;;;-0,10714118009214091;-0,03278671652079235;;;-0,04456889815056009;;;;0,42997119959929875;0,31487727279412114
1992;599192,0;286667,0;274140,0;;;147019,0;;;;142378,0;3540789,0;;;38770,0;;;;30985,0;503301,0;0,2857148987850777;-0,13999813999814004;0,0;;;0,04082037195670174;;;;-0,1680028984152213;-0,008474811211147015;;;0,057008097276370684;;;;-0,3216795463998774;-0,06177753005456332
1993;575694,0;286667,0;250582,0;;;136929,0;;;;141009,0;3389474,0;;;35919,0;;;;44402,0;627617,0;-0,03921614440780252;0,0;-0,08593419420733928;;;-0,06863058516246201;;;;-0,009615249546980564;-0,042734825486635875;;;-0,07353623936033016;;;;0,43301597547200266;0,24700129743433852
