year;Austria;Belgium-Brussels;Belgium-Wallonia;Cyprus;Denmark;Finland;France;Germany West;Greece;Poland;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Cyprus_rendements;Denmark_rendements;Finland_rendements;France_rendements;Germany West_rendements;Greece_rendements;Poland_rendements;Spain_rendements;Sweden_rendements
1980;;12505,0;;;;;;;609070,0;;;;;;;;;;;;;;;
1981;;9284,0;;;;;;;583953,0;;;;;-0,2575769692123151;;;;;;;-0,04123828131413465;;;
1982;1934,0;15537,0;;;;;;;470930,0;;;;;0,6735243429556226;;;;;;;-0,19354811089248625;;;
1983;4932,0;16484,0;;;;;;;483488,0;;;;1,5501551189245086;0,0609512775954173;;;;;;;0,026666383538954896;;;
1984;7620,0;18189,0;;;160486,0;;;;540000,0;;;;0,5450121654501217;0,1034336326134433;;;;;;;0,11688397643788462;;;
1985;6286,0;10800,0;;;99952,0;;;;540000,0;;;;-0,17506561679790023;-0,40623453735774373;;;-0,3771917799683462;;;;0,0;;;
1986;6305,0;9853,0;;;87282,0;;;;496047,0;;;;0,003022589882277993;-0,0876851851851852;;;-0,12676084520569875;;;;-0,08139444444444444;;;
1987;3327,0;12505,0;;;80243,0;;;;470930,0;;;;-0,47232355273592386;0,26915660205013703;;;-0,08064663962787288;;;;-0,050634314893548416;;;
1988;6788,0;13074,0;;;101360,0;;;;477209,0;;;;1,0402765253982569;0,04550179928028797;;;0,26316314195630763;;;;0,013333191769477448;;;
1989;9303,0;18947,0;342980,0;;132331,0;;;;521163,0;;;74369,0;0,37050677666470233;0,44921217683952874;;;0,3055544593528019;;;;0,09210639363465489;;;
1990;8278,0;21789,0;411576,0;;140777,0;;;;577674,0;;127774,0;71394,0;-0,110179511985381;0,14999736105979844;0,19999999999999996;;0,06382480295622339;;;;0,10843248657329863;;;-0,04000322715109794
1991;4158,0;13453,0;394427,0;;121069,0;;;;496047,0;;80498,0;85213,0;-0,49770475960376903;-0,382578365230162;-0,04166666666666663;;-0,13999445932219046;;;;-0,1413028801711692;;-0,3699970259990295;0,19355968288651715
1992;4487,0;12884,0;404717,0;;118253,0;;;;577674,0;;99664,0;49671,0;0,07912457912457915;-0,04229539879580768;0,02608847771577505;;-0,023259463611659426;;;;0,16455497160551324;;0,2380928718725932;-0,4170959830072877
1993;1915,0;10042,0;665382,0;;128107,0;;;;533721,0;;80498,0;65631,0;-0,5732114998885669;-0,22058366966780507;0,6440673359409168;;0,08332980981455007;;;;-0,07608616624601416;;-0,1923061486594959;0,32131424775019624
1994;7949,0;12316,0;713399,0;;125292,0;;;;546279,0;;102219,0;65935,0;3,150913838120104;0,22644891455885285;0,07216456110925762;;-0,02197381876087956;;;;0,023529147251091898;;0,2698327908767919;0,004631957459127589
1995;4487,0;11179,0;336121,0;;133738,0;;;;634186,0;;140552,0;70625,0;-0,4355264813184049;-0,0923189347190646;-0,528845709063231;;0,06741052900424616;;;;0,16091960335286548;;0,37500856005243643;0,07113065898233106
1996;6595,0;9284,0;480172,0;;118253,0;;;;596512,0;;148218,0;60900,0;0,4698016492088255;-0,1695142678235978;0,42856887846936065;;-0,11578608921921962;;;;-0,059405284884876064;;0,05454209118333431;-0,1376991150442478
1997;5841,0;7579,0;305252,0;;77428,0;;;;571395,0;;53665,0;39488,0;-0,1143290371493556;-0,18364928909952605;-0,3642861308031289;;-0,3452343703753816;;;;-0,04210644546966369;;-0,6379319650784655;-0,3515927750410509
1998;6073,0;8337,0;456164,0;;91505,0;138701,0;147848,0;;552558,0;;139274,0;36172,0;0,0397192261599042;0,10001319435281708;0,4943849671746623;;0,18180761481634544;;;;-0,03296668679284909;;1,5952482996366348;-0,08397487844408424
1999;7233,0;9284,0;469883,0;;104175,0;205278,0;133063,0;1412,0;596512,0;;72831,0;54191,0;0,19100938580602667;0,11359002039102806;0,030074709972729208;;0,13846237910496684;0,48000374907174415;-0,10000135274065258;;0,07954640055885531;;-0,47706678920688717;0,49814773858232897
2000;8220,0;10989,0;490462,0;365596,0;126700,0;187246,0;116800,0;1807,0;615349,0;;122663,0;57051,0;0,13645790128577362;0,18364928909952605;0,0437960087936784;;0,21622270218382522;-0,08784185348649154;-0,1222203016616189;0,27974504249291776;0,03157857679309051;;0,6842141395834191;0,05277629126607741
2001;6247,0;9663,0;555628,0;266885,0;115437,0;196956,0;121235,0;1807,0;583953,0;;112441,0;70836,0;-0,24002433090024333;-0,1206661206661207;0,13286656254714946;-0,27000021882077485;-0,08889502762430934;0,05185691550153271;0,0379708904109588;0,0;-0,05102145286658466;;-0,08333401270146668;0,24162591365620245
2002;16246,0;10421,0;394427,0;361940,0;106991,0;220535,0;128628,0;1807,0;558837,0;;62609,0;71884,0;1,6006082919801505;0,07844354755252003;-0,2901239678345944;0,3561646402008356;-0,07316544955256976;0,11971709417331788;0,06098073988534658;0,0;-0,04301031076131123;;-0,4431835362545691;0,01479473713930779
2003;5319,0;9284,0;421866,0;230325,0;104175,0;188633,0;125671,0;2259,0;621628,0;;125219,0;97740,0;-0,6725963314046535;-0,10910661164955382;0,06956673858534024;-0,3636376194949439;-0,02631997083866866;-0,14465731063096565;-0,022988773828404363;0,25013835085777525;0,11236013363467334;;1,0000159721445798;0,3596906126537198
2004;11623,0;12126,0;432155,0;244949,0;105583,0;177537,0;128628,0;903,0;596512,0;2,0;81776,0;81437,0;1,1851851851851851;0,3061180525635503;0,024389261044976296;0,06349289048084228;0,013515718742500571;-0,058823217570626585;0,02352969261006921;-0,600265604249668;-0,04040358542407996;;-0,34693616783395487;-0,16679967260077755
