year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Denmark;Estonia;Germany East;Germany West;Greece;Hungary;Poland;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Denmark_rendements;Estonia_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Poland_rendements;Sweden_rendements
1980;;25257,0;;;;;;61188,0;;42816,0;;;;;;;;;;;;;;;;
1981;;27848,0;;;;;;92382,0;;43928,0;;;;;0,10258542186324582;;;;;;0,5098058442831928;;0,025971599402092593;;;
1982;17164,0;26552,0;;;;;;70786,0;;41426,0;;;;;-0,04653835104854931;;;;;;-0,23376848303782127;;-0,05695683846293931;;;
1983;15619,0;34648,0;;;;;;65987,0;;42816,0;;;;-0,0900139827546027;0,3049111178065682;;;;;;-0,06779589184301982;;0,033553806788007456;;;
1984;22485,0;39181,0;;;;255718,0;;87583,0;;41148,0;;;;0,43959280363659636;0,1308300623412606;;;;;;0,32727658478185107;;-0,038957399103139;;;
1985;10470,0;21048,0;;;;258468,0;;38392,0;;45596,0;;;;-0,5343562374916611;-0,46280084734948057;;;;0,010754033740292046;;-0,5616500919128141;;0,10809759891124715;;;
1986;9955,0;20400,0;;;;244720,0;;40792,0;;42260,0;;;;-0,04918815663801335;-0,030786773090079822;;;;-0,05319033690824393;;0,06251302354657229;;-0,07316431265900514;;;
1987;18366,0;18781,0;;;;225472,0;;27595,0;;45040,0;;;;0,8449020592667003;-0,0793627450980392;;;;-0,07865315462569467;;-0,3235193175132379;;0,06578324656885948;;;
1988;22485,0;32057,0;;;;250219,0;;39592,0;;50879,0;;;;0,22427311336164646;0,7068846174325116;;;;0,10975642208345171;;0,43475267258561323;;0,12964031971580825;;;
1989;16478,0;44686,0;;;;280465,0;;62388,0;;56996,0;;;260481,0;-0,26715588169891036;0,39395451851389707;;;;0,12087811077496124;;0,57577288341079;;0,12022641954440938;;;
1990;16821,0;48895,0;;;;274966,0;;69586,0;;60332,0;;;127636,0;0,020815632965165642;0,09419057422906496;;;;-0,019606724546734844;;0,11537475155478627;;0,05853042318759205;;;-0,5099988098940038
1991;10813,0;41771,0;;;;313461,0;;88783,0;;62000,0;;;230737,0;-0,357172581891683;-0,14569996932201656;;;;0,1399991271648131;;0,27587445750582007;;0,027647019823642482;;;0,8077736688708514
1992;11157,0;44686,0;;;;307962,0;;76785,0;;62000,0;;;171566,0;0,03181355775455463;0,06978525771468247;;;;-0,01754285222085039;;-0,13513848371872994;;0,0;;;-0,2564434832731638
1993;18194,0;51810,0;;;;327210,0;;99580,0;;57830,0;;;239150,0;0,6307251053150489;0,15942353309761437;;;;0,06250121768270112;;0,2968678778407241;;-0,06725806451612903;;;0,3939242040963826
1994;14933,0;40152,0;;;;349207,0;;63588,0;;50601,0;;;176177,0;-0,1792349126085523;-0,22501447596989;;;;0,06722594052748998;;-0,3614380397670215;;-0,12500432301573583;;;-0,2633200919924733
1995;14075,0;39505,0;;;;351957,0;;81584,0;;56996,0;;;168829,0;-0,05745663965713521;-0,01611376768280537;;;;0,007874985323891082;;0,2830093728376424;;0,12638090156321025;;;-0,04170805496744756
1996;12701,0;34648,0;;;;327210,0;;80384,0;;67004,0;;;238217,0;-0,09761989342806399;-0,1229464624731047;;;;-0,07031256659194163;;-0,014708766424789133;;0,17559126956277638;;;0,4109957412529839
1997;19910,0;24610,0;;;;274966,0;;47991,0;;60332,0;;;261045,0;0,567593102905283;-0,28971369198799357;;;;-0,1596650469117692;;-0,4029782046178344;;-0,09957614470777865;;;0,09582859325740811
