year;Czech Republic;Estonia;Germany East;Latvia;Lithuania;Luxembourg;Portugal;Sweden;Czech Republic_rendements;Estonia_rendements;Germany East_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Portugal_rendements;Sweden_rendements
1980;;;3075,0;;;;;;;;;;;;;
1981;;;17187,0;;;;;;;;4,5892682926829265;;;;;
1982;;;14348,0;;;;;;;;-0,16518298714144408;;;;;
1983;;;10012,0;;;;;;;;-0,3022023975466964;;;;;
1984;;;12772,0;3261,0;14339,0;;;;;;0,27566919696364356;;;;;
1985;;;18448,0;6163,0;25667,0;;;;;;0,44440964610084555;0,8899110702238577;0,7900132505753539;;;
1986;;;14191,0;3946,0;10181,0;;;;;;-0,23075672159583693;-0,359727405484342;-0,6033428137296919;;;
1987;;;20340,0;3978,0;19644,0;;;;;;0,4333027975477415;0,008109477952356725;0,929476475788233;;;
1988;;;15452,0;3196,0;16490,0;;;;;;-0,24031465093411997;-0,19658119658119655;-0,16055793117491346;;;
1989;;;20182,0;3848,0;24806,0;;;7367,0;;;0,30610924152213315;0,20400500625782225;0,5043056397816859;;;
1990;;;25386,0;3228,0;17493,0;;;2792,0;;;0,2578535328510554;-0,16112266112266116;-0,294807707812626;;;-0,6210126238631737
1991;;;33821,0;6130,0;19358,0;;;2971,0;;;0,33226975498306155;0,899008674101611;0,10661407420110902;;;0,06411174785100293
1992;;;31929,0;1370,0;17780,0;;;4182,0;;;-0,05594157476124306;-0,7765089722675367;-0,08151668560801739;;;0,4076068663749579
1993;;;28066,0;6359,0;18067,0;;;3154,0;;;-0,12098719032854144;3,6416058394160586;0,016141732283464494;;;-0,24581539933046392
1994;;;35319,0;6652,0;30972,0;;;8481,0;;;0,25842656595168534;0,046076427111181095;0,7142857142857142;;;1,6889663918833229
1995;;;25228,0;4859,0;21939,0;;;3965,0;;;-0,2857102409467992;-0,26954299458809383;-0,29165052305308015;;;-0,5324843768423535
1996;;;27751,0;13891,0;20791,0;;;7104,0;;;0,10000792769938172;1,858818686972628;-0,05232690642235294;;;0,7916771752837326
1997;;;42493,0;10695,0;24806,0;;;4433,0;;;0,5312241000324314;-0,23007702829169963;0,1931124044057524;;;-0,37598536036036034
1998;;;44385,0;717,0;24376,0;;;6785,0;;;0,04452498058503762;-0,9329593267882188;-0,01733451584294121;;;0,5305662079855629
1999;;;26647,0;7206,0;21365,0;;;7134,0;;;-0,3996395178551312;9,05020920502092;-0,12352313751230715;;;0,051436993367723005
2000;;;33427,0;11543,0;23946,0;;;6116,0;;;0,2544376477652268;0,6018595614765474;0,12080505499648964;;;-0,14269694421082146
2001;;21737,0;35950,0;12228,0;31832,0;;;8749,0;;;0,07547790708110202;0,05934332495884953;0,3293243130376682;;;0,4305101373446698
