year;Belgium-Brussels;Denmark;Germany East;Greece;Lithuania;Portugal;Belgium-Brussels_rendements;Denmark_rendements;Germany East_rendements;Greece_rendements;Lithuania_rendements;Portugal_rendements
1980;;;36187,0;163690,0;;;;;;;;
1981;;;47111,0;193810,0;;;;;0,30187636444026866;0,1840063534730283;;
1982;17722,0;;35504,0;180714,0;;;;;-0,24637558107448365;-0,06757133274856819;;
1983;20380,0;;43356,0;235714,0;;;0,14998307188804882;;0,2211581793600721;0,304348307270051;;
1984;23747,0;352070,0;37894,0;244881,0;;;0,16521099116781168;;-0,12598025648122524;0,038890350170121435;;
1985;40582,0;389670,0;53598,0;268452,0;8245,0;;0,7089316545247821;0,10679694378958726;0,4144191692616246;0,09625491565290889;;
1986;31367,0;355489,0;22873,0;252738,0;7421,0;;-0,227071115272781;-0,08771781250801958;-0,5732490018284264;-0,05853560413034731;-0,09993935718617342;
1987;25696,0;338398,0;34139,0;271071,0;8575,0;;-0,18079510313386682;-0,04807743699523759;0,4925457963537796;0,07253756854924864;0,15550464896914162;
1988;32253,0;345234,0;39601,0;247500,0;9730,0;;0,25517590286425906;0,020201065018114805;0,15999296991710366;-0,08695507818984693;0,13469387755102047;
1989;32253,0;358907,0;26970,0;268452,0;5854,0;;0,0;0,03960502152163459;-0,3189565920052524;0,08465454545454554;-0,39835560123329905;
1990;43772,0;341816,0;38235,0;257976,0;10884,0;;0,357145071776269;-0,04761957833087682;0,4176863181312569;-0,03902373608689824;0,8592415442432524;
1991;32430,0;328143,0;39260,0;254048,0;7668,0;;-0,25911541624782963;-0,0400010531982119;0,02680789852229637;-0,015226222594349914;-0,2954796030871003;
1992;41291,0;300798,0;45404,0;252738,0;13110,0;;0,2732346592661117;-0,0833325714703651;0,1564951604686704;-0,005156505857160876;0,7097026604068857;
1993;25519,0;270035,0;37553,0;246190,0;9977,0;;-0,3819718582742002;-0,10227129169741822;-0,17291428068011627;-0,025908252815168287;-0,238977879481312;
1994;27823,0;263198,0;32090,0;254048,0;11131,0;;0,09028566950115602;-0,025318940137389556;-0,14547439618672275;0,03191843697956864;0,1156660318733087;
1995;22329,0;259780,0;37211,0;267143,0;10224,0;;-0,19746253099953281;-0,012986420869459447;0,1595824244312869;0,05154537725154307;-0,08148414338334387;
1996;23038,0;259780,0;34821,0;284167,0;7009,0;;0,03175242957588775;0,0;-0,06422831958291908;0,06372616913039075;-0,3144561815336463;
1997;21797,0;246107,0;28677,0;261905,0;9400,0;;-0,05386752322250199;-0,05263299715143588;-0,17644524855690535;-0,07834125707770434;0,3411328292195748;
1998;20203,0;225598,0;23897,0;297262,0;7586,0;;-0,073129329724274;-0,08333367193944097;-0,16668410224221497;0,1349993318187892;-0,19297872340425537;
1999;21443,0;225598,0;26628,0;276310,0;8245,0;;0,061377023214373994;0,0;0,11428212746369848;-0,07048327737820503;0,08687055101502761;
2000;23747,0;211926,0;28335,0;247500,0;13605,0;;0,10744765191437766;-0,06060337414338779;0,06410545290671466;-0,10426694654554669;0,6500909642207398;
2001;23570,0;208508,0;30725,0;261905,0;10142,0;;-0,007453573082915721;-0,016128271188999954;0,0843479795306159;0,058202020202020144;-0,2545387725101066;
2002;26937,0;205090,0;27994,0;276310,0;11956,0;;0,1428510818837505;-0,016392656396876815;-0,08888527257933276;0,055000859090128085;0,1788601853677776;
2003;23038,0;198253,0;39260,0;292024,0;12863,0;;-0,14474514608159783;-0,0333365839387586;0,40244338072444097;0,05687090586659904;0,07586149213783866;
2004;32430,0;201671,0;26287,0;280238,0;11131,0;;0,407674277281014;0,01724059661140065;-0,33043810494141623;-0,040359696463304395;-0,1346497706600327;
2005;35266,0;184581,0;25263,0;261905,0;11049,0;;0,0874498920752389;-0,08474198075082684;-0,038954616350287186;-0,06541939351551185;-0,0073668134040068;
2006;30658,0;181162,0;31749,0;273690,0;6844,0;;-0,13066409572959792;-0,018523033248275866;0,25673910461940386;0,04499723182069837;-0,38057742782152226;
2007;23392,0;153817,0;30725,0;259286,0;7586,0;;-0,23700176136734297;-0,15094225058235167;-0,03225298434596369;-0,052628886696627575;0,10841613091759195;
2008;29949,0;157235,0;29701,0;238333,0;9812,0;72928,0;0,2803095075239399;0,02222121091946927;-0,03332790886899917;-0,08081037927230939;0,2934352755075138;
2009;20557,0;150399,0;31408,0;220000,0;12780,0;61989,0;-0,31359978630338237;-0,04347632524565137;0,057472812363219994;-0,07692178590459564;0,3024867509172442;-0,1499972575691093
2010;27291,0;150399,0;22532,0;240952,0;6514,0;103558,0;0,3275769810770055;0,0;-0,28260315843097306;0,09523636363636356;-0,4902973395931143;0,6705867169981772
2011;14000,0;136726,0;25604,0;242262,0;9565,0;73658,0;-0,48701036971895495;-0,09091150872013776;0,13633942836854263;0,005436767488960381;0,4683758059564016;-0,2887270901330655
2012;11519,0;129890,0;21166,0;216071,0;8163,0;70741,0;-0,17721428571428577;-0,0499978058306394;-0,17333229182940169;-0,10811022776993506;-0,14657605854678513;-0,039601944120122745
2013;12228,0;126472,0;21849,0;235714,0;10719,0;69282,0;0,06155048181265732;-0,026314573870197866;0,032268732873476313;0,09090993238333689;0,3131201764057332;-0,020624531742553853
2014;14532,0;126472,0;21849,0;214762,0;5360,0;68553,0;0,18842001962708532;0,0;0,0;-0,08888738046955214;-0,49995335385763595;-0,010522213561964144
2015;14532,0;119636,0;22873,0;201667,0;14347,0;72199,0;0,0;-0,05405148965778983;0,046867133507254355;-0,060974474068969386;1,676679104477612;0,05318512683617049
2016;16127,0;112799,0;20483,0;222619,0;11791,0;78033,0;0,10975777594274705;-0,05714834999498475;-0,10449001005552394;0,1038940431503419;-0,17815571199553915;0,0808044432748376
