year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Germany East;Greece;Hungary;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Portugal;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Germany East_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Portugal_rendements;Spain_rendements;Sweden_rendements
1980;;62667,0;;;;;;;182384,0;608533,0;;;232658,0;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;82667,0;;;;;;;193963,0;593600,0;;;227655,0;;;;;;;;0,3191472385785181;;;;;;;0,06348692867795425;-0,024539342977291323;;;-0,021503666325679793;;;;;;
1982;119521,0;90667,0;;;;;;;182384,0;589867,0;;;197634,0;;;;;;;;0,09677380333143826;;;;;;;-0,059696952511561485;-0,0062887466307277595;;;-0,13187059366146148;;;;;;
1983;81275,0;73333,0;;;;;;;115799,0;563733,0;;;277689,0;;;;;;;-0,31999397595401646;-0,19118312065029175;;;;;;;-0,3650813667865602;-0,044304902630592946;;;0,40506694192294845;;;;;;
1984;76494,0;82667,0;;;;;668223,0;;141854,0;653333,0;;36022,0;207641,0;;;;;;;-0,0588249769301753;0,12728239673816688;;;;;;;0,22500194302196053;0,15894049133188948;;;-0,2522534201930937;;;;;;
1985;53785,0;68000,0;;;;;684791,0;;159224,0;589867,0;;34581,0;167614,0;;;;;;;-0,2968729573561325;-0,17742267168277548;;;;;0,024794118131222564;;0,12244984279611426;-0,09714188629688081;;-0,04000333129754041;-0,19277021397508198;;;;;;
1986;117131,0;81333,0;;;;;601953,0;;101324,0;481600,0;;10446,0;140095,0;;;;;;;1,1777633169099193;0,1960735294117648;;;;;-0,12096829543612575;;-0,36363864744008445;-0,1835447651758786;;-0,6979266070963824;-0,16418079635352656;;;;;;
1987;50199,0;70667,0;;;;;596431,0;;127379,0;425600,0;;9726,0;140095,0;;;;;;;-0,5714285714285714;-0,1311398817208267;;;;;-0,00917347367651622;;0,2571453949705893;-0,11627906976744184;;-0,06892590465249859;0,0;;;;;;
1988;54980,0;70667,0;;;;;612998,0;;176594,0;373333,0;;16930,0;155106,0;;;;;;;0,09524094105460268;0,0;;;;;0,02777689288450791;;0,3863666695452155;-0,12280780075187969;;0,7406950442113922;0,10714872051108171;;;;;;
1989;29880,0;80000,0;21300,0;;;;590908,0;;191068,0;377067,0;;27737,0;170116,0;;;;;;431166,0;-0,45652964714441613;0,13207013174466153;;;;;-0,0360360066427623;;0,08196201456448127;0,010001794644459494;;0,6383343177790903;0,09677252975384576;;;;;;
1990;50199,0;74667,0;12993,0;;;;552251,0;;167909,0;358400,0;;21613,0;142597,0;;;;;51703,0;370803,0;0,6800200803212852;-0,06666249999999996;-0,39;;;;-0,065419659236294;;-0,12120815625850478;-0,04950579074806338;;-0,220788116955691;-0,16176608902160883;;;;;;-0,13999944336983905
1991;43028,0;76000,0;11076,0;;;;519116,0;;144749,0;384533,0;;13328,0;152604,0;;;;;40845,0;545775,0;-0,142851451224128;0,017852598872326375;-0,14754098360655743;;;;-0,05999989135375039;;-0,13793185594578017;0,0729157366071429;;-0,38333410447415905;0,07017679193811932;;;;;-0,21000715625785737;0,4718732049093455
1992;39442,0;77333,0;19383,0;;;;491503,0;;165014,0;287467,0;;10807,0;152604,0;;;;;50152,0;528193,0;-0,08334108022682907;0,017539473684210494;0,75;;;;-0,05319235007204559;;0,14000096719148325;-0,2524256695784237;;-0,18915066026410565;0,0;;;;;0,22786142734728854;-0,03221474050661899
1993;43028,0;60000,0;11928,0;;;;530161,0;;141854,0;306133,0;;10446,0;152604,0;;;;;47567,0;453133,0;0,09091831043050558;-0,22413458678701204;-0,3846153846153846;;;;0,07865262266964801;;-0,1403517277321924;0,06493267053261764;;-0,03340427500693999;0,0;;;;;-0,05154330834263843;-0,1421071464407896
1994;19123,0;60000,0;14697,0;;;;557773,0;;156329,0;328533,0;;16570,0;170116,0;;;;;52737,0;572068,0;-0,5555684670447151;0,0;0,2321428571428572;;;;0,052082291983001294;;0,10204153566342855;0,07317081137936787;;0,5862531112387517;0,11475452805955277;;;;;0,10868879685496258;0,2624726073801731
1995;25100,0;57333,0;9798,0;;;307111,0;535683,0;;124484,0;362133,0;;5764,0;165112,0;;;;;54288,0;439105,0;0,3125555613658946;-0,04444999999999999;-0,33333333333333337;;;;-0,03960392489417741;;-0,20370500674858794;0,10227283103980422;;-0,652142426071213;-0,029415222554021958;;;;;0,029410091586552056;-0,23242516623897858
1996;29880,0;56000,0;10011,0;;;156627,0;574341,0;;147644,0;336000,0;;9006,0;170116,0;;;;41240,0;41362,0;454240,0;0,1904382470119521;-0,023250135175204467;0,021739130434782705;;;-0,48999873010084305;0,07216581448356574;;0,1860480061694676;-0,07216409440730343;;0,5624566273421234;0,030306700906051587;;;;;-0,23810050103153546;0,03446783798863606
1997;17928,0;60000,0;14058,0;;;371605,0;546728,0;;165014,0;287467,0;;26656,0;150102,0;;;;37941,0;37743,0;405937,0;-0,4;0,0714285714285714;0,4042553191489362;;;1,3725475173501378;-0,04807770993190452;;0,11764785565278646;-0,14444345238095235;;1,959804574727959;-0,11764913353241313;;;;-0,07999515033947624;-0,08749576906339152;-0,10633805917576611
