year;Austria;Belgium-Brussels;Czech Republic;Denmark;Estonia;Germany East;Greece;Latvia;Lithuania;Portugal;Sweden;Austria_rendements;Belgium-Brussels_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Germany East_rendements;Greece_rendements;Latvia_rendements;Lithuania_rendements;Portugal_rendements;Sweden_rendements
1980;;;;;;560454,0;;;323083,0;;;;;;;;;;;;;
1981;;;;;;553448,0;;;402484,0;;;;;;;;-0,012500579887020136;;;0,24576037736433043;;
1982;9731,0;;;;;441358,0;;;514742,0;;;;;;;;-0,2025303190182276;;;0,27891295057691745;;
1983;12455,0;8125,0;;;;525426,0;;;407960,0;;;0,27993012023430275;;;;;0,19047575890773483;;;-0,2074476145331059;;
1984;9633,0;6744,0;;5596,0;;350284,0;;391920,0;317607,0;;;-0,22657567242071452;-0,16996923076923076;;;;-0,33333333333333337;;;-0,22147514462202178;;
1985;9244,0;10481,0;;4641,0;;413335,0;;634910,0;391532,0;;;-0,04038202013910519;0,5541221826809015;;-0,17065761258041456;;0,17999965742083557;;0,6199989793835476;0,23275620499548189;;
1986;5741,0;13000,0;;3230,0;;483392,0;;340970,0;257371,0;;;-0,37894850713976636;0,2403396622459688;;-0,30402930402930406;;0,16949205849976412;;-0,46296325463451515;-0,34265653892912973;;
1987;8952,0;8288,0;;3776,0;;448363,0;;658426,0;243681,0;;;0,5593102246995296;-0,3624615384615385;;0,16904024767801862;;-0,07246499735204559;;0,9310379212247413;-0,053191696034129765;;
1988;4865,0;9750,0;;3640,0;;315255,0;;415435,0;290227,0;;;-0,45654602323503124;0,176399613899614;;-0,03601694915254239;;-0,2968755227349268;;-0,3690483061118486;0,19101201981278804;;
1989;6130,0;9750,0;;4095,0;;364295,0;;250829,0;366891,0;;51988,0;0,26002055498458376;0,0;;0,125;;0,1555566129006678;;-0,39622564300071006;0,2641518535491185;;
1990;3698,0;8694,0;;4550,0;;315255,0;;70546,0;298441,0;;34832,0;-0,3967373572593801;-0,10830769230769233;;0,11111111111111116;;-0,13461617645040425;;-0,7187486295444308;-0,1865676726875285;;-0,329999230591675
1991;2919,0;8369,0;;4186,0;;301244,0;;337051,0;413436,0;;51250,0;-0,2106544077879935;-0,03738210259949393;;-0,07999999999999996;;-0,044443387099332265;;3,7777478524650583;0,385319041284542;;0,4713481855764814
