year;Czech Republic;Germany East;Latvia;Lithuania;Portugal;Czech Republic_rendements;Germany East_rendements;Latvia_rendements;Lithuania_rendements;Portugal_rendements
1980;;93925,0;;;;;;;;
1981;;117249,0;;;;;0,24832579185520354;;;
1982;;55473,0;;;;;-0,5268786940613566;;;
1983;;77536,0;;213143,0;;;0,3977250193787969;;;
1984;;92665,0;56956,0;213143,0;;;0,1951222657862155;;0,0;
1985;;86991,0;50121,0;198223,0;;;-0,061231317110019945;-0,12000491607556707;-0,06999995308314133;
1986;;113467,0;60373,0;206749,0;;;0,3043533239070708;0,20454500109734441;0,043012163068866904;
1987;;77536,0;89421,0;230194,0;;;-0,3166647571540624;0,4811422324549053;0,1133983719389211;
1988;;90774,0;86003,0;238720,0;;;0,17073359471729255;-0,038223683474798986;0,03703832419611275;
1989;;129226,0;89990,0;328240,0;;;0,4236014717870755;0,046358847947164605;0,375;
1990;;100859,0;82586,0;283480,0;;;-0,21951464875489457;-0,08227580842315818;-0,13636363636363635;
1991;;75645,0;71195,0;247246,0;;;-0,24999256387630253;-0,13792894679485623;-0,12781854099054613;
1992;;89513,0;70625,0;309057,0;;;0,18333002842223545;-0,008006180209284341;0,24999797772259202;
1993;;85100,0;66069,0;260034,0;;;-0,04930010166121124;-0,06450973451327435;-0,1586212252108834;
1994;;94556,0;22782,0;281349,0;;;0,11111633372502938;-0,6551786768378514;0,0819700500703755;
1995;;83209,0;53539,0;439075,0;;;-0,12000296120817289;1,3500570625932755;0,5606062221653534;
1996;;80057,0;47843,0;294137,0;;;-0,03788051773245682;-0,10638973458600276;-0,33009850253373574;
1997;;66189,0;78030,0;407103,0;;;-0,17322657606455405;0,6309595970152373;0,3840591289093178;
1998;;74384,0;58665,0;375132,0;;;0,12381211379534363;-0,24817377931564788;-0,07853295112047809;
1999;;80688,0;87142,0;355949,0;;;0,08474940847494095;0,48541719935225425;-0,05113666656003757;
2000;;93925,0;57525,0;326109,0;;;0,1640516557604601;-0,33987055610383055;-0,08383223439312937;
2001;;95186,0;60373,0;417760,0;;;0,013425605536332208;0,04950890916992612;0,281044068087664;
2002;;98968,0;63221,0;407103,0;;;0,03973273380539144;0,047173405330197316;-0,025509862121792404;
2003;;92034,0;62082,0;349555,0;;;-0,07006305068304908;-0,01801616551462326;-0,1413598032930241;
2004;;93925,0;89421,0;351686,0;;;0,02054675446030818;0,4403691891369479;0,006096322467136872;
2005;122082,0;88882,0;44995,0;328240,0;;;-0,053691775352675;-0,4968184207289116;-0,0666674249188196;
2006;150161,0;103381,0;85434,0;358080,0;;0,23000114677020367;0,16312639229540293;0,8987443049227692;0,09090909090909083;
2007;159928,0;104642,0;47843,0;353817,0;22777,0;0,06504351995524793;0,012197599171994922;-0,440000468197673;-0,011905160857908825;
2008;97666,0;97077,0;52399,0;362343,0;22330,0;-0,38931269071081986;-0,07229410752852583;0,0952281420479486;0,024097202791273364;-0,019625060367915004
2009;89120,0;89513,0;27908,0;362343,0;12728,0;-0,08750230376999157;-0,07791752938389118;-0,467394415923968;0,0;-0,4300044782803404
2010;113536,0;97077,0;61512,0;338897,0;17194,0;0,2739676840215439;0,08450169249159334;1,2040991830299554;-0,06470664536088733;0,3508799497171591
2011;85458,0;108424,0;42717,0;417760,0;19651,0;-0,2473048196166855;0,11688659517702438;-0,3055501365587202;0,23270492214448635;0,1428986855879959
2012;123303,0;93295,0;38730,0;366606,0;14068,0;0,44284911886540756;-0,1395355271895521;-0,09333520612402557;-0,12244829567215632;-0,2841076789985243
2013;131849,0;110315,0;109925,0;404972,0;16971,0;0,06930893814424621;0,1824320703145934;1,8382390911438162;0,10465186058056886;0,20635484788171743
2014;156265,0;117879,0;71195,0;366606,0;20544,0;0,18518153342080712;0,06856728459411676;-0,3523311348646805;-0,09473741394466773;0,21053561958635325
2015;144057,0;105272,0;98534,0;298400,0;22330,0;-0,07812370012478798;-0,10694865073507576;0,38400168551162306;-0,1860471459823353;0,08693535825545173
2016;102549,0;104642,0;30187,0;341029,0;27020,0;-0,28813594618796723;-0,00598449730222661;-0,6936387439868472;0,14285857908847177;0,21003134796238254
