year;Belgium-Brussels;Belgium-Wallonia;Denmark;France;Germany East;Germany West;Greece;Sweden;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Denmark_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Sweden_rendements
1980;468571,0;;;;758948,0;;;;;;;;;;;
1981;400000,0;;;;814753,0;;;;-0,14634068262867317;;;;0,07352941176470584;;;
1982;417143,0;;;;742206,0;;;;0,04285749999999999;;;;-0,0890417095733308;;;
1983;434286,0;;;;920782,0;;;;0,0410962188026649;;;;0,24060166584479248;;;
1984;402857,0;;;;457601,0;;;;-0,07236936028331564;;;;-0,5030300331674598;;;
1985;417143,0;;;;418538,0;;;;0,035461714702735625;;;;-0,0853647610035817;;;
1986;457143,0;;;;435279,0;;;;0,09589037811973355;;;;0,03999875757995697;;;
1987;382857,0;;;;334830,0;;;;-0,16250057421857056;;;;-0,23076923076923073;;;
1988;394286,0;;;;279025,0;;;;0,02985187681040169;;;;-0,16666666666666663;;;
1989;322857,0;;;;312508,0;;;123617,0;-0,18116037597074208;;;;0,1200000000000001;;;
1990;354286,0;;522030,0;;329250,0;4960,0;;79115,0;0,09734650325066507;;;;0,053573028530469635;;;-0,3599990292597296
1991;317143,0;;485488,0;;306928,0;4662,0;;249190,0;-0,10483902835562231;;-0,06999980844012799;;-0,06779650721336372;-0,0600806451612903;;2,149718763824812
1992;254286,0;;485488,0;;256703,0;4067,0;;267327,0;-0,1981976584695232;;0,0;;-0,16363772611166139;-0,12762762762762758;;0,07278381957542446
1993;248571,0;;412404,0;;329250,0;4067,0;;307449,0;-0,022474693848658633;;-0,15053719144448474;;0,2826106434283977;0,0;;0,1500858499141502
1994;248571,0;;428065,0;;262284,0;3522,0;549020,0;205990,0;0,0;;0,03797489840059742;;-0,20338952164009116;-0,1340054093926727;;-0,33000269963473616
1995;231429,0;;396743,0;;251122,0;2877,0;378824,0;268405,0;-0,06896218786584118;;-0,07317113055260305;;-0,04255692302999803;-0,18313458262350935;-0,3099996357145459;0,3030001456381377
1996;200000,0;;334099,0;;245542,0;2728,0;269020,0;208847,0;-0,13580406949863677;;-0,15789566545597533;;-0,022220275403986856;-0,05179005908932921;-0,28985491943488273;-0,22189601534993764
1997;191429,0;;349760,0;;239962,0;2678,0;318431,0;222411,0;-0,042854999999999976;;0,046875327373024245;;-0,02272523641576596;-0,01832844574780057;0,1836703590811093;0,06494706651280602
1998;168571,0;;328879,0;9818,0;223220,0;2381,0;285490,0;209891,0;-0,11940719535702538;;-0,059700937785910346;;-0,06976938015185741;-0,11090365944734881;-0,10344784270375684;-0,05629217979326562
1999;185714,0;;339320,0;19439,0;251122,0;1984,0;247059,0;352936,0;0,10169602126107091;;0,03174723834601778;0,9799348136076593;0,12499776005734242;-0,16673666526669462;-0,13461417212511817;0,6815204082118813
2000;125714,0;;349760,0;15708,0;223220,0;1835,0;301961,0;268430,0;-0,3230774201191079;;0,030767417187315793;-0,19193374144760533;-0,11110934127635175;-0,07510080645161288;0,22222222222222232;-0,23943717841195
2001;148571,0;45267,0;349760,0;23170,0;223220,0;1736,0;285490,0;238189,0;0,18181745867604238;;0,0;0,47504456327985745;0,0;-0,053950953678474134;-0,054546779219832975;-0,11265879372648357
2002;148571,0;76501,0;313218,0;14923,0;200898,0;1736,0;280000,0;234644,0;0,0;0,6899949190359422;-0,10447735590118934;-0,3559343979283557;-0,09999999999999998;0,0;-0,019230095625065724;-0,014883139019853941
2003;160000,0;109093,0;323659,0;12665,0;217640,0;2083,0;274510,0;206116,0;0,07692618344091384;0,42603364661899845;0,03333461039914698;-0,15131005829926958;0,08333582215850832;0,1998847926267282;-0,019607142857142823;-0,12157992533369699
2004;157143,0;86459,0;318438,0;19144,0;184156,0;2232,0;230588,0;293917,0;-0,017856250000000018;-0,20747435674149584;-0,016131175094775685;0,5115673114883537;-0,15385039514795074;0,07153144503120501;-0,16000145714181635;0,4259785751712628
2005;174286,0;66089,0;313218,0;22973,0;239962,0;2034,0;307451,0;218636,0;0,10909171900752823;-0,23560300257925726;-0,016392515968571608;0,2000104471374844;0,30303655596342227;-0,08870967741935487;0,33333477891303964;-0,25613013197603407
2006;140000,0;90533,0;271456,0;15806,0;195318,0;2232,0;329412,0;79044,0;-0,19672262832356013;0,3698648791780781;-0,13333205626751976;-0,3119749270883211;-0,1860461239696285;0,09734513274336276;0,07142926840374564;-0,6384675899668856
2007;145714,0;55678,0;245354,0;23857,0;195318,0;2083,0;252549,0;214126,0;0,04081428571428569;-0,3849977356323109;-0,09615554638689139;0,5093635328356321;0,0;-0,06675627240143367;-0,23333394047575684;1,708946915641921
2008;151429,0;65184,0;234914,0;8541,0;212059,0;2182,0;236078,0;309796,0;0,03922066513855915;0,1707317073170731;-0,04255076338677988;-0,6419918682147797;0,08571150636398084;0,04752760441670678;-0,06521902680271952;0,4467930097232471
2009;140000,0;60205,0;245354,0;18359,0;234381,0;2133,0;274510,0;250998,0;-0,07547431469533572;-0,0763837751595483;0,044441795720987276;1,1495141084182179;0,10526315789473695;-0,022456461961503194;0,16279365294521297;-0,18979586566643858
2010;134286,0;61110,0;261015,0;11585,0;200898,0;2381,0;345882,0;62594,0;-0,04081428571428569;0,015031974088530964;0,06383022082378931;-0,36897434500789805;-0,1428571428571429;0,11626816690107833;0,2599978142872754;-0,7506195268488195
2011;160000,0;55678,0;224473,0;12665,0;223220,0;2678,0;312941,0;12328,0;0,19148682662377303;-0,0888888888888889;-0,13999961688025597;0,09322399654725944;0,11111111111111116;0,12473750524989491;-0,09523768221532203;-0,8030482154839123
2012;162857,0;46172,0;245354,0;12370,0;189737,0;1736,0;356863,0;95185,0;0,017856249999999907;-0,1707317073170732;0,09302232339746874;-0,023292538491906822;-0,15000000000000002;-0,35175504107542943;0,1403523347851512;6,72104153147307
2013;137143,0;51604,0;281896,0;6971,0;161834,0;1934,0;307451,0;39558,0;-0,15789312095887809;0,11764705882352944;0,14893582334096855;-0,4364591754244139;-0,14706145875606758;0,1140552995391706;-0,1384620989006986;-0,5844093081893156
2014;142857,0;57036,0;255795,0;10799,0;161834,0;1389,0;285490,0;21015,0;0,04166453993277086;0,10526315789473695;-0,09259088458154785;0,5491321187777938;0,0;-0,281799379524302;-0,07142926840374564;-0,46875473987562566
2015;131429,0;68805,0;234914,0;10309,0;217640,0;1686,0;340392,0;11126,0;-0,07999607999608005;0,2063433620871029;-0,08163177544518074;-0,045374571719603685;0,34483483075249954;0,21382289416846656;0,19230796174997367;-0,4705686414465857
2016;140000,0;75595,0;234914,0;;178576,0;1438,0;351373,0;7417,0;0,06521391778070296;0,09868468861274615;0,0;0,0;-0,1794890645102003;-0,14709371293001183;0,03225986509671208;-0,3333632931871292
