year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Latvia;Lithuania;Netherlands;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Netherlands_rendements;Spain_rendements;Sweden_rendements
1980;;;;;;;;;;57566,0;;473884,0;;;;;;;;;;;;;;;;;;;;;;;;
1981;;;;;;;;;;49626,0;;472294,0;;;;;;;;;;;;;;;;-0,137928638432408;;-0,003355251496146683;;;;;;
1982;9891,0;;;;;;;;;44663,0;;470703,0;;;;;;;;;;;;;;;;-0,10000806029097653;;-0,003368664433594293;;;;;;
1983;10484,0;;;;;;;;;53099,0;;483425,0;;;;;;;0,059953493074512254;;;;;;;;;0,18888117681302186;;0,02702765862975176;;;;;;
1984;6033,0;;;;;72571,0;;;;51114,0;;516820,0;;1063,0;8495,0;;;;-0,4245516978252576;;;;;;;;;-0,03738300156311791;;0,06908000206857312;;;;;;
1985;4945,0;218,0;;;;70940,0;;;;46648,0;;485015,0;;1829,0;10109,0;;;;-0,18034145532902368;;;;;-0,022474542172493117;;;;-0,0873733223774309;;-0,06153980109128898;;0,7206020696142992;0,1899941141848145;;;
1986;5143,0;349,0;;;;70940,0;;;;42678,0;;499327,0;;2509,0;8325,0;;;;0,04004044489383207;0,6009174311926606;;;;0,0;;;;-0,08510547075973252;;0,029508365720647856;;0,3717878622197923;-0,1764764071619349;;;
1987;5737,0;390,0;;;;72571,0;;;;39700,0;;454801,0;;734,0;12573,0;;;;0,11549679175578453;0,11747851002865328;;;;0,022991260219904053;;;;-0,06977834012840334;;-0,08917202554638548;;-0,707453168593065;0,5102702702702702;;;
1988;4154,0;550,0;;;;72571,0;;;;46152,0;;437309,0;;532,0;9260,0;;;;-0,2759281854627854;0,41025641025641035;;;;0,0;;;;0,16251889168765743;;-0,03846077735097331;;-0,2752043596730245;-0,26350115326493284;;;
1989;4352,0;692,0;38018,0;;;80725,0;;;;41189,0;;524771,0;;702,0;10874,0;;;48016,0;0,047664901299951934;0,2581818181818183;;;;0,11235893125353114;;;;-0,1075359681053909;;0,2000004573425198;;0,31954887218045114;0,17429805615550764;;;
