year;Austria;Belgium-Brussels;Belgium-Wallonia;Cyprus;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Netherlands;Poland;Portugal;Republic of Ireland;Slovenia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Cyprus_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Netherlands_rendements;Poland_rendements;Portugal_rendements;Republic of Ireland_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements
1980;;26827,0;;;;;;2266586,0;;;;;;62325,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;32596,0;;;;;;2916076,0;;;;;;82676,0;;;;;;;;;0,21504454467514078;;;;;;0,2865499036877488;;;;;;0,32653028479743273;;;;;;;
1982;332757,0;29712,0;;;;;;2213566,0;;;;;;77588,0;;;;;;;;;-0,08847711375628908;;;;;;-0,24090935901533428;;;;;;-0,06154143886980501;;;;;;;
1983;192999,0;32596,0;;;;;;1405018,0;;;;;;45790,0;;;;;;;;-0,420000180311759;0,09706515885837375;;;;;;-0,3652694340263629;;;;;;-0,4098314172294685;;;;;;;
1984;199654,0;39808,0;;;;;;927842,0;;;;;301381,0;58509,0;;;;;;;;0,03448204394841414;0,22125414161246781;;;;;;-0,3396226952252569;;;;;;0,27776807163136064;;;;;;;
1985;159723,0;30288,0;;;;;;888078,0;;;;;313436,0;58509,0;;;;;;;;-0,20000100173299806;-0,23914790996784563;;;;;;-0,042856434608478544;;;;;0,039999203665791905;0,0;;;;;;;
1986;133103,0;38077,0;;;;;;1617096,0;;;;;301381,0;58509,0;;;;;;;;-0,16666353624712782;0,2571645536185949;;;;;;0,8208941106524428;;;;;-0,038460802205234845;0,0;;;;;;;
1987;129775,0;33462,0;;;;;;1378508,0;;;;;207953,0;67412,0;;;;;;;;-0,02500319301593501;-0,1212017753499488;;;;;;-0,14754102415688375;;;;;-0,30999963501348793;0,15216462424584254;;;;;;;
1988;252895,0;20481,0;;;;;;941097,0;;;;;153704,0;69956,0;;;;;;;;0,9487189366210749;-0,38793258024027255;;;;;;-0,3173075528034658;;;;;-0,2608714469134853;0,0377380881742122;;;;;;;
1989;149741,0;32019,0;653383,0;;;;;1245960,0;;;;;274257,0;61053,0;;;;;;;534995,0;-0,407892603649736;0,5633513988574776;;;;;;0,323944290546033;;;;;0,7843192109509187;-0,12726570987477848;;;;;;;
1990;149741,0;26827,0;770992,0;;;;;888078,0;;;;;229049,0;45790,0;;;;;;36795,0;631294,0;0,0;-0,16215372122802085;0,18000009182975374;;;;;-0,2872339400943851;;;;;-0,16483808982086146;-0,24999590519712378;;;;;;;0,17999981308236523
1991;236257,0;40962,0;823262,0;;;;;901332,0;;;;;238091,0;45790,0;;;;;;54457,0;837702,0;0,5777709511756968;0,5268945465389347;0,06779577479403165;;;;;0,014924364751744745;;;;;0,039476269269894226;0,0;;;;;;0,48001087104226126;0,3269601802013009
1992;126448,0;29712,0;770992,0;;;;;1126666,0;;;;;256174,0;63597,0;;;;;;44137,0;739071,0;-0,4647862285561909;-0,27464479273472975;-0,06349133082785308;;;;;0,2500011094690968;;;;;0,075949951909144;0,3888840358156802;;;;;;-0,1895073177002038;-0,11773996003352027
1993;309464,0;32019,0;738323,0;;;;;1458038,0;;;;;120552,0;44518,0;;;;;;47781,0;947286,0;1,4473617613564471;0,077645395799677;-0,042372683503849595;;;;;0,2941173337972389;;;;;-0,5294136016925995;-0,29999842759878614;;;;;;0,08256111652355158;0,2817253010874463
1994;133103,0;39519,0;738323,0;;;;;1590587,0;;247897,0;;;132608,0;39430,0;;;;;;112976,0;866783,0;-0,5698918129410853;0,2342359224210624;0,0;;;;;0,09090915325937998;;;;;0,10000663614042082;-0,11429084864549166;;;;;;1,3644544902785625;-0,08498278239095691
1995;136430,0;35481,0;470436,0;;;;;1656861,0;;240460,0;;;207953,0;62325,0;;;;;;29629,0;916993,0;0,02499568003726438;-0,10217869885371589;-0,36283171457478636;;;;;0,04166637851308974;;-0,030000363054010326;;;0,5681783904440154;0,5806492518387014;;;;;;-0,7377407590992777;0,05792683982034719
1996;226275,0;33173,0;646849,0;;;;;1153175,0;;190881,0;;;111511,0;40702,0;;;104561,0;;;42693,0;989128,0;0,6585428424833248;-0,06504889941095238;0,37499893715616994;;;;;-0,3040001545090385;;-0,2061839807036513;;;-0,4637682553269248;-0,3469394304051344;;;;;;0,4409193695366027;0,07866472263147051
1997;153068,0;25673,0;725255,0;;;;;715764,0;;205755,0;;;316450,0;49605,0;;;70056,0;;;32909,0;854023,0;-0,32353110153574194;-0,22608748078256413;0,12121221490641565;;;;;-0,3793101654128819;;0,07792289436874289;;;1,837836625983087;0,21873618004029294;;;-0,3299987567066115;;;-0,22917105848733987;-0,13659000655122489
1998;126448,0;39519,0;686052,0;;;112961,0;42621018,0;1139920,0;;235502,0;91240,0;;277270,0;59781,0;;;97242,0;;;52302,0;810139,0;-0,17390963493349365;0,5393214661317338;-0,05405409131960481;;;;;0,592591971655462;;0,14457485844815432;;;-0,12381102859851478;0,2051406108255216;;;0,38806097978759846;;;0,5892916831261965;-0,05138503295578689
1999;143085,0;34615,0;620714,0;;;126516,0;36654076,0;861568,0;104679,0;245418,0;167881,0;;301381,0;61053,0;;;120245,0;;;53977,0;848673,0;0,13157187144122484;-0,12409220881095173;-0,09523767877653588;;;0,11999716716388842;-0,13999998779944678;-0,2441855568811846;;0,0421057995261187;0,8399934239368698;;0,08695856024813353;0,021277663471671593;;;0,23655416383867056;;;0,03202554395625401;0,04756467717268276
2000;189671,0;35192,0;738323,0;1063319,0;154528,0;112961,0;29834713,0;1020626,0;117240,0;195839,0;293792,0;;286312,0;55965,0;;;120245,0;;;37139,0;787636,0;0,3255826956005172;0,0166690741008233;0,18947373508572385;;;-0,1071405988175409;-0,18604651226237434;0,18461456321497538;0,11999541455306217;-0,20201859684293733;0,7500014891500528;;-0,04999983409704001;-0,08333742813620948;;;0,0;;;-0,31194768141986406;-0,07192051591131099
2001;173034,0;34038,0;810195,0;1073952,0;122077,0;75684,0;32391974,0;1007372,0;116193,0;183444,0;177005,0;;265215,0;41974,0;;;70056,0;;;80361,0;722479,0;-0,08771504341728575;-0,03279154353262104;0,09734492898094738;0,009999821314205848;-0,21000077655829363;-0,3299988491603296;0,0857142818836567;-0,012986147717185315;-0,008930399181166893;-0,06329178559939541;-0,39751592963729443;;-0,07368535024728273;-0,2499955329223622;;;-0,41738949644475865;;;1,163790085893535;-0,08272476118410022
2002;149741,0;27981,0;986608,0;1148384,0;180798,0;64388,0;31113343,0;914587,0;108866,0;166091,0;166969,0;;244119,0;49605,0;;;99333,0;;;26198,0;566101,0;-0,1346151623380376;-0,1779481755684823;0,21774140793265828;0,06930663567831719;0,48101608001507246;-0,14925215369166533;-0,03947369802161482;-0,0921059946077517;-0,0630588761801485;-0,09459562591308524;-0,05669896330612134;;-0,07954301227306149;0,18180302091771106;;;0,4179085303186023;;;-0,6739960926319981;-0,21644642958480453
2003;169706,0;25962,0;901668,0;1095218,0;166890,0;58740,0;30687133,0;954352,0;124568,0;168570,0;124999,0;;241105,0;33070,0;;;107698,0;;;42914,0;730703,0;0,13333021684107882;-0,07215610592902322;-0,08609295687851715;-0,04629636079917521;-0,0769256297082932;-0,08771820836180655;-0,013698624413326477;0,043478641179024;0,14423235904690168;0,014925552859577085;-0,2513640256574574;;-0,012346437598056648;-0,33333333333333337;;;0,08421169198554357;;;0,6380639743491869;0,2907643689023691
2004;202982,0;30577,0;1110751,0;1467380,0;165345,0;92628,0;30687133,0;835058,0;110959,0;190881,0;188866,0;;159732,0;27983,0;;2,0;59600,0;;;67038,0;678975,0;0,19608028001367073;0,17775980278869108;0,23188468482856228;0,33980632166381497;-0,00925759482293731;0,5769152196118488;0,0;-0,125;-0,10924956650183038;0,13235451147891086;0,5109400875207002;;-0,33750025922316007;-0,15382521923193226;;;-0,4466006796783598;;;0,5621475509157852;-0,07079210021034543
2005;216292,0;32019,0;1163022,0;1275983,0;176162,0;98276,0;34096815,0;954352,0;108866,0;200797,0;217151,0;21082,0;256174,0;43246,0;67344,0;5,0;106652,0;;;23497,0;679535,0;0,06557231675715092;0,04715962978709487;0,04705915187112142;-0,13043451593997468;0,06542078683963837;0,06097508312821187;0,1111111292149709;0,1428571428571428;-0,01886282320496757;0,05194859624582859;0,1497622653097963;;0,6037738211504269;0,5454383018261086;;1,5;0,7894630872483221;;;-0,649497300038784;0,0008247726352221818
2006;186344,0;25962,0;1006210,0;1190917,0;216339,0;79073,0;32818184,0;702509,0;123521,0;176007,0;178830,0;17076,0;355629,0;44518,0;30305,0;3,0;56463,0;;35088,0;58943,0;665003,0;-0,1384609694302147;-0,18916893094725007;-0,13483149931815563;-0,06666703239776706;0,2280684824195911;-0,1953986731246693;-0,037500012831110485;-0,2638890053146009;0,13461503132291064;-0,12345801979113236;-0,1764716717859922;-0,19001992220851915;0,38823221716489575;0,029413124913286737;-0,5499970301734378;-0,4;-0,47058658065484005;;;1,5085330042133038;-0,021385211946404525
2007;202982,0;21346,0;921270,0;1414214,0;186979,0;58740,0;31965764,0;755529,0;119334,0;151217,0;93065,0;22557,0;262201,0;47062,0;42426,0;3,0;122337,0;303390,0;30877,0;33375,0;599430,0;0,08928648091701374;-0,17779832062244816;-0,08441577801850508;0,18750005248056745;-0,13571293201872991;-0,25714213448332557;-0,02597401489369433;0,07547234270308278;-0,03389707013382337;-0,14084667087104485;-0,4795895543253369;0,32097680955727337;-0,26271198355589676;0,05714542432274583;0,3999670021448607;0,0;1,1666755220232718;;-0,12001253989968075;-0,43377500296897;-0,09860557020043514
2008;246240,0;24231,0;1012743,0;1488646,0;162254,0;91498,0;37506496,0;569960,0;125614,0;153696,0;122261,0;22768,0;322478,0;36886,0;70711,0;2,0;126519,0;227542,0;45965,0;66169,0;499986,0;0,21311249273334587;0,13515412723695297;0,09929011039109059;0,05263135565055932;-0,13223410115574474;0,5576779026217229;0,17333331998571966;-0,24561466204473947;0,05262540432735019;0,016393659443052044;0,3137162198463439;0,009354080773152473;0,22988852063874665;-0,21622540478517704;0,666690237118748;-0,33333333333333337;0,03418426150714837;-0,250001648043772;0,4886485085986332;0,9825917602996255;-0,16589760272258647
2009;252895,0;35481,0;1065014,0;1212183,0;188524,0;56481,0;32391974,0;636235,0;123521,0;168570,0;133210,0;9487,0;229049,0;35614,0;63303,0;4,0;84695,0;361034,0;55439,0;83070,0;582838,0;0,02702647823261861;0,46428129255911843;0,05161329182230823;-0,18571440087166458;0,16190664020609669;-0,3827078187501366;-0,1363636315159913;0,11628008983086535;-0,016662155492222164;0,09677545284197375;0,08955431413124382;-0,5833186929023191;-0,2897220895689008;-0,034484628314265575;-0,10476446380336868;1,0;-0,33057485436969947;0,5866697137231809;0,20611334711193297;0,2554217231634148;0,16570863984191564
2010;389326,0;27115,0;940871,0;1286616,0;261152,0;58740,0;29408503,0;490431,0;121427,0;143780,0;135035,0;16233,0;162746,0;29254,0;55222,0;4,0;173572,0;197203,0;46316,0;62549,0;573783,0;0,539476857984539;-0,23578816831543647;-0,11656466487764483;0,06140409492626109;0,38524537989858065;0,03999575078344919;-0,092105254221308;-0,2291668958796671;-0,016952582961601625;-0,14706056830990089;0,01370017265971013;0,7110783176979023;-0,2894708119223398;-0,1785814567304992;-0,12765587728859606;0,0;1,0493771769289806;-0,45378274622334736;-0,16455924529663235;-0,24703262308896112;-0,015536049468291346
2011;259550,0;30000,0;823262,0;1361048,0;231792,0;66647,0;29834713,0;689254,0;110959,0;123949,0;83028,0;16444,0;232063,0;33070,0;60609,0;2,0;61691,0;257881,0;45263,0;33631,0;657322,0;-0,3333350456943538;0,10639867232159328;-0,12500013285561995;0,05785098273299871;-0,11242494792304869;0,13461014640789926;0,014492747216680923;0,40540463388325776;-0,0862081744587283;-0,13792599805258032;-0,3851371866553116;0,01299821351567787;0,4259213744116599;0,13044370000683658;0,0975517004092572;-0,5;-0,6445797709307952;0,3076930878333495;-0,022735123931254875;-0,4623255367791651;0,14559336892170038
