year;Austria;Belgium-Wallonia;Cyprus;Denmark;Estonia;France;Greece;Poland;Sweden;Austria_rendements;Belgium-Wallonia_rendements;Cyprus_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Greece_rendements;Poland_rendements;Sweden_rendements
1980;;;;;;;9183,0;;;;;;;;;;;
1981;;;;;;;8843,0;;;;;;;;;-0,03702493738429702;;
1982;237,0;;;;;;3288,0;;;;;;;;;-0,6281804817369672;;
1983;185,0;;;;;;6349,0;;;-0,21940928270042193;;;;;;0,9309610705596107;;
1984;616,0;;;;;;7369,0;;;2,32972972972973;;;;;;0,16065522129469212;;
1985;59,0;;;;;;6575,0;;;-0,9042207792207793;;;;;;-0,10774867688967293;;
1986;45,0;;;;;;5782,0;;;-0,23728813559322037;;;;;;-0,1206083650190114;;
1987;83,0;;;;;;5555,0;;;0,8444444444444446;;;;;;-0,03925977170529227;;
1988;135,0;;;;;;7936,0;;;0,6265060240963856;;;;;;0,4286228622862287;;
1989;230,0;;;;;;9636,0;;30632,0;0,7037037037037037;;;;;;0,21421370967741926;;
1990;524,0;;;734,0;;;10430,0;;24506,0;1,2782608695652176;;;;;;0,08239933582399339;;-0,19998694176025067
1991;1057,0;;;345,0;;;7256,0;;15801,0;1,017175572519084;;;-0,5299727520435967;;;-0,3043144774688399;;-0,3552191300089774
1992;432,0;;;580,0;;;8503,0;;24134,0;-0,5912961210974457;;;0,681159420289855;;;0,1718577728776185;;0,527371685336371
1993;797,0;;;792,0;;;11110,0;;46400,0;0,8449074074074074;;;0,3655172413793104;;;0,30659767141009064;;0,9225988232369271
1994;1638,0;;;1005,0;;;7936,0;;59430,0;1,0552070263488078;;;0,26893939393939403;;;-0,28568856885688565;;0,2808189655172413
1995;1567,0;;;1394,0;;;10430,0;;63459,0;-0,0433455433455433;;;0,38706467661691546;;;0,31426411290322576;;0,06779404341241801
1996;225,0;;;242,0;;;9523,0;;18928,0;-0,8564135290363752;;;-0,8263988522238164;;;-0,08696069031639497;;-0,7017286752076144
1997;337,0;;;95,0;;;10997,0;;9173,0;0,4977777777777779;;;-0,6074380165289256;;;0,1547831565683082;;-0,5153740490278952
1998;1306,0;;;301,0;;46990,0;10997,0;;35758,0;2,8753709198813056;;;2,168421052631579;;;0,0;;2,8981794396598715
1999;1849,0;;;521,0;;68606,0;10203,0;;41885,0;0,41577335375191415;;;0,7308970099667773;;0,46001276867418595;-0,07220150950259163;;0,17134627216287268
2000;1584,0;;29248,0;1071,0;;34773,0;11110,0;;61056,0;-0,14332071389940504;;;1,055662188099808;;-0,4931492872343527;0,08889542291482888;;0,4577056225379015
2001;2366,0;86558,0;19888,0;1489,0;;55918,0;11450,0;;55125,0;0,49368686868686873;;-0,32002188183807445;0,39028944911297847;;0,6080867339602565;0,03060306030603055;;-0,09714033018867929
2002;455,0;51069,0;24861,0;1709,0;;77534,0;11790,0;;27071,0;-0,8076923076923077;-0,41000254164837446;0,2500502815768302;0,14775016789791806;;0,38656604313458987;0,029694323144104695;;-0,5089160997732427
2003;1342,0;54532,0;26323,0;1357,0;;75184,0;12244,0;;36969,0;1,9494505494505496;0,06781021754880645;0,05880696673504682;-0,20596840257460503;;-0,030309283669100018;0,03850720949957598;;0,3656311181707361
2004;1551,0;70112,0;28955,0;1827,0;;95860,0;11450,0;3106,0;43644,0;0,15573770491803285;0,28570380693904496;0,09998860312274438;0,34635224760501115;;0,27500532028091085;-0,06484808885984972;;0,1805566826259839
2005;1062,0;60591,0;15794,0;1753,0;;36183,0;10430,0;3199,0;35806,0;-0,31528046421663447;-0,1357970104974897;-0,45453289587290624;-0,04050355774493708;;-0,6225432923012727;-0,08908296943231442;0,029942047649710313;-0,1795894051874255
2006;322,0;42413,0;26908,0;1665,0;;36652,0;11450,0;3634,0;15394,0;-0,6967984934086628;-0,30001155287088843;0,7036849436494872;-0,05019965772960644;;0,012961888179531922;0,09779482262703731;0,13597999374804637;-0,5700720549628554
2007;1728,0;66650,0;19596,0;2736,0;7746,0;48400,0;13377,0;3758,0;52968,0;4,366459627329193;0,5714521491052271;-0,2717407462464695;0,6432432432432433;;0,3205282112845138;0,16829694323144095;0,03412217941662088;2,440821099129531
2008;3161,0;45010,0;21351,0;2912,0;15879,0;31014,0;10090,0;3323,0;53359,0;0,8292824074074074;-0,32468117029257315;0,0895590936925903;0,06432748538011701;1,0499612703330752;-0,3592148760330579;-0,24572026612842934;-0,1157530601383715;0,007381815435734795
2009;1259,0;22505,0;10822,0;1372,0;16344,0;25845,0;9863,0;2764,0;22847,0;-0,6017083201518507;-0,5;-0,49313849468408977;-0,5288461538461539;0,02928395994709998;-0,16666666666666663;-0,02249752229930624;-0,16822148660848635;-0,5718248093105194
2010;832,0;27699,0;18134,0;1005,0;4105,0;20676,0;9410,0;4783,0;15308,0;-0,3391580619539317;0,23079315707620518;0,6756606911846239;-0,2674927113702624;-0,7488374938815467;-0,19999999999999996;-0,04592923045726449;0,7304630969609263;-0,32997767759443253
2011;1323,0;43279,0;21936,0;1159,0;10457,0;42291,0;9069,0;5652,0;23767,0;0,5901442307692308;0,5624751796093721;0,20966140950700352;0,15323383084577125;1,5473812423873325;1,0454149738827625;-0,03623804463336877;0,18168513485260296;0,5525868826757252
2012;621,0;26833,0;11699,0;851,0;3796,0;23965,0;9750,0;4472,0;25219,0;-0,5306122448979591;-0,3799995378821137;-0,46667578409919763;-0,26574633304572903;-0,6369895763603328;-0,43333096876403965;0,07509096923585834;-0,20877565463552727;0,06109311229856518
2013;1240,0;29430,0;20473,0;1078,0;6352,0;22555,0;8616,0;3074,0;34172,0;0,9967793880837359;0,09678381097901845;0,7499786306521925;0,2667450058754406;0,6733403582718651;-0,058835802211558486;-0,11630769230769233;-0,3126118067978533;0,35501011142392636
2014;2506,0;53666,0;22521,0;2076,0;12703,0;26784,0;11564,0;6491,0;50470,0;1,020967741935484;0,8235134216785593;0,10003419137400482;0,9257884972170687;0,9998425692695214;0,18749722899578813;0,34215413184772525;1,1115810019518544;0,47694018494674006
2015;3156,0;61456,0;23106,0;3242,0;15802,0;29134,0;7709,0;;71534,0;0,2593774940143656;0,14515708269667948;0,02597575596110291;0,5616570327552985;0,24395812012910345;0,08773894862604537;-0,3333621584226911;0,0;0,4173568456508816
2016;2139,0;64919,0;21351,0;3616,0;14485,0;;9523,0;;67287,0;-0,3222433460076045;0,056349258005727654;-0,0759542975850428;0,1153608883405306;-0,08334388052145303;0,0;0,23530937864833312;0,0;-0,05937036933486173
