year;Austria;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Estonia;France;Germany East;Germany West;Hungary;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Sweden;Austria_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Sweden_rendements
1980;;;;;;;;98236,0;;;;57667,0;;;;;;;;;;;;;;;;;;;;;;
1981;;;;;;;;121908,0;;;;108385,0;;;;;;;;;;;;;0,24097072356366311;;;;0,8794978063710615;;;;;
1982;3901,0;;;;;;;93502,0;;;;113249,0;;;;;;;;;;;;;-0,23301177937461037;;;;0,04487705863357472;;;;;
1983;8193,0;;;;;;;87584,0;;;;45161,0;;;;;;1,10023071007434;;;;;;;-0,0632927637911489;;;;-0,6012238518662416;;;;;
1984;8154,0;;;;;;;51485,0;;;11224,0;40992,0;;;;;;-0,004760161113145367;;;;;;;-0,41216432225063937;;;;-0,09231416487677424;;;;;
1985;5345,0;;;;;;;51485,0;;;8979,0;54193,0;;;;;;-0,34449350012263924;;;;;;;0,0;;;-0,20001781895937276;0,32203844652615143;;;;;
1986;6086,0;;;;;;;42017,0;;;12683,0;60446,0;;;;;;0,13863423760523852;;;;;;;-0,1838982227833349;;;0,4125180977837175;0,11538390567047396;;;;;
1987;14669,0;;;;;;;65096,0;;;17172,0;75731,0;;;;;;1,4102859020703256;;;;;;;0,5492776733227027;;;0,35393834266340773;0,25287033054296404;;;;;
1988;10183,0;;;;;;;46751,0;;;14254,0;60446,0;;;;;;-0,30581498397982143;;;;;;;-0,2818145508172545;;;-0,16992778942464482;-0,2018328029472739;;;;;
1989;12445,0;123854,0;;;;;;63321,0;;;12683,0;50024,0;;;;;43129,0;0,22213493076696444;;;;;;;0,3544309212637162;;;-0,11021467658201212;-0,17241835688052143;;;;;
1990;8466,0;116423,0;;;;;;45568,0;;;13469,0;38213,0;;;;;56499,0;-0,3197267979108076;-0,059998062234566496;;;;;;-0,28036512373462197;;;0,061972719388157405;-0,23610666879897646;;;;;0,3100002318625519
1991;7374,0;125093,0;;;;;;49710,0;;;19417,0;50719,0;;;;;55456,0;-0,1289865343727853;0,07446982125525015;;;;;;0,0908971207865168;;;0,441606652312718;0,32727082406510877;;;;;-0,018460503725729605
1992;12445,0;49542,0;;;;;;23080,0;;;10999,0;45161,0;;;;;40506,0;0,6876864659614863;-0,603958654760858;;;;;;-0,5357071011868839;;;-0,43353762167173093;-0,10958417949880717;;;;;-0,2695830929024813
1993;8115,0;79267,0;;;;;;23671,0;;;18632,0;20843,0;;;;;41821,0;-0,34793089594214544;0,5999959630212748;;;;;;0,025606585788561453;;;0,6939721792890263;-0,5384734616151103;;;;;0,032464326272650945
1994;10534,0;66881,0;;;;;;23671,0;;;11785,0;16675,0;;;;;41733,0;0,29808995686999373;-0,15625670203237163;;;;;;0,0;;;-0,3674860455130957;-0,1999712133570023;;;;;-0,002104206020898558
1995;15059,0;97845,0;;;14413,0;;;35507,0;;;13020,0;27791,0;;;;;42505,0;0,4295614201632809;0,46297154647807304;;;;;;0,5000211228929914;;;0,10479422995333043;0,6666266866566717;;;;;0,01849855030790981
1996;12914,0;102799,0;;;14413,0;;;36099,0;;;2357,0;23622,0;;;;;51905,0;-0,14243973703433166;0,050631100209515;;;0,0;;;0,01667276874982404;;;-0,8189708141321045;-0,15001259400525346;;;;;0,2211504528878956
1997;12211,0;66881,0;;;21620,0;;;33732,0;;;8418,0;34044,0;;;;;50579,0;-0,054437045067368794;-0,34940028599499995;;;0,500034690904045;;;-0,06556968337073044;;;2,5714891811624945;0,44119888239776484;;;;;-0,025546671804257737
1998;7061,0;86698,0;;;50447,0;;234675,0;18937,0;;11022,0;9091,0;38213,0;;;;;34698,0;-0,4217508803537794;0,29630238782314855;;;1,3333487511563367;;;-0,43860429265978895;;;0,07994773105250652;0,12245917048525445;;;;;-0,3139840645327112
1999;5267,0;52019,0;15817,0;;72067,0;;197127,0;25447,0;4187,0;11574,0;9091,0;10422,0;;;;;34113,0;-0,254071661237785;-0,3999976931417103;;;0,42856859674509873;;-0,16000000000000003;0,3437714527116227;;0,050081654872073944;0,0;-0,7272655902441578;;;;;-0,01685976136953138
2000;4253,0;85459,0;19138,0;166378,0;28827,0;45452,0;129072,0;18937,0;3475,0;10692,0;11224,0;20843,0;;;;;21286,0;-0,1925194607936207;0,6428420384859379;0,20996396282480867;;-0,5999972248046956;;-0,3452342905842426;-0,2558258340865328;-0,17005015524241696;-0,07620528771384139;0,23462765372346284;0,9999040491268472;;;;;-0,37601500894087303
2001;7608,0;74312,0;20878,0;164714,0;57653,0;82268,0;187740,0;23671,0;2889,0;6173,0;12458,0;35434,0;;;;;29712,0;0,7888549259346345;-0,13043681765524984;0,09091859128435575;-0,010001322290206671;0,9999653102993722;0,8099973598521517;0,4545370026031983;0,2499867983313091;-0,16863309352517986;-0,42265245043022825;0,10994297933000707;0,7000431799644964;;;;;0,39584703561026036
2002;6788,0;34679,0;21036,0;179688,0;136927,0;56815,0;180700,0;27814,0;3936,0;10030,0;13693,0;19454,0;;;;;26218,0;-0,10778128286014721;-0,5333324362148778;0,00756777469106229;0,09090909090909083;1,3750195132950584;-0,30939125784022947;-0,03749866837115157;0,1750242913269402;0,3624091381100727;0,6248177547383769;0,09913308717290104;-0,4509792854320709;;;;;-0,11759558427571348
